native_direction,模型,n,base_rate,AUC,PR_AUC,Brier,D1,D10,D10_minus_D1,decile_spearman,Top10_rate,Lift@10,Top10_uplift,Top20_rate,Lift@20,Top20_uplift,Top30_rate,Lift@30,Top30_uplift
-1,Logistic,15858,0.277,0.5118,0.2833,0.202293,0.2629,0.2774,0.0145,0.0183,0.2774,1.0017,0.0005,0.2793,1.0085,0.0024,0.2863,1.0336,0.0093
-1,LightGBM,15858,0.277,0.5092,0.2834,0.205364,0.2528,0.2781,0.0253,0.0142,0.2781,1.004,0.0011,0.2834,1.0233,0.0065,0.2793,1.0085,0.0024
1,Logistic,16954,0.2917,0.4997,0.289,0.209475,0.2983,0.2801,-0.0182,-0.0004,0.2801,0.9602,-0.0116,0.2896,0.9929,-0.0021,0.2971,1.0186,0.0054
1,LightGBM,16954,0.2917,0.5041,0.2973,0.211078,0.2541,0.3072,0.0531,0.0065,0.3067,1.0514,0.015,0.2958,1.0142,0.0041,0.2894,0.9923,-0.0022
