dataset,n_strata,usable_strata,low_sample_strata,event_weighted_uplift,macro_mean_uplift,macro_median_uplift,event_weighted_lift,macro_median_lift,positive_strata
ALL15_M3,90,86,4,0.0042,0.0033,0.012,1.0105,1.045,46
NEW11_ZS_M3,66,63,3,-0.0038,-0.0089,-0.0065,0.9925,0.9784,28
DEDUP_M3,90,62,28,0.0006,-0.0069,-0.0014,0.9971,0.9949,31
