折,模型,n,base_rate,AUC,PR_AUC,Brier,D1,D10,D10_minus_D1,decile_spearman,Top10_rate,Lift@10,Top10_uplift,Top20_rate,Lift@20,Top20_uplift,Top30_rate,Lift@30,Top30_uplift
F1,Logistic,7787,0.2678,0.511,0.2719,0.20125,0.2426,0.2567,0.0141,0.0168,0.2567,0.9589,-0.011,0.2811,1.05,0.0134,0.2748,1.0264,0.0071
F1,LightGBM,7787,0.2678,0.5247,0.2875,0.201138,0.2054,0.3081,0.1027,0.0379,0.3081,1.1506,0.0403,0.2895,1.0811,0.0217,0.2855,1.0664,0.0178
F2,Logistic,7652,0.3006,0.5026,0.311,0.211779,0.3107,0.3094,-0.0013,0.0041,0.3094,1.0294,0.0088,0.3083,1.0257,0.0077,0.3079,1.0245,0.0074
F2,LightGBM,7652,0.3006,0.4929,0.2994,0.21794,0.2963,0.3094,0.0131,-0.0112,0.3094,1.0294,0.0088,0.3005,0.9996,-0.0001,0.2927,0.9737,-0.0079
F3,Logistic,7861,0.2768,0.4979,0.2718,0.202825,0.2872,0.2481,-0.0391,-0.0032,0.249,0.8997,-0.0278,0.2702,0.9761,-0.0066,0.2844,1.0276,0.0076
F3,LightGBM,7861,0.2768,0.5098,0.2857,0.203806,0.2643,0.3155,0.0512,0.0152,0.3151,1.1384,0.0383,0.2937,1.061,0.0169,0.284,1.026,0.0072
F4,Logistic,9512,0.2918,0.5082,0.2917,0.207878,0.2679,0.2889,0.021,0.0128,0.2889,0.9898,-0.003,0.2932,1.0047,0.0014,0.2978,1.0205,0.006
F4,LightGBM,9512,0.2918,0.4981,0.29,0.210179,0.2637,0.27,0.0063,-0.0029,0.27,0.925,-0.0219,0.278,0.9525,-0.0139,0.2758,0.9449,-0.0161
