wf,action,count,share
WF1,SKIP,1153,0.364873417721519
WF1,MARKET,1045,0.33069620253164556
WF1,LIMIT_RR3,318,0.10063291139240506
WF1,REASSESS_RR3,644,0.20379746835443038
WF2,SKIP,1090,0.38285914998243764
WF2,MARKET,705,0.2476290832455216
WF2,LIMIT_RR3,413,0.14506498068141904
WF2,REASSESS_RR3,639,0.2244467860906217
WF3,SKIP,820,0.2726063829787234
WF3,MARKET,911,0.3028590425531915
WF3,LIMIT_RR3,454,0.15093085106382978
WF3,REASSESS_RR3,823,0.2736037234042553
