scope,wf,fold,fit_rows,validation_rows,fit_source
inner,WF1,0,480,700,purged_train_only
inner,WF1,1,1184,658,purged_train_only
inner,WF1,2,1831,765,purged_train_only
inner,WF1,0,480,700,purged_train_only
inner,WF1,1,1184,658,purged_train_only
inner,WF1,2,1831,765,purged_train_only
inner,WF1,0,480,700,purged_train_only
inner,WF1,1,1184,658,purged_train_only
inner,WF1,2,1831,765,purged_train_only
inner,WF1,0,480,700,purged_train_only
inner,WF1,1,1184,658,purged_train_only
inner,WF1,2,1831,765,purged_train_only
inner,WF1,0,480,700,purged_train_only
inner,WF1,1,1184,658,purged_train_only
inner,WF1,2,1831,765,purged_train_only
inner,WF1,0,480,700,purged_train_only
inner,WF1,1,1184,658,purged_train_only
inner,WF1,2,1831,765,purged_train_only
inner,WF1,0,480,700,purged_train_only
inner,WF1,1,1184,658,purged_train_only
inner,WF1,2,1831,765,purged_train_only
inner,WF1,0,480,700,purged_train_only
inner,WF1,1,1184,658,purged_train_only
inner,WF1,2,1831,765,purged_train_only
inner,WF1,0,480,700,purged_train_only
inner,WF1,1,1184,658,purged_train_only
inner,WF1,2,1831,765,purged_train_only
inner,WF1,0,480,700,purged_train_only
inner,WF1,1,1184,658,purged_train_only
inner,WF1,2,1831,765,purged_train_only
inner,WF1,0,480,700,purged_train_only
inner,WF1,1,1184,658,purged_train_only
inner,WF1,2,1831,765,purged_train_only
inner,WF1,0,480,700,purged_train_only
inner,WF1,1,1184,658,purged_train_only
inner,WF1,2,1831,765,purged_train_only
inner,WF1,0,480,700,purged_train_only
inner,WF1,1,1184,658,purged_train_only
inner,WF1,2,1831,765,purged_train_only
inner,WF1,0,480,700,purged_train_only
inner,WF1,1,1184,658,purged_train_only
inner,WF1,2,1831,765,purged_train_only
inner,WF1,0,480,700,purged_train_only
inner,WF1,1,1184,658,purged_train_only
inner,WF1,2,1831,765,purged_train_only
inner,WF1,0,480,700,purged_train_only
inner,WF1,1,1184,658,purged_train_only
inner,WF1,2,1831,765,purged_train_only
inner,WF1,0,480,700,purged_train_only
inner,WF1,1,1184,658,purged_train_only
inner,WF1,2,1831,765,purged_train_only
inner,WF1,0,480,700,purged_train_only
inner,WF1,1,1184,658,purged_train_only
inner,WF1,2,1831,765,purged_train_only
inner,WF1,0,480,700,purged_train_only
inner,WF1,1,1184,658,purged_train_only
inner,WF1,2,1831,765,purged_train_only
inner,WF1,0,480,700,purged_train_only
inner,WF1,1,1184,658,purged_train_only
inner,WF1,2,1831,765,purged_train_only
inner,WF1,0,480,700,purged_train_only
inner,WF1,1,1184,658,purged_train_only
inner,WF1,2,1831,765,purged_train_only
inner,WF1,0,480,700,purged_train_only
inner,WF1,1,1184,658,purged_train_only
inner,WF1,2,1831,765,purged_train_only
inner,WF1,0,480,700,purged_train_only
inner,WF1,1,1184,658,purged_train_only
inner,WF1,2,1831,765,purged_train_only
inner,WF1,0,480,700,purged_train_only
inner,WF1,1,1184,658,purged_train_only
inner,WF1,2,1831,765,purged_train_only
inner,WF1,0,480,700,purged_train_only
inner,WF1,1,1184,658,purged_train_only
inner,WF1,2,1831,765,purged_train_only
inner,WF1,0,480,700,purged_train_only
inner,WF1,1,1184,658,purged_train_only
inner,WF1,2,1831,765,purged_train_only
inner,WF1,0,480,700,purged_train_only
inner,WF1,1,1184,658,purged_train_only
inner,WF1,2,1831,765,purged_train_only
inner,WF1,0,480,700,purged_train_only
inner,WF1,1,1184,658,purged_train_only
inner,WF1,2,1831,765,purged_train_only
inner,WF1,0,480,700,purged_train_only
inner,WF1,1,1184,658,purged_train_only
inner,WF1,2,1831,765,purged_train_only
inner,WF1,0,480,700,purged_train_only
inner,WF1,1,1184,658,purged_train_only
inner,WF1,2,1831,765,purged_train_only
inner,WF1,0,480,700,purged_train_only
inner,WF1,1,1184,658,purged_train_only
inner,WF1,2,1831,765,purged_train_only
inner,WF1,0,480,700,purged_train_only
inner,WF1,1,1184,658,purged_train_only
inner,WF1,2,1831,765,purged_train_only
inner,WF1,0,480,700,purged_train_only
inner,WF1,1,1184,658,purged_train_only
inner,WF1,2,1831,765,purged_train_only
inner,WF1,0,480,700,purged_train_only
inner,WF1,1,1184,658,purged_train_only
inner,WF1,2,1831,765,purged_train_only
inner,WF1,0,480,700,purged_train_only
inner,WF1,1,1184,658,purged_train_only
inner,WF1,2,1831,765,purged_train_only
inner,WF1,0,480,700,purged_train_only
inner,WF1,1,1184,658,purged_train_only
inner,WF1,2,1831,765,purged_train_only
inner,WF1,0,480,700,purged_train_only
inner,WF1,1,1184,658,purged_train_only
inner,WF1,2,1831,765,purged_train_only
inner,WF1,0,480,700,purged_train_only
inner,WF1,1,1184,658,purged_train_only
inner,WF1,2,1831,765,purged_train_only
inner,WF1,0,480,700,purged_train_only
inner,WF1,1,1184,658,purged_train_only
inner,WF1,2,1831,765,purged_train_only
inner,WF1,0,480,700,purged_train_only
inner,WF1,1,1184,658,purged_train_only
inner,WF1,2,1831,765,purged_train_only
outer,WF1,-1,2603,3160,purged_train_only
inner,WF2,0,1129,1309,purged_train_only
inner,WF2,1,2446,1576,purged_train_only
inner,WF2,2,4029,1740,purged_train_only
inner,WF2,0,1129,1309,purged_train_only
inner,WF2,1,2446,1576,purged_train_only
inner,WF2,2,4029,1740,purged_train_only
inner,WF2,0,1129,1309,purged_train_only
inner,WF2,1,2446,1576,purged_train_only
inner,WF2,2,4029,1740,purged_train_only
inner,WF2,0,1129,1309,purged_train_only
inner,WF2,1,2446,1576,purged_train_only
inner,WF2,2,4029,1740,purged_train_only
inner,WF2,0,1129,1309,purged_train_only
inner,WF2,1,2446,1576,purged_train_only
inner,WF2,2,4029,1740,purged_train_only
inner,WF2,0,1129,1309,purged_train_only
inner,WF2,1,2446,1576,purged_train_only
inner,WF2,2,4029,1740,purged_train_only
inner,WF2,0,1129,1309,purged_train_only
inner,WF2,1,2446,1576,purged_train_only
inner,WF2,2,4029,1740,purged_train_only
inner,WF2,0,1129,1309,purged_train_only
inner,WF2,1,2446,1576,purged_train_only
inner,WF2,2,4029,1740,purged_train_only
inner,WF2,0,1129,1309,purged_train_only
inner,WF2,1,2446,1576,purged_train_only
inner,WF2,2,4029,1740,purged_train_only
inner,WF2,0,1129,1309,purged_train_only
inner,WF2,1,2446,1576,purged_train_only
inner,WF2,2,4029,1740,purged_train_only
inner,WF2,0,1129,1309,purged_train_only
inner,WF2,1,2446,1576,purged_train_only
inner,WF2,2,4029,1740,purged_train_only
inner,WF2,0,1129,1309,purged_train_only
inner,WF2,1,2446,1576,purged_train_only
inner,WF2,2,4029,1740,purged_train_only
inner,WF2,0,1129,1309,purged_train_only
inner,WF2,1,2446,1576,purged_train_only
inner,WF2,2,4029,1740,purged_train_only
inner,WF2,0,1129,1309,purged_train_only
inner,WF2,1,2446,1576,purged_train_only
inner,WF2,2,4029,1740,purged_train_only
inner,WF2,0,1129,1309,purged_train_only
inner,WF2,1,2446,1576,purged_train_only
inner,WF2,2,4029,1740,purged_train_only
inner,WF2,0,1129,1309,purged_train_only
inner,WF2,1,2446,1576,purged_train_only
inner,WF2,2,4029,1740,purged_train_only
inner,WF2,0,1129,1309,purged_train_only
inner,WF2,1,2446,1576,purged_train_only
inner,WF2,2,4029,1740,purged_train_only
inner,WF2,0,1129,1309,purged_train_only
inner,WF2,1,2446,1576,purged_train_only
inner,WF2,2,4029,1740,purged_train_only
inner,WF2,0,1129,1309,purged_train_only
inner,WF2,1,2446,1576,purged_train_only
inner,WF2,2,4029,1740,purged_train_only
inner,WF2,0,1129,1309,purged_train_only
inner,WF2,1,2446,1576,purged_train_only
inner,WF2,2,4029,1740,purged_train_only
inner,WF2,0,1129,1309,purged_train_only
inner,WF2,1,2446,1576,purged_train_only
inner,WF2,2,4029,1740,purged_train_only
inner,WF2,0,1129,1309,purged_train_only
inner,WF2,1,2446,1576,purged_train_only
inner,WF2,2,4029,1740,purged_train_only
inner,WF2,0,1129,1309,purged_train_only
inner,WF2,1,2446,1576,purged_train_only
inner,WF2,2,4029,1740,purged_train_only
inner,WF2,0,1129,1309,purged_train_only
inner,WF2,1,2446,1576,purged_train_only
inner,WF2,2,4029,1740,purged_train_only
inner,WF2,0,1129,1309,purged_train_only
inner,WF2,1,2446,1576,purged_train_only
inner,WF2,2,4029,1740,purged_train_only
inner,WF2,0,1129,1309,purged_train_only
inner,WF2,1,2446,1576,purged_train_only
inner,WF2,2,4029,1740,purged_train_only
inner,WF2,0,1129,1309,purged_train_only
inner,WF2,1,2446,1576,purged_train_only
inner,WF2,2,4029,1740,purged_train_only
inner,WF2,0,1129,1309,purged_train_only
inner,WF2,1,2446,1576,purged_train_only
inner,WF2,2,4029,1740,purged_train_only
inner,WF2,0,1129,1309,purged_train_only
inner,WF2,1,2446,1576,purged_train_only
inner,WF2,2,4029,1740,purged_train_only
inner,WF2,0,1129,1309,purged_train_only
inner,WF2,1,2446,1576,purged_train_only
inner,WF2,2,4029,1740,purged_train_only
inner,WF2,0,1129,1309,purged_train_only
inner,WF2,1,2446,1576,purged_train_only
inner,WF2,2,4029,1740,purged_train_only
inner,WF2,0,1129,1309,purged_train_only
inner,WF2,1,2446,1576,purged_train_only
inner,WF2,2,4029,1740,purged_train_only
inner,WF2,0,1129,1309,purged_train_only
inner,WF2,1,2446,1576,purged_train_only
inner,WF2,2,4029,1740,purged_train_only
inner,WF2,0,1129,1309,purged_train_only
inner,WF2,1,2446,1576,purged_train_only
inner,WF2,2,4029,1740,purged_train_only
inner,WF2,0,1129,1309,purged_train_only
inner,WF2,1,2446,1576,purged_train_only
inner,WF2,2,4029,1740,purged_train_only
inner,WF2,0,1129,1309,purged_train_only
inner,WF2,1,2446,1576,purged_train_only
inner,WF2,2,4029,1740,purged_train_only
inner,WF2,0,1129,1309,purged_train_only
inner,WF2,1,2446,1576,purged_train_only
inner,WF2,2,4029,1740,purged_train_only
inner,WF2,0,1129,1309,purged_train_only
inner,WF2,1,2446,1576,purged_train_only
inner,WF2,2,4029,1740,purged_train_only
inner,WF2,0,1129,1309,purged_train_only
inner,WF2,1,2446,1576,purged_train_only
inner,WF2,2,4029,1740,purged_train_only
inner,WF2,0,1129,1309,purged_train_only
inner,WF2,1,2446,1576,purged_train_only
inner,WF2,2,4029,1740,purged_train_only
outer,WF2,-1,5754,2847,purged_train_only
inner,WF3,0,1784,2290,purged_train_only
inner,WF3,1,4062,2536,purged_train_only
inner,WF3,2,6596,1996,purged_train_only
inner,WF3,0,1784,2290,purged_train_only
inner,WF3,1,4062,2536,purged_train_only
inner,WF3,2,6596,1996,purged_train_only
inner,WF3,0,1784,2290,purged_train_only
inner,WF3,1,4062,2536,purged_train_only
inner,WF3,2,6596,1996,purged_train_only
inner,WF3,0,1784,2290,purged_train_only
inner,WF3,1,4062,2536,purged_train_only
inner,WF3,2,6596,1996,purged_train_only
inner,WF3,0,1784,2290,purged_train_only
inner,WF3,1,4062,2536,purged_train_only
inner,WF3,2,6596,1996,purged_train_only
inner,WF3,0,1784,2290,purged_train_only
inner,WF3,1,4062,2536,purged_train_only
inner,WF3,2,6596,1996,purged_train_only
inner,WF3,0,1784,2290,purged_train_only
inner,WF3,1,4062,2536,purged_train_only
inner,WF3,2,6596,1996,purged_train_only
inner,WF3,0,1784,2290,purged_train_only
inner,WF3,1,4062,2536,purged_train_only
inner,WF3,2,6596,1996,purged_train_only
inner,WF3,0,1784,2290,purged_train_only
inner,WF3,1,4062,2536,purged_train_only
inner,WF3,2,6596,1996,purged_train_only
inner,WF3,0,1784,2290,purged_train_only
inner,WF3,1,4062,2536,purged_train_only
inner,WF3,2,6596,1996,purged_train_only
inner,WF3,0,1784,2290,purged_train_only
inner,WF3,1,4062,2536,purged_train_only
inner,WF3,2,6596,1996,purged_train_only
inner,WF3,0,1784,2290,purged_train_only
inner,WF3,1,4062,2536,purged_train_only
inner,WF3,2,6596,1996,purged_train_only
inner,WF3,0,1784,2290,purged_train_only
inner,WF3,1,4062,2536,purged_train_only
inner,WF3,2,6596,1996,purged_train_only
inner,WF3,0,1784,2290,purged_train_only
inner,WF3,1,4062,2536,purged_train_only
inner,WF3,2,6596,1996,purged_train_only
inner,WF3,0,1784,2290,purged_train_only
inner,WF3,1,4062,2536,purged_train_only
inner,WF3,2,6596,1996,purged_train_only
inner,WF3,0,1784,2290,purged_train_only
inner,WF3,1,4062,2536,purged_train_only
inner,WF3,2,6596,1996,purged_train_only
inner,WF3,0,1784,2290,purged_train_only
inner,WF3,1,4062,2536,purged_train_only
inner,WF3,2,6596,1996,purged_train_only
inner,WF3,0,1784,2290,purged_train_only
inner,WF3,1,4062,2536,purged_train_only
inner,WF3,2,6596,1996,purged_train_only
inner,WF3,0,1784,2290,purged_train_only
inner,WF3,1,4062,2536,purged_train_only
inner,WF3,2,6596,1996,purged_train_only
inner,WF3,0,1784,2290,purged_train_only
inner,WF3,1,4062,2536,purged_train_only
inner,WF3,2,6596,1996,purged_train_only
inner,WF3,0,1784,2290,purged_train_only
inner,WF3,1,4062,2536,purged_train_only
inner,WF3,2,6596,1996,purged_train_only
inner,WF3,0,1784,2290,purged_train_only
inner,WF3,1,4062,2536,purged_train_only
inner,WF3,2,6596,1996,purged_train_only
inner,WF3,0,1784,2290,purged_train_only
inner,WF3,1,4062,2536,purged_train_only
inner,WF3,2,6596,1996,purged_train_only
inner,WF3,0,1784,2290,purged_train_only
inner,WF3,1,4062,2536,purged_train_only
inner,WF3,2,6596,1996,purged_train_only
inner,WF3,0,1784,2290,purged_train_only
inner,WF3,1,4062,2536,purged_train_only
inner,WF3,2,6596,1996,purged_train_only
inner,WF3,0,1784,2290,purged_train_only
inner,WF3,1,4062,2536,purged_train_only
inner,WF3,2,6596,1996,purged_train_only
inner,WF3,0,1784,2290,purged_train_only
inner,WF3,1,4062,2536,purged_train_only
inner,WF3,2,6596,1996,purged_train_only
inner,WF3,0,1784,2290,purged_train_only
inner,WF3,1,4062,2536,purged_train_only
inner,WF3,2,6596,1996,purged_train_only
inner,WF3,0,1784,2290,purged_train_only
inner,WF3,1,4062,2536,purged_train_only
inner,WF3,2,6596,1996,purged_train_only
inner,WF3,0,1784,2290,purged_train_only
inner,WF3,1,4062,2536,purged_train_only
inner,WF3,2,6596,1996,purged_train_only
inner,WF3,0,1784,2290,purged_train_only
inner,WF3,1,4062,2536,purged_train_only
inner,WF3,2,6596,1996,purged_train_only
inner,WF3,0,1784,2290,purged_train_only
inner,WF3,1,4062,2536,purged_train_only
inner,WF3,2,6596,1996,purged_train_only
inner,WF3,0,1784,2290,purged_train_only
inner,WF3,1,4062,2536,purged_train_only
inner,WF3,2,6596,1996,purged_train_only
inner,WF3,0,1784,2290,purged_train_only
inner,WF3,1,4062,2536,purged_train_only
inner,WF3,2,6596,1996,purged_train_only
inner,WF3,0,1784,2290,purged_train_only
inner,WF3,1,4062,2536,purged_train_only
inner,WF3,2,6596,1996,purged_train_only
inner,WF3,0,1784,2290,purged_train_only
inner,WF3,1,4062,2536,purged_train_only
inner,WF3,2,6596,1996,purged_train_only
inner,WF3,0,1784,2290,purged_train_only
inner,WF3,1,4062,2536,purged_train_only
inner,WF3,2,6596,1996,purged_train_only
inner,WF3,0,1784,2290,purged_train_only
inner,WF3,1,4062,2536,purged_train_only
inner,WF3,2,6596,1996,purged_train_only
inner,WF3,0,1784,2290,purged_train_only
inner,WF3,1,4062,2536,purged_train_only
inner,WF3,2,6596,1996,purged_train_only
inner,WF3,0,1784,2290,purged_train_only
inner,WF3,1,4062,2536,purged_train_only
inner,WF3,2,6596,1996,purged_train_only
outer,WF3,-1,8608,3008,purged_train_only
