wf,symbol,n_signals,EV_Q,EV_reassess,EV_market,delta_vs_reassess,skip_share,market_share,limit_share,reassess_share
WF1,AG,151,0.009460737937559131,0.0026490066225165467,-0.02499245434539858,0.006811731315042585,0.3841059602649007,0.046357615894039736,0.2119205298013245,0.3576158940397351
WF1,AL,282,-0.1087723741979061,-0.06595744680851065,-0.03221884498480243,-0.04281492738939545,0.32978723404255317,0.3333333333333333,0.1276595744680851,0.20921985815602837
WF1,AU,101,0.13355043002720085,0.11112071290080675,0.0494929098220569,0.022429717126394105,0.3069306930693069,0.27722772277227725,0.06930693069306931,0.3465346534653465
WF1,CF,290,-0.07720840388431391,0.17586206896551723,0.2807103153275091,-0.25307047284983114,0.27586206896551724,0.23793103448275862,0.2413793103448276,0.24482758620689654
WF1,CU,159,-0.10880503144654088,-0.031446540880503145,0.028460534216263392,-0.07735849056603775,0.25157232704402516,0.25157232704402516,0.1761006289308176,0.32075471698113206
WF1,I,368,-0.143147213595583,-0.04076086956521739,-0.17044621290545245,-0.1023863440303656,0.28532608695652173,0.42934782608695654,0.10054347826086957,0.18478260869565216
WF1,M,292,8.820261202613366e-05,0.0768835616438399,0.013816112829666211,-0.07679535903181377,0.3219178082191781,0.2226027397260274,0.22945205479452055,0.22602739726027396
WF1,MA,218,-0.06965923984272608,0.05504587155963303,0.04067474252771105,-0.12470511140235911,0.3577981651376147,0.24770642201834864,0.13302752293577982,0.26146788990825687
WF1,NI,139,0.12188922816595123,0.07998724173370664,0.05758792395774497,0.04190198643224459,0.3597122302158273,0.19424460431654678,0.1510791366906475,0.2949640287769784
WF1,P,170,0.18850213069952385,0.3535660198028075,0.25542141104417315,-0.16506388910328365,0.3235294117647059,0.27058823529411763,0.19411764705882353,0.21176470588235294
WF1,RB,260,-0.10116605616605617,-0.18076923076923077,-0.05449000999000998,0.07960317460317459,0.3192307692307692,0.25769230769230766,0.20384615384615384,0.21923076923076923
WF1,RU,131,0.33807631261956383,0.20610687022897434,0.06396528050255569,0.1319694423905895,0.3282442748091603,0.29770992366412213,0.20610687022900764,0.16793893129770993
WF1,SC,152,-0.12233476870508458,-0.2236842105263158,-0.33913003652161255,0.1013494418212312,0.3684210526315789,0.13815789473684212,0.24342105263157895,0.25
WF1,SN,167,0.11361834239460789,0.2482482356715141,0.11355798504397988,-0.13462989327690622,0.3413173652694611,0.17365269461077845,0.2215568862275449,0.2634730538922156
WF1,TA,280,-0.08599489795918369,-0.03214285714285714,-0.030406230674087834,-0.05385204081632655,0.2892857142857143,0.2857142857142857,0.16785714285714284,0.2571428571428571
WF2,AG,105,-0.05084511775337639,0.21243926141885328,-0.010798248600860899,-0.2632843791722297,0.4857142857142857,0.10476190476190476,0.18095238095238095,0.22857142857142856
WF2,AL,126,-0.02518037518037518,-0.07936507936507936,0.023550009845910033,0.05418470418470418,0.2777777777777778,0.1349206349206349,0.18253968253968253,0.40476190476190477
WF2,CF,283,0.020612554291814123,0.19699646643109542,0.07054542833300871,-0.17638391213928128,0.3250883392226148,0.24028268551236748,0.20848056537102475,0.22614840989399293
WF2,CU,128,-0.10648674242424103,-0.0390625,0.07765763348129907,-0.06742424242424103,0.28125,0.15625,0.1484375,0.4140625
WF2,I,343,-0.01890121540267342,-0.10058309037900874,-0.11251088561584278,0.08168187497633532,0.3556851311953353,0.2594752186588921,0.2478134110787172,0.13702623906705538
WF2,M,277,0.05032259156807899,0.13898916967509026,0.09411174465326191,-0.08866657810701126,0.3285198555956679,0.24187725631768953,0.22743682310469315,0.20216606498194944
WF2,MA,231,-0.15052527027920093,-0.23160173160173161,-0.29465217805379834,0.08107646132253069,0.21645021645021645,0.1645021645021645,0.4199134199134199,0.19913419913419914
WF2,NI,152,0.07661412130318293,0.13157894736842105,-0.12063124379832181,-0.054964826065238115,0.3092105263157895,0.21710526315789475,0.23026315789473684,0.24342105263157895
WF2,P,193,0.18416228269289753,0.2639032815198618,0.6015784362651182,-0.07974099882696428,0.47668393782383417,0.13471502590673576,0.19170984455958548,0.19689119170984457
WF2,RB,295,0.07183077750874357,0.006779661016949152,0.023427495291902505,0.06505111649179442,0.3389830508474576,0.2711864406779661,0.23389830508474577,0.15593220338983052
WF2,RU,195,-0.006032456622129204,-0.023076923076895094,-0.04692955375777765,0.01704446645476589,0.37948717948717947,0.1076923076923077,0.3333333333333333,0.1794871794871795
