wf,symbol,n_signals,EV_Q,EV_reassess,EV_market,delta_vs_reassess,skip_share,market_share,limit_share,reassess_share
WF2,SC,122,0.34822418747058365,0.3701992637035788,0.15423450987530937,-0.02197507623299516,0.5491803278688525,0.18032786885245902,0.14754098360655737,0.12295081967213115
WF2,SN,107,-0.12556536993078818,-0.18421517762681547,-0.14173077786685417,0.05864980769602729,0.29906542056074764,0.12149532710280374,0.17757009345794392,0.40186915887850466
WF2,TA,209,0.06445374800638255,0.03148545344552901,0.16687582139025414,0.03296829456085354,0.3923444976076555,0.18181818181818182,0.22488038277511962,0.20095693779904306
WF3,AG,162,0.060758965134639485,0.014885224833545261,-0.14204426785743063,0.04587374030109422,0.21604938271604937,0.08641975308641975,0.2654320987654321,0.43209876543209874
WF3,AL,140,0.3913710029466332,0.24285714285714285,0.2764576779675164,0.14851386008949033,0.22142857142857142,0.3142857142857143,0.2714285714285714,0.19285714285714287
WF3,AU,154,0.34532306322733525,0.30077951586725266,0.37556363632850076,0.04454354736008259,0.1038961038961039,0.3961038961038961,0.18831168831168832,0.3116883116883117
WF3,CF,232,0.06892851618622126,0.034482758620689655,0.12034017685614247,0.0344457575655316,0.24568965517241378,0.36637931034482757,0.2629310344827586,0.125
WF3,CU,220,0.09836098505600344,0.06859504132231405,-0.15238677475948623,0.02976594373368939,0.31363636363636366,0.3,0.19090909090909092,0.19545454545454546
WF3,I,382,0.12531164298180003,0.2513089005235602,0.10622662677634945,-0.12599725754176017,0.2905759162303665,0.3193717277486911,0.2617801047120419,0.12827225130890052
WF3,M,226,-0.12365500772580419,-0.15707964601770363,-0.13062809060337224,0.03342463829189944,0.26548672566371684,0.18141592920353983,0.252212389380531,0.3008849557522124
WF3,MA,138,-0.021371416338335048,-0.09178743961352656,-0.04704845668928877,0.07041602327519152,0.3333333333333333,0.34782608695652173,0.07971014492753623,0.2391304347826087
WF3,P,110,-0.0723341754129519,-0.01818181818181818,-0.08907435333079901,-0.054152357231133715,0.08181818181818182,0.6181818181818182,0.16363636363636364,0.13636363636363635
WF3,RB,488,0.02020963440020545,0.16393442622950818,0.004748080926348275,-0.14372479182930273,0.3442622950819672,0.26434426229508196,0.19057377049180327,0.20081967213114754
WF3,RU,206,0.5065076709902406,0.47815533980582525,0.3892832465088108,0.02835233118441538,0.2912621359223301,0.18932038834951456,0.3786407766990291,0.1407766990291262
WF3,SC,138,0.056976206350253834,-0.007246376811594203,-0.18078763802141995,0.06422258316184803,0.21014492753623187,0.18840579710144928,0.41304347826086957,0.18840579710144928
WF3,SN,127,0.17486664910720742,-0.007842086420277438,0.17610307167390962,0.18270873552748487,0.25984251968503935,0.4645669291338583,0.11811023622047244,0.15748031496062992
WF3,TA,195,-0.08383203372796592,-0.15897435897436363,-0.16893795842784312,0.0751423252463977,0.2564102564102564,0.28717948717948716,0.26153846153846155,0.19487179487179487
