task,wf,model,half_life,auc,log_loss,brier,n_train,n_test,r2,spearman,mae
action_target_first,WF1,Linear,None,0.8262104434283151,0.38842013640776596,0.12182486060172774,637908,745031,,,
action_target_first,WF1,Linear,60,0.8254717194748636,0.38896186888743406,0.12197469653570153,637908,745031,,,
action_target_first,WF1,Linear,120,0.8258777330360356,0.3886581108528991,0.12189386385092078,637908,745031,,,
action_target_first,WF1,Linear,240,0.8262371023979191,0.3883693380334495,0.12181794579790342,637908,745031,,,
action_target_first,WF1,Linear,480,0.8259347436843649,0.388628696993187,0.1218841119102963,637908,745031,,,
action_target_first,WF1,GBDT,None,0.8351414530087149,0.37441981382997946,0.11779289553284687,637908,745031,,,
action_target_first,WF1,GBDT,60,0.8344690038741676,0.3752529156097014,0.11817779822157021,637908,745031,,,
action_target_first,WF1,GBDT,120,0.8350850891817092,0.3745981832728638,0.1179205288916717,637908,745031,,,
action_target_first,WF1,GBDT,240,0.834879299198417,0.37470635468734353,0.11793372490309226,637908,745031,,,
action_target_first,WF1,GBDT,480,0.8351336522185197,0.37460596967522386,0.11790671942319464,637908,745031,,,
action_target_first,WF2,Linear,None,0.8190602892679282,0.3928476714879419,0.12304930660299469,1000000,720027,,,
action_target_first,WF2,Linear,60,0.8187112104838932,0.3934803656785664,0.12320922685225934,1000000,720027,,,
action_target_first,WF2,Linear,120,0.8189979174365909,0.3930978908389166,0.12309537386562422,1000000,720027,,,
action_target_first,WF2,Linear,240,0.8189752998187758,0.3930121243967697,0.1230839506276436,1000000,720027,,,
action_target_first,WF2,Linear,480,0.8190267481975987,0.392930969741664,0.12308188249770637,1000000,720027,,,
action_target_first,WF2,GBDT,None,0.8300728425136299,0.377293430961906,0.11898433538746593,1000000,720027,,,
action_target_first,WF2,GBDT,60,0.8293507659519528,0.3781206476368754,0.11927971534069097,1000000,720027,,,
action_target_first,WF2,GBDT,120,0.8295891090949709,0.37789863312980293,0.11920897913296967,1000000,720027,,,
action_target_first,WF2,GBDT,240,0.8301843285829796,0.37731627512621707,0.11900567352929495,1000000,720027,,,
action_target_first,WF2,GBDT,480,0.8301864994655868,0.3772610233318646,0.11898557453101101,1000000,720027,,,
action_target_first,WF3,Linear,None,0.8238001806921369,0.3863293210395645,0.12109876240258664,1000000,703702,,,
action_target_first,WF3,Linear,60,0.8236112623495122,0.3865766022289475,0.1212862490513711,1000000,703702,,,
action_target_first,WF3,Linear,120,0.8236312037391453,0.3865127081354339,0.12120540921587244,1000000,703702,,,
action_target_first,WF3,Linear,240,0.8234939426590849,0.386541030133457,0.12117598400229293,1000000,703702,,,
action_target_first,WF3,Linear,480,0.823463382196399,0.3865733200028678,0.1211662465981937,1000000,703702,,,
action_target_first,WF3,GBDT,None,0.8334982028081052,0.37266473275534884,0.11736671185031532,1000000,703702,,,
action_target_first,WF3,GBDT,60,0.8319753384748686,0.3741486129170965,0.11792811633699242,1000000,703702,,,
action_target_first,WF3,GBDT,120,0.8329057952924859,0.3732440625060975,0.1175778707912277,1000000,703702,,,
action_target_first,WF3,GBDT,240,0.8334591815049104,0.3726416015835337,0.11734810322380095,1000000,703702,,,
action_target_first,WF3,GBDT,480,0.8336454260692192,0.37255578711784454,0.11734951624432781,1000000,703702,,,
wait_value,WF1,Linear,None,,,,511706,598325,0.0007360945747737491,0.09780351088154467,0.9220286841605584
wait_value,WF1,Linear,60,,,,511706,598325,0.0009085198103639947,0.10078029441766745,0.9212367712894644
wait_value,WF1,Linear,120,,,,511706,598325,0.0008396643419449346,0.0992900968102124,0.9213532195301941
wait_value,WF1,Linear,240,,,,511706,598325,0.0007906544143458927,0.09850612035864983,0.921630419840115
wait_value,WF1,Linear,480,,,,511706,598325,0.0007638572372480334,0.09813999806625259,0.9218152025490672
wait_value,WF1,GBDT,None,,,,511706,598325,-0.04957513040751116,0.16205111349245171,0.9559957731531813
wait_value,WF1,GBDT,60,,,,511706,598325,-0.05422457182719498,0.1627956394038852,0.9605874757955006
wait_value,WF1,GBDT,120,,,,511706,598325,-0.048272597487465374,0.17024602555581617,0.9563969099296631
wait_value,WF1,GBDT,240,,,,511706,598325,-0.029209965401900462,0.16733402001229733,0.9550579508955284
wait_value,WF1,GBDT,480,,,,511706,598325,-0.048046318232038976,0.1674679339524612,0.9552460128057806
wait_value,WF2,Linear,None,,,,1110031,577549,0.0022612035156851507,0.11713856214903358,0.9309948911349359
wait_value,WF2,Linear,60,,,,1110031,577549,0.0020285456537471047,0.09834742191122267,0.9427667569835816
wait_value,WF2,Linear,120,,,,1110031,577549,0.0022614670307702367,0.10932297923117815,0.9367652068417377
wait_value,WF2,Linear,240,,,,1110031,577549,0.0022960373945336565,0.1141739585922401,0.9337602316694795
wait_value,WF2,Linear,480,,,,1110031,577549,0.00228747281011088,0.11595473640275898,0.9323323061055577
wait_value,WF2,GBDT,None,,,,1110031,577549,-0.07595171321908856,0.17677071029472283,0.9692305603487354
wait_value,WF2,GBDT,60,,,,1110031,577549,-0.07280385580583926,0.16149330175510987,0.9764568428766104
wait_value,WF2,GBDT,120,,,,1110031,577549,-0.14679513512841558,0.1732241283389097,0.982777805511267
wait_value,WF2,GBDT,240,,,,1110031,577549,-0.12147890521428706,0.17497199626832957,0.9749196269909418
wait_value,WF2,GBDT,480,,,,1110031,577549,-0.10665476036314803,0.17435867597616178,0.9718443022483589
wait_value,WF3,Linear,None,,,,1687580,567740,0.0019444594820399175,0.13117944596208767,0.9575799428847366
wait_value,WF3,Linear,60,,,,1687580,567740,0.0016819104401527563,0.12268952699679969,0.9608060081235276
wait_value,WF3,Linear,120,,,,1687580,567740,0.0018892741547293923,0.12843933554931608,0.958404693843399
wait_value,WF3,Linear,240,,,,1687580,567740,0.0019419212613743797,0.13022757462814527,0.9579163278165849
wait_value,WF3,Linear,480,,,,1687580,567740,0.0019500488697493656,0.13083688562152465,0.9577505602475604
wait_value,WF3,GBDT,None,,,,1687580,567740,-0.0074123240368020316,0.17660540264664046,0.9951920429494894
wait_value,WF3,GBDT,60,,,,1687580,567740,-0.0004213464372300191,0.16837377530724643,1.0012746066650726
wait_value,WF3,GBDT,120,,,,1687580,567740,-0.005319590333222823,0.17777469640662266,0.9999090479133648
wait_value,WF3,GBDT,240,,,,1687580,567740,-0.0037662288288291546,0.17481714955991767,0.9968427211620323
wait_value,WF3,GBDT,480,,,,1687580,567740,-0.00581314930759258,0.17000147840334703,0.997427055913833
