wf,comparison,bootstrap_n,mean_delta_EV,median_delta_EV,ci_2p5,ci_97p5,p_delta_positive
WF1,Learned_Q_minus_Reassess,2000,-0.018181220494567885,-0.0180651908066996,-0.040881116618223405,0.003434674868923774,0.0475
WF2,Learned_Q_minus_Reassess,2000,-0.013888087552092209,-0.013621513532738778,-0.040176056633630414,0.010501727350859157,0.1415
WF3,Learned_Q_minus_Reassess,2000,-0.011639916743815553,-0.011642300628385838,-0.03818267178774404,0.015302799374734471,0.1945
