wf,policy,n_signals,filled_trades,fill_rate,EV_censor_worst_per_signal,EV_R_lower_per_signal,EV_R_upper_per_signal,total_R_censor_worst,win_rate_filled,profit_factor_filled,mean_R,median_R,max_drawdown_R
WF1,B0_SKIP,3160,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WF1,B1_MARKET,3160,2406,0.7613924050632911,0.010376171415190504,0.04202174103544367,0.047907816984810586,32.78870167200199,0.5182876142975894,1.1253906531369235,0.013627889306733981,0.1301578843688339,-106.40013704427189
WF1,B2_LIMIT_RR3,3160,859,0.2718354430379747,-0.005963576795068437,0.008909840926450552,0.06732756244543789,-18.84490267241626,0.25378346915017463,1.2645708709218582,0.12823643460719875,-1.0,-80.23793247767858
WF1,B3_REASSESS_RR3,3160,873,0.2762658227848101,0.034226296622653085,0.04909971434417207,0.05815034725556448,108.15509732758375,0.2531500572737686,1.2564547063265845,0.12388900037523908,-1.0,-87.23793247767858
WF1,B4_LEARNED_Q,3160,1094,0.34620253164556963,-0.010935007157869863,0.007102967525674438,0.013938410563649119,-34.55462261886877,0.42047531992687387,1.061430463398841,-0.019702580090373647,-1.0,-91.78321361333994
WF2,B0_SKIP,2847,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WF2,B1_MARKET,2847,2245,0.7885493501931858,0.03311778492054007,0.04751890891070517,0.05046106106865761,94.28633366877759,0.5247216035634744,1.1318580250183017,0.041998366890324094,0.16666666666666666,-97.28891672842774
WF2,B2_LIMIT_RR3,2847,756,0.2655426765015806,-0.01604594036651694,-0.010777236467676053,0.0598233957767918,-45.682792223473726,0.25925925925925924,1.2721416656450024,0.17634551293191308,-1.0,-88.0
WF2,B3_REASSESS_RR3,2847,779,0.2736213558131366,0.044368531006858544,0.04963723490569942,0.051042222612056994,126.31720777652627,0.25673940949935814,1.2505624251356848,0.16215302667076545,-1.0,-93.0
WF2,B4_LEARNED_Q,2847,854,0.29996487530734106,0.013189146722530305,0.014594134428887875,0.026845926718398257,37.54950071904378,0.4426229508196721,1.1240455523708555,0.0638752935820185,-1.0,-53.24821091377638
WF3,B0_SKIP,3008,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WF3,B1_MARKET,3008,2446,0.8131648936170213,0.04379501408359358,0.07637480131763613,0.08430919848075673,131.73540236344948,0.5331152902698283,1.22005306739794,0.05385748256886731,0.18898809523809523,-68.05723501923431
WF3,B2_LIMIT_RR3,3008,871,0.28956117021276595,0.05892231407713695,0.0672334842899029,0.11078401620479654,177.23832074402796,0.2939150401836969,1.5512513910915728,0.3447053051022135,-1.0,-48.666666666666686
WF3,B3_REASSESS_RR3,3008,902,0.29986702127659576,0.10413508003458377,0.11244625024734974,0.1217547608856476,313.238320744028,0.2960088691796009,1.554489050400046,0.34727086556987574,-1.0,-56.666666666666686
WF3,B4_LEARNED_Q,3008,1162,0.3863031914893617,0.09090267622404437,0.10021118686234225,0.10879939608220045,273.43525008192546,0.49483648881239245,1.576807245227058,0.25338661797067596,-1.0,-40.478775876146045
