action,count,mean,std,min,25%,50%,75%,max
reward_SKIP,11624.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
reward_MARKET,11624.0,0.007833390223051776,1.105685157696001,-1.0,-1.0,0.0,0.5,14.000000000005457
reward_LIMIT_RR3,11624.0,0.03427054251416862,1.0799959327437418,-1.0,0.0,0.0,0.0,14.000000000005457
reward_REASSESS_RR3,11624.0,0.0346146581370179,1.0883966213573297,-1.0,0.0,0.0,0.0,14.000000000005457
