wf,n_signals,clean_filled_n,ambiguous_fill_target_n,ambiguous_fill_stop_n,censored_filled_n,raw_R_lower_sum,censor_worst_R_sum,censor_worst_EV_per_signal
WF1,3160,859,9,129,47,28.15509732758372,-18.844902672416275,-0.005963576795068442
WF2,2847,756,6,179,15,-30.68279222347373,-45.682792223473726,-0.01604594036651694
WF3,3008,871,0,123,25,202.23832074402793,177.23832074402793,0.058922314077136946
