wf,policy,cost_R,fill_rate,gross_EV,net_EV_censor_worst
WF1,LEARNED_Q,0.0,0.2990506329113924,0.016241304702721355,0.016241304702721355
WF1,LEARNED_Q,0.01,0.2990506329113924,0.016241304702721355,0.01325079837360743
WF1,LEARNED_Q,0.02,0.2990506329113924,0.016241304702721355,0.010260292044493507
WF1,LEARNED_Q,0.03,0.2990506329113924,0.016241304702721355,0.007269785715379583
WF1,LEARNED_Q,0.05,0.2990506329113924,0.016241304702721355,0.0012887730571517347
WF1,LEARNED_Q,0.1,0.2990506329113924,0.016241304702721355,-0.013663758588417885
WF2,LEARNED_Q,0.0,0.3101510361784334,0.030272696680828715,0.030272696680828715
WF2,LEARNED_Q,0.01,0.3101510361784334,0.030272696680828715,0.02717118631904438
WF2,LEARNED_Q,0.02,0.3101510361784334,0.030272696680828715,0.024069675957260048
WF2,LEARNED_Q,0.03,0.3101510361784334,0.030272696680828715,0.020968165595475714
WF2,LEARNED_Q,0.05,0.3101510361784334,0.030272696680828715,0.014765144871907042
WF2,LEARNED_Q,0.1,0.3101510361784334,0.030272696680828715,-0.0007424069370146301
WF3,LEARNED_Q,0.0,0.45179521276595747,0.09261621814834431,0.09261621814834431
WF3,LEARNED_Q,0.01,0.45179521276595747,0.09261621814834431,0.08809826602068474
WF3,LEARNED_Q,0.02,0.45179521276595747,0.09261621814834431,0.08358031389302516
WF3,LEARNED_Q,0.03,0.45179521276595747,0.09261621814834431,0.07906236176536559
WF3,LEARNED_Q,0.05,0.45179521276595747,0.09261621814834431,0.07002645751004644
WF3,LEARNED_Q,0.1,0.45179521276595747,0.09261621814834431,0.04743669687174856
