symbol,source_tf,touch_behavior,direction,n,n_weighted,mean_R,mean_R_event,target_hit_rate_w,ci025,ci975,p_gt_0
AG,5m,NO_BREACH,follow,1819,1377.7346,-0.050698,-0.034587,0.215254,-0.123943,0.020861,0.068
AG,5m,BREACH_RECLAIM,follow,321,170.7623,0.095383,0.111922,0.30332,-0.065596,0.275452,0.86
AG,5m,CLOSE_BEYOND,follow,337,174.1284,-0.107262,-0.065634,0.248046,-0.273266,0.05955,0.106
AG,15m,NO_BREACH,follow,845,540.8881,0.026801,-0.009409,0.23503,-0.065601,0.11896,0.706
AG,15m,BREACH_RECLAIM,follow,107,40.9155,0.173706,0.285026,0.351558,,,
AG,15m,CLOSE_BEYOND,follow,105,40.0736,0.043421,0.066332,0.277362,,,
AG,1h,NO_BREACH,follow,395,270.0294,-0.120872,-0.08052,0.196612,-0.266212,0.028038,0.059
AG,1h,BREACH_RECLAIM,follow,26,13.9437,-0.066392,-0.012836,0.158062,,,
AG,1h,CLOSE_BEYOND,follow,30,15.5244,-0.400389,-0.005169,0.09589,,,
CU,5m,NO_BREACH,follow,1484,1099.8946,0.049058,0.049331,0.25013,-0.027506,0.120385,0.9
CU,5m,BREACH_RECLAIM,follow,231,124.3821,0.017369,0.09652,0.243595,,,
CU,5m,CLOSE_BEYOND,follow,221,104.8473,-0.1219,0.012534,0.244221,,,
CU,15m,NO_BREACH,follow,824,547.4905,0.053782,0.037078,0.247456,-0.059502,0.179623,0.822
CU,15m,BREACH_RECLAIM,follow,71,27.544,0.109389,0.169216,0.228508,,,
CU,15m,CLOSE_BEYOND,follow,70,25.8488,0.041879,0.145497,0.202183,,,
CU,1h,NO_BREACH,follow,319,216.6894,-0.017438,0.005578,0.212912,-0.169768,0.129687,0.406
CU,1h,BREACH_RECLAIM,follow,21,12.2083,-0.475938,-0.228249,0.136519,,,
CU,1h,CLOSE_BEYOND,follow,25,14.0949,-0.286052,-0.141561,0.142571,,,
RB,5m,NO_BREACH,follow,891,624.9671,-0.026885,-0.031867,0.202935,-0.124286,0.070061,0.308
RB,5m,BREACH_RECLAIM,follow,116,53.5242,-0.167313,-0.290872,0.187766,,,
RB,5m,CLOSE_BEYOND,follow,110,42.273,-0.345075,-0.332437,0.143512,,,
RB,15m,NO_BREACH,follow,522,315.5226,-0.011336,-0.057784,0.219864,-0.138401,0.12655,0.434
RB,15m,BREACH_RECLAIM,follow,27,7.7524,-0.214347,-0.209919,0.217138,,,
RB,15m,CLOSE_BEYOND,follow,35,9.4611,-0.396109,-0.501214,0.09542,,,
RB,1h,NO_BREACH,follow,212,126.3885,0.04578,-0.017216,0.190968,-0.143549,0.252412,0.686
RB,1h,BREACH_RECLAIM,follow,11,8.375,0.55582,0.184545,0.119403,,,
RB,1h,CLOSE_BEYOND,follow,15,7.7361,0.555296,0.244183,0.208259,,,
M,5m,NO_BREACH,follow,951,685.9347,0.072528,0.103454,0.271276,-0.024005,0.163511,0.921
M,5m,BREACH_RECLAIM,follow,118,55.5037,0.191006,0.234616,0.30926,,,
M,5m,CLOSE_BEYOND,follow,137,51.4978,0.23001,0.271015,0.363079,,,
M,15m,NO_BREACH,follow,477,296.3291,0.060026,0.078499,0.263749,-0.083732,0.21083,0.791
M,15m,BREACH_RECLAIM,follow,33,14.2076,-0.233023,-0.095216,0.213501,,,
M,15m,CLOSE_BEYOND,follow,53,15.4794,0.466868,0.391283,0.416967,,,
M,1h,NO_BREACH,follow,232,141.0846,0.014899,0.098614,0.259906,-0.193712,0.248241,0.547
M,1h,BREACH_RECLAIM,follow,12,5.025,-0.259794,-0.269139,0.218905,,,
M,1h,CLOSE_BEYOND,follow,11,2.9381,0.897582,0.576389,0.560378,,,
AG,5m,NO_BREACH,fade,1819,1377.7346,0.038354,0.000617,0.270984,-0.030257,0.107041,0.87
AG,5m,BREACH_RECLAIM,fade,321,170.7623,-0.160768,-0.211397,0.25375,-0.308634,0.007486,0.035
AG,5m,CLOSE_BEYOND,fade,337,174.1284,0.124854,0.089862,0.324671,-0.056598,0.317234,0.899
AG,15m,NO_BREACH,fade,845,540.8881,0.038737,0.020879,0.286647,-0.068839,0.156823,0.752
AG,15m,BREACH_RECLAIM,fade,107,40.9155,-0.184926,-0.316247,0.236143,,,
