symbol,direction,outcome,model,n_oos,auc_w,brier_w,logloss_w
ALL,follow,1ATR_2R_H12_target_hit,S,9059,0.484361,0.180629,0.547508
ALL,follow,1ATR_2R_H12_target_hit,S+D,9059,0.487284,0.180916,0.548271
ALL,follow,1ATR_2R_H12_positive_R,S,9059,0.500176,0.235717,0.664323
ALL,follow,1ATR_2R_H12_positive_R,S+D,9059,0.501479,0.235984,0.664893
AG,follow,1ATR_2R_H12_target_hit,S,3146,0.494506,0.174013,0.532957
AG,follow,1ATR_2R_H12_target_hit,S+D,3146,0.504307,0.174661,0.534409
AG,follow,1ATR_2R_H12_positive_R,S,3146,0.506997,0.233315,0.659376
AG,follow,1ATR_2R_H12_positive_R,S+D,3146,0.516493,0.233613,0.659996
CU,follow,1ATR_2R_H12_target_hit,S,2661,0.508491,0.186301,0.560695
CU,follow,1ATR_2R_H12_target_hit,S+D,2661,0.490026,0.187362,0.563656
CU,follow,1ATR_2R_H12_positive_R,S,2661,0.473616,0.242237,0.677837
CU,follow,1ATR_2R_H12_positive_R,S+D,2661,0.470492,0.243582,0.68075
RB,follow,1ATR_2R_H12_target_hit,S,1619,0.484994,0.164457,0.513717
RB,follow,1ATR_2R_H12_target_hit,S+D,1619,0.473988,0.166199,0.518268
RB,follow,1ATR_2R_H12_positive_R,S,1619,0.485774,0.23714,0.667692
RB,follow,1ATR_2R_H12_positive_R,S+D,1619,0.478503,0.24073,0.675378
M,follow,1ATR_2R_H12_target_hit,S,1633,0.510103,0.204047,0.600108
M,follow,1ATR_2R_H12_target_hit,S+D,1633,0.492597,0.204989,0.602744
M,follow,1ATR_2R_H12_positive_R,S,1633,0.492124,0.243493,0.680677
M,follow,1ATR_2R_H12_positive_R,S+D,1633,0.484256,0.244277,0.68244
ALL,fade,1ATR_2R_H12_target_hit,S,9059,0.490914,0.191049,0.570447
ALL,fade,1ATR_2R_H12_target_hit,S+D,9059,0.493097,0.191282,0.571047
ALL,fade,1ATR_2R_H12_positive_R,S,9059,0.496981,0.233431,0.65979
ALL,fade,1ATR_2R_H12_positive_R,S+D,9059,0.499378,0.233664,0.660306
AG,fade,1ATR_2R_H12_target_hit,S,3146,0.511659,0.204078,0.599336
AG,fade,1ATR_2R_H12_target_hit,S+D,3146,0.522038,0.20442,0.600828
AG,fade,1ATR_2R_H12_positive_R,S,3146,0.51236,0.241534,0.677214
AG,fade,1ATR_2R_H12_positive_R,S+D,3146,0.51553,0.242631,0.680213
CU,fade,1ATR_2R_H12_target_hit,S,2661,0.453828,0.18294,0.553152
CU,fade,1ATR_2R_H12_target_hit,S+D,2661,0.455714,0.183984,0.555831
CU,fade,1ATR_2R_H12_positive_R,S,2661,0.462458,0.230756,0.654642
CU,fade,1ATR_2R_H12_positive_R,S+D,2661,0.465561,0.231907,0.657258
RB,fade,1ATR_2R_H12_target_hit,S,1619,0.526985,0.184026,0.555581
RB,fade,1ATR_2R_H12_target_hit,S+D,1619,0.510333,0.185424,0.559095
RB,fade,1ATR_2R_H12_positive_R,S,1619,0.517312,0.234727,0.662235
RB,fade,1ATR_2R_H12_positive_R,S+D,1619,0.505448,0.236286,0.665414
M,fade,1ATR_2R_H12_target_hit,S,1633,0.499981,0.19301,0.57648
M,fade,1ATR_2R_H12_target_hit,S+D,1633,0.494909,0.19357,0.578198
M,fade,1ATR_2R_H12_positive_R,S,1633,0.495297,0.231575,0.657032
M,fade,1ATR_2R_H12_positive_R,S+D,1633,0.485716,0.232678,0.659546
