scope,symbol,source_tf,n,n_weighted,mean_R,mean_R_event,target_hit_rate_w,stop_hit_rate_w,ci025,ci975,p_gt_0
pooled,ALL,5m,6736,4565.4497,0.000646,0.016874,0.238193,0.572101,-0.039381,0.039273,0.5115
symbol,AG,5m,2477,1722.6253,-0.041935,-0.019824,0.227299,0.592389,-0.101184,0.019231,0.0885
symbol,CU,5m,1936,1329.124,0.032606,0.050761,0.249052,0.56649,-0.037651,0.097515,0.8315
symbol,RB,5m,1117,720.7643,-0.055975,-0.088364,0.198323,0.546808,-0.14316,0.036837,0.125
symbol,M,5m,1206,792.9361,0.091049,0.135322,0.279897,0.560422,-0.000826,0.181039,0.974
pooled,ALL,15m,3169,1881.513,0.036992,0.026485,0.244073,0.548416,-0.021138,0.094433,0.9
symbol,AG,15m,1057,621.8773,0.037537,0.027921,0.245425,0.555547,-0.052703,0.126077,0.7825
symbol,CU,15m,965,600.8834,0.055819,0.054665,0.24464,0.541208,-0.051192,0.166864,0.836
symbol,RB,15m,584,332.7361,-0.027006,-0.091393,0.216262,0.54506,-0.159815,0.104032,0.3355
symbol,M,15m,563,326.0161,0.066572,0.097762,0.268834,0.551523,-0.076245,0.214473,0.825
pooled,ALL,1h,1309,834.0373,-0.042241,-0.008262,0.207134,0.555899,-0.126761,0.039511,0.1575
symbol,AG,1h,451,299.4974,-0.132824,-0.071606,0.189596,0.601324,-0.27129,0.011716,0.0345
symbol,CU,1h,365,242.9926,-0.056055,-0.017953,0.204994,0.553629,-0.205141,0.100825,0.242
symbol,RB,1h,238,142.4996,0.103417,0.008584,0.1877,0.454053,-0.085687,0.290121,0.862
symbol,M,1h,255,149.0477,0.023038,0.101918,0.264447,0.565697,-0.181077,0.234284,0.5675
