symbol,fold,stop_atr,target_r,mean_R_LOW,mean_R_MID,mean_R_HIGH,delta_high_low
AG,4,1.25,2.5,-0.423504,0.100929,-0.215901,0.20760299999999998
AG,4,1.25,3.0,-0.423504,0.117058,-0.222183,0.201321
AG,5,0.75,1.5,0.037879,-0.418605,-0.003803,-0.041682000000000004
AG,5,0.75,2.0,-0.022121,-0.497002,-0.032961,-0.010839999999999999
AG,5,0.75,2.5,-0.100348,-0.520258,0.015219,0.115567
AG,5,0.75,3.0,-0.000348,-0.547549,0.023429,0.023777
AG,5,1.0,1.5,-0.176591,-0.304897,0.058046,0.23463699999999998
AG,5,1.0,2.0,-0.220261,-0.328153,0.094255,0.314516
AG,5,1.0,2.5,-0.268587,-0.355483,0.120822,0.389409
AG,5,1.0,3.0,-0.228587,-0.340383,0.149158,0.377745
AG,5,1.25,1.5,-0.249709,-0.185155,0.086629,0.33633799999999997
AG,5,1.25,2.0,-0.26837,-0.16981,0.124579,0.392949
AG,5,1.25,2.5,-0.253713,-0.171627,0.118822,0.372535
AG,5,1.25,3.0,-0.250012,-0.148371,0.150063,0.400075
AG,6,0.75,1.5,-0.117647,-0.060439,0.038711,0.156358
AG,6,0.75,2.0,-0.216588,-0.369685,0.025641,0.242229
AG,6,0.75,2.5,-0.254788,-0.405467,0.101082,0.35587
AG,6,0.75,3.0,-0.401576,-0.366152,0.027505,0.429081
AG,6,1.0,1.5,-0.131672,-0.302006,0.024839,0.156511
AG,6,1.0,2.0,-0.272528,-0.311652,0.077158,0.349686
AG,6,1.0,2.5,-0.276661,-0.307219,0.001557,0.27821799999999997
AG,6,1.0,3.0,-0.247156,-0.331829,-0.025607,0.221549
AG,6,1.25,1.5,-0.205481,-0.181235,0.123654,0.329135
AG,6,1.25,2.0,-0.287672,-0.170183,0.072629,0.360301
AG,6,1.25,2.5,-0.258186,-0.179871,0.045036,0.30322200000000005
AG,6,1.25,3.0,-0.228774,-0.187285,0.05053,0.279304
AG,ALL,0.75,1.5,-0.084175,-0.105917,0.013003,0.097178
AG,ALL,0.75,2.0,-0.124192,-0.159015,0.022679,0.146871
AG,ALL,0.75,2.5,-0.212432,-0.23939,0.008064,0.220496
AG,ALL,0.75,3.0,-0.247925,-0.205488,0.014483,0.26240800000000003
AG,ALL,1.0,1.5,-0.093413,-0.142802,0.01367,0.107083
AG,ALL,1.0,2.0,-0.173772,-0.190268,-0.013154,0.160618
AG,ALL,1.0,2.5,-0.194947,-0.173023,0.003766,0.198713
AG,ALL,1.0,3.0,-0.165613,-0.164645,-0.003771,0.161842
AG,ALL,1.25,1.5,-0.130304,-0.134101,-0.015725,0.114579
AG,ALL,1.25,2.0,-0.152253,-0.100385,-0.003665,0.148588
AG,ALL,1.25,2.5,-0.126806,-0.084139,-0.020037,0.106769
AG,ALL,1.25,3.0,-0.121803,-0.078332,-0.011647,0.11015599999999999
CU,0,0.75,1.5,-0.005756,-0.07532,0.333333,0.339089
CU,0,0.75,2.0,-0.057314,-0.142838,0.372887,0.430201
CU,0,0.75,2.5,-0.047841,-0.063818,0.295831,0.34367200000000003
CU,0,0.75,3.0,0.004252,-0.062213,0.377175,0.372923
CU,0,1.0,1.5,0.186145,0.003546,0.417431,0.231286
CU,0,1.0,2.0,0.220834,0.127466,0.354202,0.13336800000000001
CU,0,1.0,2.5,0.23915,0.130102,0.380698,0.14154799999999998
CU,0,1.0,3.0,0.225747,0.162711,0.447365,0.221618
CU,0,1.25,1.5,0.328001,0.034691,0.378963,0.05096200000000001
CU,0,1.25,2.0,0.391111,0.055682,0.384007,-0.007103999999999999
CU,0,1.25,2.5,0.382846,0.087644,0.451546,0.06869999999999998
CU,0,1.25,3.0,0.344473,0.120989,0.498624,0.15415100000000004
CU,1,0.75,1.5,0.01028,0.195652,0.231837,0.22155699999999998
CU,1,0.75,2.0,-0.079742,0.220014,0.028873,0.10861499999999999
CU,1,0.75,2.5,-0.117288,0.293863,0.041279,0.158567
CU,1,0.75,3.0,-0.03834,0.34821,0.03617,0.07450999999999999
CU,1,1.0,1.5,0.191516,0.153714,-0.042259,-0.23377499999999998
CU,1,1.0,2.0,0.181325,0.255296,-0.037272,-0.21859699999999999
CU,1,1.0,2.5,0.269502,0.185359,-0.078267,-0.347769
CU,1,1.0,3.0,0.226041,-0.058552,-0.05211,-0.278151
CU,1,1.25,1.5,0.062172,0.128637,-0.012103,-0.074275
CU,1,1.25,2.0,0.153766,0.094426,-0.043032,-0.19679800000000003
CU,1,1.25,2.5,0.124261,-0.114299,-0.019083,-0.143344
CU,1,1.25,3.0,0.089041,-0.10343,0.002044,-0.08699699999999999
CU,2,0.75,1.5,0.261269,0.304348,-0.166667,-0.427936
CU,2,0.75,2.0,0.483491,0.249216,-0.121212,-0.604703
CU,2,0.75,2.5,0.508753,0.071224,-0.08131,-0.590063
CU,2,0.75,3.0,0.554455,-0.075831,-0.080658,-0.635113
CU,2,1.0,1.5,0.654353,0.141971,-0.002405,-0.656758
CU,2,1.0,2.0,0.551096,0.024782,0.06985,-0.48124600000000006
CU,2,1.0,2.5,0.64073,-0.101814,0.135059,-0.505671
CU,2,1.0,3.0,0.692162,-0.096675,0.16094,-0.5312220000000001
CU,2,1.25,1.5,0.482082,-0.035021,-0.000523,-0.482605
CU,2,1.25,2.0,0.536767,-0.058295,0.066084,-0.47068299999999996
CU,2,1.25,2.5,0.589023,-0.049836,0.082915,-0.506108
CU,2,1.25,3.0,0.644579,-0.028097,0.110382,-0.534197
CU,3,0.75,1.5,0.0,0.110767,0.125345,0.125345
CU,3,0.75,2.0,0.2,0.206921,0.130252,-0.069748
CU,3,0.75,2.5,0.4,0.27702,0.193004,-0.206996
CU,3,0.75,3.0,0.332638,0.13944,0.220633,-0.112005
CU,3,1.0,1.5,0.0,0.01096,0.039042,0.039042
CU,3,1.0,2.0,0.09353,-0.106958,0.092349,-0.0011810000000000015
CU,3,1.0,2.5,0.149479,-0.126189,0.109885,-0.039594000000000004
CU,3,1.0,3.0,-0.150521,-0.168069,0.098686,0.24920699999999998
CU,3,1.25,1.5,0.0,0.019347,0.064377,0.064377
CU,3,1.25,2.0,-0.000417,-0.005506,0.08766,0.088077
CU,3,1.25,2.5,-0.250417,-0.111135,0.078019,0.328436
CU,3,1.25,3.0,-0.200417,-0.091905,0.066309,0.266726
CU,4,0.75,1.5,-0.25,0.26268,-0.039844,0.210156
CU,4,0.75,2.0,-0.236056,0.418419,-0.03125,0.204806
CU,4,0.75,2.5,-0.276056,0.573924,-0.102979,0.17307700000000004
CU,4,0.75,3.0,-0.196056,0.583913,-0.087637,0.108419
CU,4,1.0,1.5,-0.328886,0.381172,0.074365,0.403251
CU,4,1.0,2.0,-0.348886,0.552247,0.002606,0.35149199999999997
CU,4,1.0,2.5,-0.268886,0.546466,0.035986,0.30487200000000003
CU,4,1.0,3.0,-0.373564,0.526954,0.059241,0.432805
CU,4,1.25,1.5,-0.31624,0.414505,0.011106,0.327346
CU,4,1.25,2.0,-0.23624,0.435696,-0.00175,0.23449
CU,4,1.25,2.5,-0.341153,0.470635,0.025808,0.366961
CU,4,1.25,3.0,-0.341153,0.489641,0.034169,0.375322
CU,5,0.75,1.5,-0.012451,-0.412622,0.375987,0.388438
CU,5,0.75,2.0,0.039092,-0.341954,0.2,0.160908
CU,5,0.75,2.5,0.082736,-0.331428,0.032126,-0.05061
CU,5,0.75,3.0,0.060223,-0.354025,0.116906,0.056683
CU,5,1.0,1.5,-0.012348,-0.315904,0.011405,0.023753
CU,5,1.0,2.0,-0.096056,-0.305456,-0.098875,-0.002819000000000002
CU,5,1.0,2.5,-0.069416,-0.299166,-0.007165,0.06225100000000001
CU,5,1.0,3.0,-0.006916,-0.28765,0.035201,0.042117
