symbol,fold,stop_atr,target_r,quant_bin,n,n_weighted,n_result,mean_R,mean_R_event,median_R,positive_R_rate_w,positive_R_rate_event,p10_R,p90_R,target_hit_rate_w,target_hit_rate_event,stop_hit_rate_w,stop_hit_rate_event,timeout_rate_w,timeout_rate_event,both_hit_rate_w,both_hit_rate_event,gap_stop_rate_w,gap_stop_rate_event
AG,0,0.75,1.5,LOW,69,46.0,69,-0.156259,-0.099192,-1.0,0.347826,0.362319,-1.0,1.5,0.282609,0.318841,0.565217,0.565217,0.152174,0.115942,0.0,0.0,0.0,0.0
AG,0,0.75,1.5,MID,140,99.0,140,-0.176763,-0.185711,-1.0,0.333333,0.328571,-1.0,1.5,0.30303,0.307143,0.636364,0.65,0.050505,0.035714,0.010101,0.007143,0.0,0.0
AG,0,0.75,1.5,HIGH,87,57.0,87,0.154971,-0.051724,-1.0,0.461988,0.37931,-1.0,1.5,0.461988,0.37931,0.538012,0.62069,0.0,0.0,0.0,0.0,0.0,0.0
AG,0,0.75,2.0,LOW,69,46.0,69,-0.026165,0.04528,-1.0,0.347826,0.362319,-1.0,2.0,0.26087,0.289855,0.565217,0.565217,0.173913,0.144928,0.0,0.0,0.0,0.0
AG,0,0.75,2.0,MID,140,99.0,140,-0.055862,-0.056184,-1.0,0.333333,0.328571,-1.0,2.0,0.252525,0.264286,0.646465,0.657143,0.10101,0.078571,0.0,0.0,0.0,0.0
AG,0,0.75,2.0,HIGH,87,57.0,87,0.217878,0.008812,-1.0,0.426901,0.356322,-1.0,2.0,0.374269,0.310345,0.573099,0.643678,0.052632,0.045977,0.0,0.0,0.0,0.0
AG,0,0.75,2.5,LOW,69,46.0,69,-0.20416,-0.221031,-1.0,0.282609,0.275362,-1.0,2.5,0.130435,0.115942,0.608696,0.623188,0.26087,0.26087,0.0,0.0,0.0,0.0
AG,0,0.75,2.5,MID,140,99.0,140,-0.160988,-0.160123,-1.0,0.30303,0.3,-1.0,2.5,0.141414,0.15,0.676768,0.685714,0.181818,0.164286,0.0,0.0,0.0,0.0
AG,0,0.75,2.5,HIGH,87,57.0,87,0.187565,0.021519,-1.0,0.374269,0.321839,-1.0,2.5,0.28655,0.252874,0.608187,0.666667,0.105263,0.08046,0.0,0.0,0.0,0.0
AG,0,0.75,3.0,LOW,69,46.0,69,-0.169365,-0.183342,-1.0,0.282609,0.275362,-1.0,3.0,0.108696,0.101449,0.608696,0.623188,0.282609,0.275362,0.0,0.0,0.0,0.0
AG,0,0.75,3.0,MID,140,99.0,140,-0.15247,-0.130907,-1.0,0.292929,0.292857,-1.0,3.0,0.111111,0.121429,0.676768,0.685714,0.212121,0.192857,0.0,0.0,0.0,0.0
AG,0,0.75,3.0,HIGH,87,57.0,87,0.155512,0.009197,-1.0,0.356725,0.310345,-1.0,3.0,0.19883,0.172414,0.625731,0.678161,0.175439,0.149425,0.0,0.0,0.0,0.0
AG,0,1.0,1.5,LOW,69,46.0,69,0.005333,0.017989,-0.557773,0.413043,0.405797,-1.0,1.5,0.304348,0.318841,0.478261,0.492754,0.217391,0.188406,0.0,0.0,0.0,0.0
AG,0,1.0,1.5,MID,140,99.0,140,-0.073797,-0.02541,-1.0,0.393939,0.407143,-1.0,1.5,0.282828,0.321429,0.585859,0.578571,0.131313,0.1,0.0,0.0,0.0,0.0
AG,0,1.0,1.5,HIGH,87,57.0,87,0.107853,-0.068104,-1.0,0.461988,0.390805,-1.0,1.5,0.409357,0.344828,0.538012,0.609195,0.052632,0.045977,0.0,0.0,0.0,0.0
AG,0,1.0,2.0,LOW,69,46.0,69,-0.092882,-0.129737,-1.0,0.369565,0.362319,-1.0,2.0,0.152174,0.130435,0.5,0.507246,0.347826,0.362319,0.0,0.0,0.0,0.0
AG,0,1.0,2.0,MID,140,99.0,140,-0.132183,-0.073357,-1.0,0.363636,0.378571,-1.0,2.0,0.161616,0.185714,0.616162,0.607143,0.222222,0.207143,0.0,0.0,0.0,0.0
AG,0,1.0,2.0,HIGH,87,57.0,87,0.068389,-0.067815,-1.0,0.409357,0.356322,-1.0,2.0,0.251462,0.218391,0.573099,0.632184,0.175439,0.149425,0.0,0.0,0.0,0.0
AG,0,1.0,2.5,LOW,69,46.0,69,-0.072334,-0.101546,-1.0,0.369565,0.362319,-1.0,2.347927,0.108696,0.101449,0.5,0.507246,0.391304,0.391304,0.0,0.0,0.0,0.0
AG,0,1.0,2.5,MID,140,99.0,140,-0.107043,-0.023007,-1.0,0.353535,0.371429,-1.0,2.5,0.121212,0.15,0.616162,0.607143,0.262626,0.242857,0.0,0.0,0.0,0.0
AG,0,1.0,2.5,HIGH,87,57.0,87,0.05676,-0.048614,-1.0,0.391813,0.344828,-1.0,2.5,0.181287,0.172414,0.590643,0.643678,0.22807,0.183908,0.0,0.0,0.0,0.0
AG,0,1.0,3.0,LOW,69,46.0,69,-0.050283,-0.078537,-1.0,0.369565,0.362319,-1.0,1.863585,0.065217,0.057971,0.5,0.507246,0.434783,0.434783,0.0,0.0,0.0,0.0
AG,0,1.0,3.0,MID,140,99.0,140,-0.046437,0.051993,-1.0,0.353535,0.371429,-1.0,3.0,0.121212,0.15,0.616162,0.607143,0.262626,0.242857,0.0,0.0,0.0,0.0
AG,0,1.0,3.0,HIGH,87,57.0,87,0.054376,-0.058118,-1.0,0.391813,0.344828,-1.0,3.0,0.111111,0.103448,0.590643,0.643678,0.298246,0.252874,0.0,0.0,0.0,0.0
AG,0,1.25,1.5,LOW,69,46.0,69,-0.060474,-0.08904,-0.220839,0.413043,0.42029,-1.0,1.5,0.152174,0.130435,0.369565,0.362319,0.478261,0.507246,0.0,0.0,0.0,0.0
AG,0,1.25,1.5,MID,140,99.0,140,-0.127026,-0.075451,-1.0,0.414141,0.428571,-1.0,1.5,0.20202,0.242857,0.535354,0.535714,0.262626,0.221429,0.0,0.0,0.0,0.0
AG,0,1.25,1.5,HIGH,87,57.0,87,0.105108,-0.060038,-1.0,0.479532,0.402299,-1.0,1.5,0.339181,0.298851,0.48538,0.563218,0.175439,0.137931,0.0,0.0,0.0,0.0
AG,0,1.25,2.0,LOW,69,46.0,69,-0.028818,-0.053443,-0.220839,0.413043,0.42029,-1.0,2.0,0.108696,0.101449,0.369565,0.362319,0.521739,0.536232,0.0,0.0,0.0,0.0
AG,0,1.25,2.0,MID,140,99.0,140,-0.090224,-0.018658,-1.0,0.40404,0.421429,-1.0,2.0,0.121212,0.15,0.535354,0.535714,0.343434,0.314286,0.0,0.0,0.0,0.0
AG,0,1.25,2.0,HIGH,87,57.0,87,0.084176,-0.05437,-1.0,0.461988,0.390805,-1.0,2.0,0.19883,0.183908,0.502924,0.574713,0.298246,0.241379,0.0,0.0,0.0,0.0
AG,0,1.25,2.5,LOW,69,46.0,69,-0.027735,-0.044625,-0.220839,0.413043,0.42029,-1.0,1.419105,0.043478,0.043478,0.369565,0.362319,0.586957,0.594203,0.0,0.0,0.0,0.0
AG,0,1.25,2.5,MID,140,99.0,140,-0.029618,0.056342,-1.0,0.40404,0.421429,-1.0,2.5,0.121212,0.15,0.535354,0.535714,0.343434,0.314286,0.0,0.0,0.0,0.0
AG,0,1.25,2.5,HIGH,87,57.0,87,0.069722,-0.067128,-1.0,0.461988,0.390805,-1.0,2.5,0.111111,0.103448,0.502924,0.574713,0.385965,0.321839,0.0,0.0,0.0,0.0
AG,0,1.25,3.0,LOW,69,46.0,69,-0.005996,-0.022886,-0.220839,0.413043,0.42029,-1.0,1.419105,0.043478,0.043478,0.369565,0.362319,0.586957,0.594203,0.0,0.0,0.0,0.0
AG,0,1.25,3.0,MID,140,99.0,140,-0.00781,0.076849,-1.0,0.40404,0.421429,-1.0,2.777024,0.10101,0.121429,0.535354,0.535714,0.363636,0.342857,0.0,0.0,0.0,0.0
