symbol,n_test_trades,n_test_rows,A_return,A_ci_low,A_ci_high,B_return,B_ci_low,B_ci_high,C_return,C_ci_low,C_ci_high,B_minus_A,C_minus_B,C_minus_A,A_long_return,A_short_return,A_long_recall,A_short_recall,B_long_return,B_short_return,B_long_recall,B_short_recall,C_long_return,C_short_return,C_long_recall,C_short_recall
AG,74,1048,0.8660373437475797,-0.05668275959366535,1.8350507991571239,1.286264625172637,0.34445150045322936,2.2923897995962483,0.8393827677341121,-0.07565024544956457,1.8153555057841164,0.4202272814250575,-0.44688185743852515,-0.026654576013467622,1.7746623914780784,0.09370605317665595,0.7093329752715566,0.46394951243581384,1.331977535511507,1.2474086513845983,0.6577222736756845,0.5760389158026143,1.7391364211542795,0.07459216232696972,0.703176100757045,0.46112868029991316
AU,73,965,0.37245761001170524,-0.43146619052078267,1.1685565043738346,0.5902202016162049,-0.2689527107851279,1.4582276483570968,0.39962317636871014,-0.42633298149565124,1.2146505265560978,0.21776259160449965,-0.1905970252474948,0.027165566357004834,0.7174156090129196,0.054733137247429085,0.6298879394415109,0.3998282289825886,-0.22437554661969294,1.3405057592019005,0.524693401836259,0.5148056426293861,0.7092973636862464,0.11439695120782145,0.6283916678559536,0.4028932162237974
CU,38,1202,0.9124857835505992,0.007277112578880853,1.8031370880404565,0.5789577657757471,-0.2548645101833818,1.4538276937406602,0.9059005508614634,-0.0007986558875192029,1.8056275270373796,-0.3335280177748519,0.3269427850857161,-0.006585232689135719,1.9423896013205215,-0.3597483442828344,0.7354281505207337,0.44202708247024963,0.6678255070913219,0.4691799676800367,0.6555506205463013,0.5206266505888303,1.898421928694722,-0.3201552688149146,0.7320886228537411,0.4441247295185169
AL,34,1074,0.8354033248155891,-0.4106016599959161,2.059100808064065,0.8201148474093026,-0.1927229160698901,1.9905445178027203,0.6701720879460961,-0.5908079995812271,1.901092157219038,-0.015288477406286537,-0.14994275946320657,-0.16523123686949312,1.7260912700978805,-0.05528462046670241,0.7822669392956828,0.5295164908803561,1.0325078981863474,0.6077217966322577,0.6610814720338463,0.5956941201120516,1.5408416284161643,-0.2004974525239718,0.7662236340263058,0.5266852345032013
SN,44,1045,0.03928740846674664,-0.8679045079973062,0.9701364459414202,0.39679284326857955,-0.36226837923631217,1.197626536402702,-0.2668005486314985,-1.1056184320202513,0.5879996149046892,0.3575054348018329,-0.663593391900078,-0.3060879570982451,1.1883425630904616,-0.9182585537196827,0.7108874164659359,0.40616092434534745,0.9058291236368177,-0.027404057038285856,0.7212421717877553,0.47786279523389835,1.0294973296600467,-1.3470487805411195,0.6739429720214914,0.38100660335769315
NI,35,973,0.16554690169715164,-0.738830547960014,1.079262230561313,0.4402876134077243,-0.3582898337995968,1.2537397965440646,0.1671296223735401,-0.7194018592987311,1.06790434350072,0.2747407117105726,-0.2731579910341842,0.0015827206763884812,0.8267670658966335,-0.33036822145245975,0.6065434676830752,0.6596923139162745,-0.7184101420784503,1.309310930022355,0.38842079163444015,0.7762759221056981,0.8254700202455459,-0.3266256760304643,0.5848980932834635,0.6640003529776031
RB,27,903,0.590516193509403,-0.5363079401988329,1.6570244964391485,0.8173849885563967,-0.283947128213778,1.8866534835813566,0.5231552677537941,-0.5437489321334779,1.4870363610925201,0.22686879504699375,-0.2942297208026027,-0.06736092575560898,0.9081040917645821,0.29561314512959397,0.7274704967771768,0.4652460403044516,-0.30284274585457804,1.8575964562237304,0.5943175498590478,0.767753141075905,0.9043203907246501,0.16921622499514205,0.7265019140778249,0.4782104432555034
I,30,819,-0.36019326368513255,-1.2776959000484087,0.5678664535658838,0.47369454470112665,-0.38105397405819164,1.3679855807561985,-0.2955001585131973,-1.2700533039601913,0.6296913149013091,0.8338878083862595,-0.769194703214324,0.0646931051719354,0.48576412195354174,-1.1004059761189726,0.6157015916414411,0.6170449108853854,-0.1332265622992595,1.0047505133264645,0.5171426943983334,0.6791998058992913,0.8014748531176065,-1.2553532936901508,0.7408684047781791,0.5509668328948514
SC,76,1082,0.0790072384108832,-0.7701035486147018,0.9401992871329704,0.26824379775991825,-0.5894245381284159,1.1022317020022165,0.052654365936971405,-0.7894212824277578,0.906286211053395,0.18923655934903516,-0.21558943182294685,-0.026352872473911715,0.6383117943968967,-0.6118983895718394,0.6766439461918294,0.5393993937232563,0.31303199768787726,0.21291719784891008,0.6310181823627183,0.6111946715217764,0.6224636526914827,-0.6512276941715427,0.6755815212218415,0.5096798049065403
RU,47,834,1.0851235558905263,0.07288483652138779,2.3459082807034144,1.088245747005687,0.192265368587225,2.20462165728531,1.0122480498404167,0.003321719769610589,2.265427915783854,0.003122191115160608,-0.0759976971652704,-0.07287550605010981,2.3925454713831535,-0.6798960300245203,0.774829456979978,0.3118339984193771,1.8939212533681231,0.000583813416397927,0.7097551492700126,0.37913008928892517,2.27864944946391,-0.6973938396512992,0.7957480917419643,0.3044403822179067
