system,horizon,side,n_rows,n_gids,delta_ev_gross,delta_ev_ci_low,delta_ev_ci_high,break_even_incremental_exit_cost_atr,break_even_incremental_exit_cost_ci_low,break_even_incremental_exit_cost_ci_high,has_positive_gross_cost_capacity,saved_giveback,saved_giveback_ci_low,saved_giveback_ci_high,saved_giveback_n_rows,saved_giveback_n_gids,lost_continuation,lost_continuation_ci_low,lost_continuation_ci_high,lost_continuation_n_rows,lost_continuation_n_gids,delta_correct_gross,delta_correct_gross_ci_low,delta_correct_gross_ci_high,delta_correct_gross_n_rows,delta_correct_gross_n_gids,delta_wrong_gross,delta_wrong_gross_ci_low,delta_wrong_gross_ci_high,delta_wrong_gross_n_rows,delta_wrong_gross_n_gids,tp_eligible_rate,first_touch_rate,first_touch_accepted_breakout_rate,first_touch_not_profitable_rate,tp_signal_rate,tp_executable_rate,tp_hit_rate_correct,tp_hit_rate_wrong,raw_n_correct,raw_n_wrong
A9,td1,LONG,541,40,-0.017167655753912426,-0.3019619452330299,0.24874217711298802,-0.017167655753912426,-0.3019619452330299,0.24874217711298802,False,0.17015027188121856,0.044776590489180076,0.3641962013612087,541,40,0.18731792763513103,0.029775717745635314,0.4213337273066669,541,40,-0.017167655753912426,-0.3019619452330299,0.24874217711298802,541,40,,,,0,0,0.9319821724266121,0.7245453493761096,0.24903841013675376,0.04907859593266877,0.18014818288015244,0.1695777808588006,0.1695777808588006,,541,0
A9,td1,SHORT,209,39,0.1926406480172049,0.03471340909301566,0.41696777559468645,0.1926406480172049,0.03471340909301566,0.41696777559468645,True,0.20231949412259032,0.04437210593225936,0.42164470858827774,209,39,0.009678846105385422,0.0,0.027725176439545474,209,39,,,,0,0,0.1926406480172049,0.03471340909301566,0.41696777559468645,209,39,0.6128238662157167,0.5381198966600801,0.07861492412248558,0.09569316425994495,0.1560639361789702,0.14485900786363187,,0.14485900786363187,0,209
A9,td3,LONG,541,40,0.7478596431107749,0.17190296175146086,1.3693459629199347,0.7478596431107749,0.17190296175146086,1.3693459629199347,True,1.002691758001296,0.504031359714945,1.6024384585888347,541,40,0.2548321148905211,0.07419298615066894,0.4820134620459795,541,40,0.7478596431107749,0.17190296175146086,1.3693459629199347,541,40,,,,0,0,0.9319821724266121,0.7245453493761096,0.24903841013675376,0.04907859593266877,0.3734828151598893,0.3734828151598893,0.3734828151598893,,541,0
A9,td3,SHORT,209,39,1.81096297434727,0.4785181662843685,3.2463850233359373,1.81096297434727,0.4785181662843685,3.2463850233359373,True,1.9347482046764763,0.6284218708503563,3.3556918706077092,209,39,0.12378523032920635,0.006986115162693998,0.33598502748612324,209,39,,,,0,0,1.81096297434727,0.4785181662843685,3.2463850233359373,209,39,0.6128238662157167,0.5381198966600801,0.07861492412248558,0.09569316425994495,0.3567134037616014,0.3567134037616014,,0.3567134037616014,0,209
A9,td5,LONG,541,40,1.904510707994444,0.7245797178810464,3.347306971045159,1.904510707994444,0.7245797178810464,3.347306971045159,True,2.142359769550961,1.0160889124013694,3.547502762571142,541,40,0.23784906155651736,0.06570725275446652,0.4769267938771121,541,40,1.904510707994444,0.7245797178810464,3.347306971045159,541,40,,,,0,0,0.9319821724266121,0.7245453493761096,0.24903841013675376,0.04907859593266877,0.42642834330668705,0.42642834330668705,0.42642834330668705,,541,0
A9,td5,SHORT,209,39,0.6941523917225413,-0.18408537506831749,1.8553798247306323,0.6941523917225413,-0.18408537506831749,1.8553798247306323,True,0.9725306220291998,0.21720268548062482,2.0405186963634803,209,39,0.2783782303066585,0.021817145925901577,0.6149489481366948,209,39,,,,0,0,0.6941523917225413,-0.18408537506831749,1.8553798247306323,209,39,0.6128238662157167,0.5381198966600801,0.07861492412248558,0.09569316425994495,0.3638118082776496,0.3638118082776496,,0.3638118082776496,0,209
E9,td1,LONG,459,36,-0.09491239440295393,-0.3102906669639666,0.08936975045446387,-0.09491239440295393,-0.3102906669639666,0.08936975045446387,False,0.10060693932868686,0.03645870127970735,0.1833137191090159,459,36,0.19551933373164082,0.038142114202167676,0.4061687639893515,459,36,-0.09491239440295393,-0.3102906669639666,0.08936975045446387,459,36,,,,0,0,0.9379475697020905,0.7643947797568853,0.2285173891584621,0.04681198239614252,0.161792050198324,0.14899270611784685,0.14899270611784685,,459,0
E9,td1,SHORT,291,40,0.10738054911648345,0.00639524989460773,0.2273287512456412,0.10738054911648345,0.00639524989460773,0.2273287512456412,True,0.13749680381084886,0.03821998512578068,0.25842104913550856,291,40,0.030116254694365414,0.004046993166013301,0.06702682317428102,291,40,,,,0,0,0.10738054911648345,0.00639524989460773,0.2273287512456412,291,40,0.6746751875296249,0.6003127964532717,0.10929277306762059,0.18649006748572633,0.10693209984424602,0.09794653113622889,,0.09794653113622889,0,291
E9,td3,LONG,459,36,0.775863615610156,-0.002121424655572603,1.5620380245121264,0.775863615610156,-0.002121424655572603,1.5620380245121264,True,1.125078326874834,0.5319328452188838,1.8058470434660852,459,36,0.34921471126467785,0.08241188588786441,0.6848806519193926,459,36,0.775863615610156,-0.002121424655572603,1.5620380245121264,459,36,,,,0,0,0.9379475697020905,0.7643947797568853,0.2285173891584621,0.04681198239614252,0.4266180988024755,0.4266180988024755,0.4266180988024755,,459,0
E9,td3,SHORT,291,40,1.063077785460789,0.08859513897187617,2.2332653264439037,1.063077785460789,0.08859513897187617,2.2332653264439037,True,1.2553548339092022,0.31417099194774695,2.3930660694685484,291,40,0.1922770484484132,0.04791163543151201,0.3722181856785039,291,40,,,,0,0,1.063077785460789,0.08859513897187617,2.2332653264439037,291,40,0.6746751875296249,0.6003127964532717,0.10929277306762059,0.18649006748572633,0.2984666161040819,0.2984666161040819,,0.2984666161040819,0,291
E9,td5,LONG,459,36,2.4895172855610794,0.9681736069890267,4.1706260300070275,2.4895172855610794,0.9681736069890267,4.1706260300070275,True,2.741928640151801,1.3609816878218999,4.408689221312651,459,36,0.2524113545907214,0.056767176025811876,0.5470769275955609,459,36,2.4895172855610794,0.9681736069890267,4.1706260300070275,459,36,,,,0,0,0.9379475697020905,0.7643947797568853,0.2285173891584621,0.04681198239614252,0.4890654082022807,0.4890654082022807,0.4890654082022807,,459,0
E9,td5,SHORT,291,40,0.6646864815468263,-0.028936651572171634,1.6349267927997688,0.6646864815468263,-0.028936651572171634,1.6349267927997688,True,0.8715175365923206,0.23610741889663941,1.785987508099948,291,40,0.20683105504549434,0.05590836698191688,0.40843726762860305,291,40,,,,0,0,0.6646864815468263,-0.028936651572171634,1.6349267927997688,291,40,0.6746751875296249,0.6003127964532717,0.10929277306762059,0.18649006748572633,0.3045299558999248,0.3045299558999248,,0.3045299558999248,0,291
