object,dimension,group,n,weight_sum,weighted_brier,weighted_logloss,actual_win_rate,mean_predicted_pwin,avg_win,avg_loss,actual_rr,mean_predicted_rr,win_magnitude_mae,loss_magnitude_mae,actual_mean_return,mean_predicted_ev,weighted_ev_mse,weighted_ev_mae
A0,ALL,all,249684,124842.0,0.23740689104625567,0.6675535144058803,0.48519328431136954,0.48631352985217674,1.4946768403897759,1.4086979502642731,1.0610342977423748,1.1613151001379156,0.7701795547329123,0.7657996529484238,2.2766143950276357e-18,0.0011764582810848785,5.083455825006071,1.4639874798036197
A0,time_fold,0,47058,23529.0,0.23359396778475572,0.6593911719121602,0.48359471290747585,0.4883328100277622,1.4612970180876712,1.368451349352748,1.0678472557894276,1.1782939786253996,0.8292980901275502,0.805400180179426,-5.737733001590337e-18,0.008585610136245864,5.26676472875479,1.4261920944969915
A0,time_fold,1,54270,27135.0,0.23901724172772462,0.6709893663708832,0.4849824949327437,0.4850953800670206,1.4226301431366084,1.3396645927497508,1.0619300911854104,1.1399477114003604,0.7477583233063904,0.7458277930202949,-2.094837621551797e-18,-0.0030090424060297866,4.54967924187624,1.4024524236073976
A0,time_fold,2,50370,25185.0,0.24013512699526712,0.6734309209555769,0.48189398451459203,0.48620521912982656,1.5150148280995461,1.409125758610579,1.0751452230873813,1.1393235983807493,0.8102793755163041,0.8112264899059743,0.0,0.0024970939263368476,5.3661726448341485,1.4814918060546136
A0,time_fold,3,50586,25293.0,0.23813672963497656,0.669081471746348,0.4874273514411102,0.4842349801768226,1.4252891964461343,1.3553687267836145,1.0515877844019952,1.1731093592627837,0.6767989653486969,0.6755854940577142,4.775719174444195e-18,-0.00411074322408766,4.058624529344986,1.4003653835873506
A0,time_fold,4,47400,23700.0,0.23567047652633166,0.6638467972960835,0.4881434599156118,0.48803688063909584,1.6620690458038783,1.5850693917158578,1.0485780966375657,1.1797054730143086,0.794983277774732,0.7966932245643926,-5.3965271070387355e-18,0.0028520956688246144,6.30589410520481,1.6212612601298186
A0,symbol,AG,21996,10998.0,0.22927184810983528,0.6497088631845592,0.49395344608110564,0.4879899556287467,1.6787153788929665,1.638598741503197,1.0244822825586744,1.1792267666171865,0.8635028804497127,0.8519141117632097,1.5505569792909986e-17,0.0048275866412851726,6.047314129426702,1.6516019911113797
A0,symbol,AL,18256,9128.0,0.23536976859219816,0.6632582191604806,0.4735429447852761,0.4850380102067191,1.445695236303967,1.3003886502806985,1.1117408906882593,1.1591634335439718,0.7700208621071093,0.7764519907538809,1.5568421028924194e-18,-0.0015514725606932997,4.673027042553178,1.3714988753038722
A0,symbol,AU,23646,11823.0,0.24148607751028142,0.6767147394660126,0.4978008965575573,0.4893466584113678,1.8194693607799322,1.8035346396413123,1.0088352731288759,1.1582584689012,0.89600258592749,0.8765177102641103,-1.4423602857347886e-17,0.013110145265899218,6.951342050596782,1.8216995226725334
A0,symbol,CF,11898,5949.0,0.23108563230948992,0.6544444659072962,0.46570852244074634,0.48455728420070865,1.3249795607231536,1.1549019578365571,1.147265836491608,1.161056462583353,0.7422565463815589,0.757041399561403,4.7775608388643484e-18,-0.004459527274227908,3.7428564105637556,1.2397704203783955
A0,symbol,CU,19068,9534.0,0.2412415259254086,0.6752595774513486,0.49035032515208726,0.48849093691081785,1.7567075313438631,1.690184751807483,1.0393582887700534,1.1545149580799603,1.0038944739294757,0.9978457744777868,-1.49054486209377e-17,0.010722834066156355,7.101043450956515,1.7268901196388762
A0,symbol,I,12858,6429.0,0.24257362731565552,0.6782329733641543,0.46336910872608494,0.4825771025674611,1.2857775368989612,1.1102409514266682,1.1581067472306144,1.165551448432553,0.6555084518688515,0.6782632818087556,-1.6578225286049935e-18,-0.012510251741633024,3.297645261463116,1.2031932635241545
A0,symbol,M,12022,6011.0,0.23709345345417376,0.6672529354260524,0.476958908667443,0.48591624881178885,1.426845619116798,1.3011343479668767,1.096616672479944,1.1613799634148956,0.7619651153577452,0.7577927664156933,-1.7140026066413996e-17,-0.0008032735852539747,7.439111271967468,1.4212663281099416
A0,symbol,MA,14898,7449.0,0.2308111893538465,0.6533733470266754,0.48013156128339374,0.48276392176714233,1.2381110912101116,1.1434743234894675,1.0827624772822595,1.181831395133516,0.5799169469519871,0.5894999213651162,2.8616300272255345e-18,-0.018208543493589364,2.7129565787597096,1.203090181297599
A0,symbol,NI,17838,8919.0,0.2311810143856465,0.6544463656645702,0.4936652091041597,0.48638609347678335,1.4319522653457006,1.3961217502916565,1.0256643197819666,1.1575783640323087,0.7234203275653057,0.7131002572254047,-3.983309427963338e-18,-0.0013048494744103717,4.335896877079103,1.4223263813353078
A0,symbol,P,13362,6681.0,0.23299255752637546,0.6583970407252028,0.48952252656787903,0.4858567157164654,1.380414965808241,1.323749346335098,1.0428069102583704,1.1627120439761858,0.7140187715433767,0.7140533843614859,0.0,0.0063980011427405255,3.55225103012731,1.3534824634914684
A0,symbol,RB,14026,7013.0,0.23843423569235606,0.6699294767265954,0.4789676315414231,0.485733451853617,1.3560068527802247,1.2465317510916187,1.0878237570705567,1.142999654921965,0.621998464623125,0.6375798648268337,-4.0527177285618146e-18,-0.0014049052356892588,3.489231253079123,1.3074358732928544
A0,symbol,RU,14250,7125.0,0.2363617593486378,0.6651678790504665,0.4832280701754386,0.48379251765668607,1.2507971384240848,1.1696074273748303,1.0694162067963981,1.1454610367589653,0.6793833030761407,0.6810116419076575,7.978023699762528e-18,-0.003771065532513759,4.378232404943079,1.2200358126996416
A0,symbol,SC,21750,10875.0,0.24590842338775934,0.6860259061338144,0.4884137931034483,0.4883095514264048,1.7966772726360256,1.7152963662453944,1.0474442247952553,1.1657956868219752,0.9337697940830837,0.9223638783385449,0.0,0.0031646786432957224,8.347847273615988,1.7866626874299762
A0,symbol,SN,20364,10182.0,0.2400094587746644,0.6729776591919108,0.49700451777646826,0.48678962995740355,1.4043493668369866,1.3876227610814353,1.012054144847347,1.15586283400457,0.6915062732412476,0.6751676241238467,6.97842011157042e-19,0.004664681476248949,3.8912251786250747,1.4170979016343173
A0,symbol,TA,13452,6726.0,0.24409573199115375,0.6813416026136244,0.478218852215284,0.4859811943499872,1.2112251279838018,1.1101027565635841,1.091092802735893,1.1638271975607453,0.6186708615940865,0.626370988230748,2.1128240730303304e-18,0.0032458277205767018,2.782220880940823,1.191922456854647
A0,side,LONG,124842,62421.0,0.2376837965264541,0.6681256026928558,0.5048461255026353,0.49481479089124275,1.543115919290454,1.3558981800799024,1.1380765473108896,1.1510715144747765,0.7845322605282086,0.7504982352802875,0.10765785576473393,0.03090975173778935,5.084173968468715,1.4634460947642167
A0,side,SHORT,124842,62421.0,0.23712998556605724,0.6669814261189045,0.4655404431201038,0.4778122688131106,1.4421480393643948,1.4576146745380179,0.9893890783045766,1.1715586858010552,0.7546150468189027,0.7799757606560138,-0.10765785576473393,-0.02855683517561959,5.082737681543428,1.464528864843022
A0,trend_alignment,0,37441,18720.5,0.23666616664859866,0.6659528333662468,0.4726903661761171,0.4867786558494093,1.6916569456205937,1.519627961002895,1.1132046718225468,1.2229695180603208,0.887095826614386,0.789685186082058,-0.0016845225952000999,0.06472499133693776,6.24965841868677,1.6136561476704816
A0,trend_alignment,1,87401,43700.5,0.23695876212350045,0.6666539039636055,0.473083831992769,0.4856917005257569,1.4077421849817262,1.3663462208047594,1.0302968336623972,1.1729226742248915,0.731556440499851,0.7440259488146578,-0.05396984750857743,0.012594761752591162,4.581175854739384,1.3993691194822173
A0,trend_alignment,2,87401,43700.5,0.23803841039923232,0.668890330679247,0.49533758194986327,0.48621845566641364,1.4534530410625641,1.3196545720645783,1.1013890087833063,1.1457784887708893,0.7485162424992944,0.72950279954112,0.05396984750857744,-0.012047116911668699,4.588437709543568,1.400431067716415
A0,trend_alignment,3,37441,18720.5,0.23771951504617275,0.6681335969881201,0.502283592852755,0.4875219190887331,1.5953427009507686,1.6065975113277846,0.9929946297702688,1.108832493527006,0.7949415521848073,0.8802162843358318,0.0016845225952000938,-0.05815790972285339,6.24531204361182,1.6135256515853955
A0,slope_alignment,0,41675,20837.5,0.23602930967226526,0.6647124856425726,0.46255548890221954,0.4740220005460407,1.6893158589395434,1.533897615914678,1.1013224360037799,1.2388866442012547,0.8914715487107655,0.810487295526587,-0.04298253121726184,0.014126514999926395,6.565098103112914,1.6174628630536
A0,slope_alignment,1,83380,41690.0,0.23732609095667487,0.6673791959368498,0.47944351163348525,0.4860334748029225,1.3885851611219424,1.356677013872333,1.0235193394767814,1.1580246541271215,0.712253924747516,0.740060791441643,-0.040478876338498164,-0.00013493711131665144,4.31530052616217,1.3841534941175422
A0,slope_alignment,2,83248,41624.0,0.23804285334934377,0.668844180625762,0.4901739381126273,0.485983225863598,1.441565011780822,1.3066549512781906,1.103248420993362,1.160041219840796,0.7449121022322917,0.7114769384757388,0.04045085081418477,0.0020204441931577113,4.353517979002853,1.3887536580617943
A0,slope_alignment,3,41381,20690.5,0.2376776729370467,0.6681694774368822,0.5095575264010053,0.4999211666971356,1.6206535969127789,1.595177554841032,1.0159706623218414,1.0923851872918033,0.8180100054170376,0.8851305410501392,0.04347341216993573,-0.010921113192478347,6.607517898942845,1.621633170384457
A0,volatility_tertile,1,96222,48111.0,0.2361620868595995,0.664695288338782,0.4854503128182744,0.4865227561361282,1.4663169102967881,1.3833921592549792,1.0599430540986063,1.1533483910799809,0.7829225785225874,0.7736452017744525,1.7722584916383368e-18,0.004420217461395674,4.532964094698854,1.4230682180649814
A0,volatility_tertile,2,86558,43279.0,0.24048671715007705,0.6742681442450351,0.4849927216432912,0.48604058113328164,1.5150151288065834,1.4267202455763015,1.0618866126727013,1.1560495445724464,0.7776639553202992,0.7789033001078799,2.955190564403476e-18,0.00294062131009199,5.68167569146824,1.4925553294558214
A0,volatility_tertile,3,66904,33452.0,0.23521261208765618,0.6629770959407775,0.4850831041492287,0.4863657498048812,1.5091872041919574,1.421746343246612,1.0615024342145807,1.1795852878338458,0.7421572918100677,0.7375681478395781,2.1240665304319628e-19,-0.005771159489342344,5.10122307468305,1.485877908968093
A0,structural_rr_tertile,1,83412,41706.0,0.23504930257889184,0.6626115595771549,0.6060638757013379,0.5812779451365186,1.0730920906375128,1.5797554309062003,0.6792773549902921,0.7369287903361094,0.5952013650788763,0.9937962396102485,0.028039619645270936,-0.009415314708863542,4.126684206216899,1.2892308635723593
A0,structural_rr_tertile,2,82896,41448.0,0.24875849481015921,0.6910718510379095,0.49173663385446825,0.4909398181294421,1.8385091975405143,1.778773840917174,1.033582322411791,1.0592849318149842,0.8198046155477491,0.8198092707409097,-2.3255887127491838e-05,0.0024639999345980753,7.014179676594166,1.8152727227434318
A0,structural_rr_tertile,3,83376,41688.0,0.22847924548430984,0.6491146627306371,0.35776482440990215,0.3867084564410066,1.7392956837868263,1.012537843119302,1.717758694755169,1.6873274263047506,0.9989101882635473,0.5833930369368507,-0.02802860456044928,0.01049267536667243,4.121031984394812,1.2895566768668414
