architecture,MODEL,symbol,side,n,selected_n,coverage,selected_mean_return
A1_SHARE_TO_WIN,SPLINE_RIDGE,AL,SHORT,1430,213,0.148951,0.062974
A1_SHARE_TO_WIN,SPLINE_RIDGE,AU,LONG,1227,310,0.252649,0.287029
A1_SHARE_TO_WIN,SPLINE_RIDGE,AU,SHORT,1227,239,0.194784,-0.516595
A1_SHARE_TO_WIN,SPLINE_RIDGE,CF,LONG,883,217,0.245753,1.434842
A1_SHARE_TO_WIN,SPLINE_RIDGE,CF,SHORT,883,178,0.201586,-0.561848
A1_SHARE_TO_WIN,SPLINE_RIDGE,CU,LONG,1128,272,0.241135,0.564513
A1_SHARE_TO_WIN,SPLINE_RIDGE,CU,SHORT,1128,224,0.198582,-1.36373
A1_SHARE_TO_WIN,SPLINE_RIDGE,I,LONG,1030,205,0.199029,0.660546
A1_SHARE_TO_WIN,SPLINE_RIDGE,I,SHORT,1030,161,0.156311,0.042775
A1_SHARE_TO_WIN,SPLINE_RIDGE,M,LONG,857,156,0.18203,-1.412276
A1_SHARE_TO_WIN,SPLINE_RIDGE,M,SHORT,857,155,0.180863,1.754937
A1_SHARE_TO_WIN,SPLINE_RIDGE,MA,LONG,1094,165,0.150823,0.051775
A1_SHARE_TO_WIN,SPLINE_RIDGE,MA,SHORT,1094,219,0.200183,0.037921
A1_SHARE_TO_WIN,SPLINE_RIDGE,NI,LONG,1311,217,0.165523,-0.246219
A1_SHARE_TO_WIN,SPLINE_RIDGE,NI,SHORT,1311,223,0.170099,-0.360862
A1_SHARE_TO_WIN,SPLINE_RIDGE,P,LONG,1046,168,0.160612,-0.016595
A1_SHARE_TO_WIN,SPLINE_RIDGE,P,SHORT,1046,216,0.206501,0.205052
A1_SHARE_TO_WIN,SPLINE_RIDGE,RB,LONG,1121,172,0.153434,-0.196567
A1_SHARE_TO_WIN,SPLINE_RIDGE,RB,SHORT,1121,229,0.204282,-0.580647
A1_SHARE_TO_WIN,SPLINE_RIDGE,RU,LONG,1073,154,0.143523,0.122209
A1_SHARE_TO_WIN,SPLINE_RIDGE,RU,SHORT,1073,151,0.140727,-0.124555
A1_SHARE_TO_WIN,SPLINE_RIDGE,SC,LONG,1391,305,0.219267,0.407116
A1_SHARE_TO_WIN,SPLINE_RIDGE,SC,SHORT,1391,274,0.196981,0.043058
A1_SHARE_TO_WIN,SPLINE_RIDGE,SN,LONG,1327,220,0.165787,0.368557
A1_SHARE_TO_WIN,SPLINE_RIDGE,SN,SHORT,1327,254,0.191409,-0.379338
A1_SHARE_TO_WIN,SPLINE_RIDGE,TA,LONG,1061,176,0.165881,-0.291235
A1_SHARE_TO_WIN,SPLINE_RIDGE,TA,SHORT,1061,197,0.185674,-0.388122
A1_SHARE_TO_WIN,PGM3,AG,LONG,1246,238,0.191011,-0.598604
A1_SHARE_TO_WIN,PGM3,AG,SHORT,1246,249,0.199839,0.497853
A1_SHARE_TO_WIN,PGM3,AL,LONG,1430,258,0.18042,0.300361
A1_SHARE_TO_WIN,PGM3,AL,SHORT,1430,283,0.197902,0.342982
A1_SHARE_TO_WIN,PGM3,AU,LONG,1227,296,0.241239,0.829699
A1_SHARE_TO_WIN,PGM3,AU,SHORT,1227,279,0.227384,-1.068487
A1_SHARE_TO_WIN,PGM3,CF,LONG,883,180,0.203851,2.256635
A1_SHARE_TO_WIN,PGM3,CF,SHORT,883,180,0.203851,-1.951857
A1_SHARE_TO_WIN,PGM3,CU,LONG,1128,176,0.156028,1.944244
A1_SHARE_TO_WIN,PGM3,CU,SHORT,1128,183,0.162234,-2.439322
A1_SHARE_TO_WIN,PGM3,I,LONG,1030,133,0.129126,0.39646
A1_SHARE_TO_WIN,PGM3,I,SHORT,1030,135,0.131068,-0.412118
A1_SHARE_TO_WIN,PGM3,M,LONG,857,83,0.096849,-1.491654
A1_SHARE_TO_WIN,PGM3,M,SHORT,857,151,0.176196,1.794269
A1_SHARE_TO_WIN,PGM3,MA,LONG,1094,157,0.14351,-0.25749
A1_SHARE_TO_WIN,PGM3,MA,SHORT,1094,116,0.106033,-0.214867
A1_SHARE_TO_WIN,PGM3,NI,LONG,1311,189,0.144165,0.975977
A1_SHARE_TO_WIN,PGM3,NI,SHORT,1311,238,0.181541,-0.368483
A1_SHARE_TO_WIN,PGM3,P,LONG,1046,180,0.172084,0.464733
A1_SHARE_TO_WIN,PGM3,P,SHORT,1046,226,0.216061,0.427731
A1_SHARE_TO_WIN,PGM3,RB,LONG,1121,206,0.183764,0.616967
A1_SHARE_TO_WIN,PGM3,RB,SHORT,1121,216,0.192685,-0.363551
A1_SHARE_TO_WIN,PGM3,RU,LONG,1073,122,0.1137,-0.036866
A1_SHARE_TO_WIN,PGM3,RU,SHORT,1073,142,0.132339,-0.089279
A1_SHARE_TO_WIN,PGM3,SC,LONG,1391,232,0.166786,0.393538
A1_SHARE_TO_WIN,PGM3,SC,SHORT,1391,231,0.166068,-0.452676
A1_SHARE_TO_WIN,PGM3,SN,LONG,1327,202,0.152223,0.76101
A1_SHARE_TO_WIN,PGM3,SN,SHORT,1327,195,0.146948,-0.401783
A1_SHARE_TO_WIN,PGM3,TA,LONG,1061,135,0.127238,-0.094954
A1_SHARE_TO_WIN,PGM3,TA,SHORT,1061,159,0.149859,0.030869
A1_SHARE_TO_WIN,GMM_MOE3,AG,LONG,1246,242,0.194222,0.308768
A1_SHARE_TO_WIN,GMM_MOE3,AG,SHORT,1246,263,0.211075,0.264904
A1_SHARE_TO_WIN,GMM_MOE3,AL,LONG,1430,275,0.192308,0.528417
A1_SHARE_TO_WIN,GMM_MOE3,AL,SHORT,1430,298,0.208392,0.154022
A1_SHARE_TO_WIN,GMM_MOE3,AU,LONG,1227,291,0.237164,0.562798
A1_SHARE_TO_WIN,GMM_MOE3,AU,SHORT,1227,253,0.206194,-1.037209
A1_SHARE_TO_WIN,GMM_MOE3,CF,LONG,883,207,0.234428,1.717652
A1_SHARE_TO_WIN,GMM_MOE3,CF,SHORT,883,126,0.142695,-0.56381
A1_SHARE_TO_WIN,GMM_MOE3,CU,LONG,1128,242,0.214539,1.049889
A1_SHARE_TO_WIN,GMM_MOE3,CU,SHORT,1128,222,0.196809,-1.789205
A1_SHARE_TO_WIN,GMM_MOE3,I,LONG,1030,209,0.202913,0.359904
A1_SHARE_TO_WIN,GMM_MOE3,I,SHORT,1030,137,0.13301,-0.219767
A1_SHARE_TO_WIN,GMM_MOE3,M,LONG,857,123,0.143524,-1.801773
A1_SHARE_TO_WIN,GMM_MOE3,M,SHORT,857,171,0.199533,1.827547
A1_SHARE_TO_WIN,GMM_MOE3,MA,LONG,1094,176,0.160878,-0.191304
A1_SHARE_TO_WIN,GMM_MOE3,MA,SHORT,1094,177,0.161792,0.131305
A1_SHARE_TO_WIN,GMM_MOE3,NI,LONG,1311,193,0.147216,0.16055
A1_SHARE_TO_WIN,GMM_MOE3,NI,SHORT,1311,265,0.202136,-0.293726
A1_SHARE_TO_WIN,GMM_MOE3,P,LONG,1046,190,0.181644,-0.1208
A1_SHARE_TO_WIN,GMM_MOE3,P,SHORT,1046,214,0.204589,0.191166
A1_SHARE_TO_WIN,GMM_MOE3,RB,LONG,1121,188,0.167707,0.167698
A1_SHARE_TO_WIN,GMM_MOE3,RB,SHORT,1121,226,0.201606,-0.292206
A1_SHARE_TO_WIN,GMM_MOE3,RU,LONG,1073,148,0.137931,-0.212901
A1_SHARE_TO_WIN,GMM_MOE3,RU,SHORT,1073,170,0.158434,0.070763
A1_SHARE_TO_WIN,GMM_MOE3,SC,LONG,1391,303,0.217829,0.295688
A1_SHARE_TO_WIN,GMM_MOE3,SC,SHORT,1391,284,0.20417,-0.272194
A1_SHARE_TO_WIN,GMM_MOE3,SN,LONG,1327,237,0.178598,0.826773
A1_SHARE_TO_WIN,GMM_MOE3,SN,SHORT,1327,250,0.188395,-0.549021
A1_SHARE_TO_WIN,GMM_MOE3,TA,LONG,1061,149,0.140434,-0.443784
A1_SHARE_TO_WIN,GMM_MOE3,TA,SHORT,1061,195,0.183789,-0.18586
