gid,teacher_direction,tr_A,tr_B,tr_C,delta_BA,delta_CB,delta_CA
AG::AG_LONG_11764,LONG,14.804355927012573,14.804355927012573,14.804355927012573,0.0,0.0,0.0
AG::AG_LONG_11846,LONG,3.461890307396586,3.461890307396586,3.461890307396586,0.0,0.0,0.0
AG::AG_LONG_12107,LONG,-0.3481190458616492,0.4554928640827583,0.8188746229892043,0.8036119099444075,0.36338175890644603,1.1669936688508535
AG::AG_LONG_12610,LONG,-2.9218481967310987,-2.0288448992228107,-2.9218481967310987,0.893003297508288,-0.893003297508288,0.0
AG::AG_LONG_12660,LONG,9.184974668895462,9.184974668895462,9.184974668895462,0.0,0.0,0.0
AG::AG_LONG_12716,LONG,3.806575411865044,-3.806575411865044,1.770788084513496,-7.613150823730088,5.57736349637854,-2.0357873273515477
AG::AG_LONG_12741,LONG,3.2812798907670038,3.2812798907670038,3.2812798907670038,0.0,0.0,0.0
AG::AG_LONG_12968,LONG,1.0041786118669256,1.0041786118669256,1.0041786118669256,0.0,0.0,0.0
AG::AG_LONG_12999,LONG,-0.9959629902828451,-0.9959629902828451,-0.9959629902828451,0.0,0.0,0.0
AG::AG_LONG_13013,LONG,-0.086859664152965,-0.086859664152965,-0.086859664152965,0.0,0.0,0.0
AG::AG_LONG_13019,LONG,-2.7515912967427387,-2.7515912967427387,-2.7515912967427387,0.0,0.0,0.0
AG::AG_LONG_13075,LONG,-1.78761085265491,-1.78761085265491,-1.78761085265491,0.0,0.0,0.0
AG::AG_LONG_13110,LONG,3.161691930408883,2.0450668485416013,3.161691930408883,-1.1166250818672818,1.1166250818672818,0.0
AG::AG_LONG_13275,LONG,0.5449943339305875,0.5449943339305875,0.5449943339305875,0.0,0.0,0.0
AG::AG_LONG_13397,LONG,-5.141530198476894,-5.141530198476894,-5.141530198476894,0.0,0.0,0.0
AG::AG_LONG_13428,LONG,0.4215715742410777,0.4215715742410777,0.4215715742410777,0.0,0.0,0.0
AG::AG_LONG_13516,LONG,5.54971764901096,4.8114045562332315,5.932226183756127,-0.7383130927777284,1.1208216275228953,0.3825085347451669
AG::AG_LONG_13633,LONG,4.182035945980163,4.182035945980163,4.182035945980163,0.0,0.0,0.0
AG::AG_LONG_13699,LONG,2.4050957257696646,2.4050957257696646,2.4050957257696646,0.0,0.0,0.0
AG::AG_LONG_13776,LONG,-2.256535764685488,-2.4780369268888456,-2.256535764685488,-0.22150116220335736,0.22150116220335736,0.0
AG::AG_LONG_13822,LONG,-3.4076722450734795,-4.8173460752653705,-3.4076722450734795,-1.409673830191891,1.409673830191891,0.0
AG::AG_LONG_13895,LONG,-2.318752256838053,-2.4955330080640783,-2.318752256838053,-0.17678075122602532,0.17678075122602532,0.0
AG::AG_LONG_13931,LONG,-1.964344234352862,-3.4613665824021123,-1.964344234352862,-1.4970223480492502,1.4970223480492502,0.0
AG::AG_LONG_13958,LONG,1.0274565414050805,1.0274565414050805,1.0274565414050805,0.0,0.0,0.0
AG::AG_LONG_13965,LONG,9.803218378490426,9.803218378490426,9.803218378490426,0.0,0.0,0.0
AG::AG_LONG_14054,LONG,10.791625518891006,10.791625518891006,10.791625518891006,0.0,0.0,0.0
AG::AG_LONG_14101,LONG,-1.6925793553080402,0.7004533829102259,-1.6925793553080402,2.393032738218266,-2.393032738218266,0.0
AG::AG_LONG_14257,LONG,2.7121048330196182,1.5798172687527139,1.9905069657659922,-1.1322875642669044,0.4106896970132783,-0.7215978672536261
AG::AG_LONG_14300,LONG,2.029216451871234,0.0032333282493457174,2.029216451871234,-2.0259831236218884,2.0259831236218884,0.0
AG::AG_LONG_14370,LONG,3.637439319709547,3.637439319709547,3.637439319709547,0.0,0.0,0.0
AG::AG_LONG_14410,LONG,5.404781592333201,5.404781592333201,5.404781592333201,0.0,0.0,0.0
AG::AG_LONG_14439,LONG,3.2688995861388994,3.2688995861388994,3.2688995861388994,0.0,0.0,0.0
AG::AG_LONG_14523,LONG,-4.635622609613091,-5.762770218044234,-4.635622609613091,-1.1271476084311427,1.1271476084311427,0.0
AG::AG_LONG_14567,LONG,0.16444582202483435,-1.9180018401439993,0.16444582202483435,-2.0824476621688337,2.0824476621688337,0.0
AG::AG_SHORT_11719,SHORT,-1.9421094642027033,-1.9421094642027033,-1.9421094642027033,0.0,0.0,0.0
AG::AG_SHORT_11866,SHORT,0.3012689754850602,0.7975102288654993,0.3012689754850602,0.49624125338043906,-0.49624125338043906,0.0
AG::AG_SHORT_11874,SHORT,-6.609432474232304,6.609432474232304,-6.609432474232304,13.218864948464608,-13.218864948464608,0.0
AG::AG_SHORT_11900,SHORT,11.210604378475484,11.210604378475484,11.210604378475484,0.0,0.0,0.0
AG::AG_SHORT_11957,SHORT,-2.8773168234407174,-2.8773168234407174,-2.8773168234407174,0.0,0.0,0.0
AG::AG_SHORT_12155,SHORT,1.9355329008927613,10.417692279895784,2.9784269395316345,8.482159379003022,-7.439265340364149,1.0428940386388732
AG::AG_SHORT_12549,SHORT,5.454421441467455,5.454421441467455,5.454421441467455,0.0,0.0,0.0
AG::AG_SHORT_12554,SHORT,3.0517767951385357,3.0517767951385357,3.0517767951385357,0.0,0.0,0.0
AG::AG_SHORT_12649,SHORT,-0.9288979047384809,-0.9288979047384809,-0.9288979047384809,0.0,0.0,0.0
AG::AG_SHORT_12730,SHORT,-1.4157153179958504,-1.4157153179958504,-1.4157153179958504,0.0,0.0,0.0
AG::AG_SHORT_12786,SHORT,2.0606437290882518,3.6086632297953267,2.0606437290882518,1.548019500707075,-1.548019500707075,0.0
AG::AG_SHORT_12820,SHORT,0.2795566421676971,0.2795566421676971,0.2795566421676971,0.0,0.0,0.0
AG::AG_SHORT_12827,SHORT,8.486855820163074,8.486855820163074,8.486855820163074,0.0,0.0,0.0
AG::AG_SHORT_12890,SHORT,1.883587964839652,1.883587964839652,1.883587964839652,0.0,0.0,0.0
AG::AG_SHORT_12915,SHORT,-3.1983294747871875,3.1983294747871875,-3.1983294747871875,6.396658949574375,-6.396658949574375,0.0
AG::AG_SHORT_12978,SHORT,-1.9431828803907636,-1.9431828803907636,-1.9431828803907636,0.0,0.0,0.0
AG::AG_SHORT_13048,SHORT,-3.2985804628618776,-3.2985804628618776,-3.2985804628618776,0.0,0.0,0.0
AG::AG_SHORT_13101,SHORT,-1.4445852489124196,-1.4445852489124196,-1.4445852489124196,0.0,0.0,0.0
AG::AG_SHORT_13174,SHORT,-3.832226081189566,0.464709879469557,-3.52002386673248,4.296935960659123,-3.9847337462020374,0.31220221445708596
AG::AG_SHORT_13304,SHORT,-1.3566646750256517,-1.3566646750256517,-1.3566646750256517,0.0,0.0,0.0
AG::AG_SHORT_13330,SHORT,4.605167607543576,4.605167607543576,4.605167607543576,0.0,0.0,0.0
AG::AG_SHORT_13374,SHORT,2.383221773625711,2.383221773625711,2.383221773625711,0.0,0.0,0.0
AG::AG_SHORT_13433,SHORT,-2.381670100494512,-1.732482779176207,-2.381670100494512,0.649187321318305,-0.649187321318305,0.0
AG::AG_SHORT_13449,SHORT,7.41249085784556,7.41249085784556,7.41249085784556,0.0,0.0,0.0
AG::AG_SHORT_13661,SHORT,1.8115419697491226,1.8115419697491226,1.8115419697491226,0.0,0.0,0.0
AG::AG_SHORT_13733,SHORT,-0.3343506212265648,4.669721984650421,-0.3343506212265648,5.004072605876986,-5.004072605876986,0.0
AG::AG_SHORT_13839,SHORT,-3.8229460665924826,-3.268583748361219,-3.8229460665924826,0.5543623182312638,-0.5543623182312638,0.0
AG::AG_SHORT_13874,SHORT,-3.1196618300876136,-1.160523022107689,-3.1196618300876136,1.9591388079799246,-1.9591388079799246,0.0
AG::AG_SHORT_13922,SHORT,-4.45755026125566,-4.45755026125566,-4.45755026125566,0.0,0.0,0.0
AG::AG_SHORT_14214,SHORT,0.05193779859582076,0.05193779859582076,0.05193779859582076,0.0,0.0,0.0
AG::AG_SHORT_14226,SHORT,3.476448642881973,3.476448642881973,3.476448642881973,0.0,0.0,0.0
AG::AG_SHORT_14287,SHORT,-1.7531280104825404,-1.7531280104825404,-1.7531280104825404,0.0,0.0,0.0
AG::AG_SHORT_14322,SHORT,-3.2381679784068362,-2.14405774008144,-3.2381679784068362,1.0941102383253964,-1.0941102383253964,0.0
AG::AG_SHORT_14334,SHORT,5.427080897142366,6.932552436348008,3.307429010058956,1.505471539205642,-3.625123426289052,-2.11965188708341
AG::AG_SHORT_14463,SHORT,-3.535553792361362,-3.535553792361362,-3.535553792361362,0.0,0.0,0.0
AG::AG_SHORT_14485,SHORT,-2.25995931767563,-2.25995931767563,-2.25995931767563,0.0,0.0,0.0
AG::AG_SHORT_14518,SHORT,0.9857593579187888,1.9286404635103158,0.9857593579187888,0.942881105591527,-0.942881105591527,0.0
AG::AG_SHORT_14549,SHORT,-1.1276644989660987,-1.1276644989660987,-1.1276644989660987,0.0,0.0,0.0
AG::AG_SHORT_14554,SHORT,-1.542748164878383,-1.542748164878383,-1.542748164878383,0.0,0.0,0.0
AG::AG_SHORT_14634,SHORT,-0.6492139757494414,-0.6492139757494414,-0.6492139757494414,0.0,0.0,0.0
AL::AL_LONG_10560,LONG,-1.8523345810581042,-1.7045535283054827,-1.8523345810581042,0.14778105275262154,-0.14778105275262154,0.0
AL::AL_LONG_10572,LONG,2.3257135881663014,1.4724867954079737,2.3257135881663014,-0.8532267927583277,0.8532267927583277,0.0
AL::AL_LONG_10689,LONG,-1.9219609970288904,-1.54225220779283,-1.9219609970288904,0.37970878923606044,-0.37970878923606044,0.0
AL::AL_LONG_10897,LONG,0.1819139526059814,-0.1819139526059814,0.1819139526059814,-0.3638279052119628,0.3638279052119628,0.0
AL::AL_LONG_10900,LONG,0.550867659477085,0.550867659477085,0.550867659477085,0.0,0.0,0.0
AL::AL_LONG_10977,LONG,-2.1883558119735613,-3.04840251619053,-3.04840251619053,-0.8600467042169688,0.0,-0.8600467042169688
AL::AL_LONG_11014,LONG,1.0988587036012913,0.19841822756416977,1.0988587036012913,-0.9004404760371216,0.9004404760371216,0.0
AL::AL_LONG_11026,LONG,1.1236049778503248,1.1236049778503248,1.1236049778503248,0.0,0.0,0.0
AL::AL_LONG_11046,LONG,2.387917503463172,2.387917503463172,2.387917503463172,0.0,0.0,0.0
AL::AL_LONG_11068,LONG,1.2778155888008815,1.2778155888008815,1.2778155888008815,0.0,0.0,0.0
AL::AL_LONG_11094,LONG,1.6975749999880174,1.327251814167833,1.6975749999880174,-0.3703231858201843,0.3703231858201843,0.0
AL::AL_LONG_11158,LONG,1.602946832751378,1.301911840198172,1.602946832751378,-0.3010349925532061,0.3010349925532061,0.0
AL::AL_LONG_11230,LONG,2.6930429826378375,0.792264586145175,1.4915836884155784,-1.9007783964926626,0.6993191022704034,-1.201459294222259
