metric,symbol,n_test_rows,n_test_trades,n_long_opps,n_short_opps,m0_predicted_long_pct,m0_long_recall,m0_short_recall,m0_balanced_accuracy,m0_precision_long,m0_precision_short,m0_return_atr,m0_ci_low,m0_ci_high,m0_accuracy,m0_auc,always_long_return_atr,always_short_return_atr,fair_coin_mean_return,train_prior_coin_mean_return
TeacherFixedExitDirectionReturnATR,AG,1048,74,34,40,0.5945945945945946,0.6764705882352942,0.475,0.575735294117647,0.5227272727272727,0.475,0.8660373437475797,-0.05668275959366535,1.8350507991571239,0.5766932656306146,0.6421621185282893,-0.15159574124465364,0.15159574124465364,-0.0020939669608359764,-0.008817700167122234
TeacherFixedExitDirectionReturnATR,AU,965,73,35,38,0.6438356164383562,0.6285714285714286,0.34210526315789475,0.4853383458646616,0.46808510638297873,0.34210526315789475,0.37245761001170524,-0.43146619052078267,1.1685565043738346,0.5101308298875513,0.514252312295925,-0.5411979230400303,0.5411979230400303,0.007129779780296184,-0.02771802541716429
TeacherFixedExitDirectionReturnATR,CU,1202,38,21,17,0.7105263157894737,0.9047619047619048,0.5294117647058824,0.7170868347338936,0.7037037037037037,0.5294117647058824,0.9124857835505992,0.007277112578880853,1.8031370880404565,0.604169777971833,0.6641833300112343,0.8295386820770038,-0.8295386820770038,-0.0017198000474531827,0.04385405727448946
TeacherFixedExitDirectionReturnATR,AL,1074,34,17,17,0.6764705882352942,0.8235294117647058,0.47058823529411764,0.6470588235294117,0.6086956521739131,0.47058823529411764,0.8354033248155891,-0.4106016599959161,2.059100808064065,0.6558917150880195,0.716801849569703,-0.4419256733171747,0.4419256733171747,-0.012767819406701054,-0.0326002217472933
TeacherFixedExitDirectionReturnATR,SN,1045,44,20,24,0.6363636363636364,0.7,0.4166666666666667,0.5583333333333333,0.5,0.4166666666666667,0.03928740846674664,-0.8679045079973062,0.9701364459414202,0.544672966218342,0.578292477945352,-0.9248772032904107,0.9248772032904107,-0.0059978214877177,-0.05621717166996359
TeacherFixedExitDirectionReturnATR,NI,973,35,15,20,0.4857142857142857,0.6666666666666666,0.65,0.6583333333333333,0.5882352941176471,0.65,0.16554690169715164,-0.738830547960014,1.079262230561313,0.636914236959189,0.6844007653843194,-0.7972809453912687,0.7972809453912687,-0.002804130033858381,-0.043627349618225
TeacherFixedExitDirectionReturnATR,RB,903,27,13,14,0.6666666666666666,0.8461538461538461,0.5,0.6730769230769231,0.6111111111111112,0.5,0.590516193509403,-0.5363079401988329,1.6570244964391485,0.5915022600876155,0.6515304779828844,-0.49613358922335543,0.49613358922335543,0.014269071547245328,-0.011284863149992304
TeacherFixedExitDirectionReturnATR,I,819,30,14,16,0.5666666666666667,0.6428571428571429,0.5,0.5714285714285714,0.5294117647058824,0.5,-0.36019326368513255,-1.2776959000484087,0.5678664535658838,0.6164180285715448,0.6675594105516433,-1.2867163321075499,1.2867163321075499,-0.018871789076453392,-0.08476156930808088
TeacherFixedExitDirectionReturnATR,SC,1082,76,42,34,0.5657894736842105,0.6904761904761905,0.5882352941176471,0.6393557422969187,0.6744186046511628,0.5882352941176471,0.0790072384108832,-0.7701035486147018,0.9401992871329704,0.6152450674558888,0.6557258136298079,0.543446909159004,-0.543446909159004,-0.008635607957899609,0.02334767397134675
TeacherFixedExitDirectionReturnATR,RU,834,47,27,20,0.7446808510638298,0.7777777777777778,0.3,0.5388888888888889,0.6,0.3,1.0851235558905263,0.07288483652138779,2.3459082807034144,0.5778101129116371,0.5836177882583473,0.8314673553958121,-0.8314673553958121,0.0036713656963258826,0.05009808063817581
TeacherFixedExitDirectionReturnATR,MA,709,30,11,19,0.5666666666666667,1.0,0.6842105263157895,0.8421052631578947,0.6470588235294118,0.6842105263157895,1.7685161216068475,0.39319440989213456,3.292184259714271,0.7043989012584034,0.7648712327686559,-0.13730508779986844,0.13730508779986844,-0.018441068778133837,-0.02212427879175314
TeacherFixedExitDirectionReturnATR,TA,796,31,16,15,0.6451612903225806,0.875,0.6,0.7375,0.7,0.6,0.9296633975548925,-0.21853153756090568,2.0756883785863742,0.6590741244142503,0.7283544320547096,-0.25099032567418866,0.25099032567418866,0.01860534828753349,0.0055308783736368414
TeacherFixedExitDirectionReturnATR,M,711,31,18,13,0.5806451612903226,0.7222222222222222,0.6153846153846154,0.6688034188034189,0.7222222222222222,0.6153846153846154,1.8802152893522939,0.4430494147803668,3.588206259444821,0.6564038536441478,0.6566506100537799,2.09238073894125,-2.09238073894125,-0.00651187237532705,0.09819437127639738
TeacherFixedExitDirectionReturnATR,P,813,27,15,12,0.7407407407407407,0.8666666666666667,0.4166666666666667,0.6416666666666667,0.65,0.4166666666666667,0.8512900712878142,-0.22369981298097416,2.060547018827526,0.5971640166433089,0.6936243083216794,0.4910517855265468,-0.4910517855265468,0.005719107419858485,0.032147277410073435
TeacherFixedExitDirectionReturnATR,CF,799,41,21,20,0.7804878048780488,0.8571428571428571,0.3,0.5785714285714285,0.5625,0.3,-0.08322916139914596,-1.2161194175185868,0.9132471418826914,0.5674482966761193,0.5594270866354216,0.47649210478438253,-0.47649210478438253,-0.0007963812474295843,0.030383399377863135
