system,horizon,side,n_rows,n_gids,delta_ev_gross,delta_ev_ci_low,delta_ev_ci_high,break_even_incremental_exit_cost_atr,break_even_incremental_exit_cost_ci_low,break_even_incremental_exit_cost_ci_high,has_positive_gross_cost_capacity,saved_giveback,saved_giveback_ci_low,saved_giveback_ci_high,saved_giveback_n_rows,saved_giveback_n_gids,lost_continuation,lost_continuation_ci_low,lost_continuation_ci_high,lost_continuation_n_rows,lost_continuation_n_gids,delta_correct_gross,delta_correct_gross_ci_low,delta_correct_gross_ci_high,delta_correct_gross_n_rows,delta_correct_gross_n_gids,delta_wrong_gross,delta_wrong_gross_ci_low,delta_wrong_gross_ci_high,delta_wrong_gross_n_rows,delta_wrong_gross_n_gids,tp_eligible_rate,first_touch_rate,first_touch_accepted_breakout_rate,first_touch_not_profitable_rate,tp_signal_rate,tp_executable_rate,tp_hit_rate_correct,tp_hit_rate_wrong,raw_n_correct,raw_n_wrong
A9,td1,LONG,8662,535,-0.003101766442145667,-0.0945157587638597,0.08793636510660933,-0.003101766442145667,-0.0945157587638597,0.08793636510660933,False,0.22127808310049912,0.16359331050759995,0.2833398852557046,8662,535,0.2243798495426448,0.16445413832050212,0.28966557294575396,8662,535,-0.09050921919167264,-0.1972298826909446,0.020592647048842,5318,282,0.11684511619125694,-0.03352532618407983,0.27842847822789385,3344,253,0.8336292475100334,0.4187681617025424,0.11019530917676214,0.09334316344301549,0.21522968908276477,0.2078389421445361,0.24062816112833804,0.1628431840326821,5318,3344
A9,td1,SHORT,5111,427,0.05446413269574069,-0.0571617386211984,0.1760400123511118,0.05446413269574069,-0.0571617386211984,0.1760400123511118,True,0.24668102306020084,0.1699433342198742,0.33983619286398425,5111,427,0.19221689036446013,0.12335443971288326,0.2753888127247839,5111,427,0.005208394678477122,-0.15150522301284008,0.18927367817113452,3466,232,0.13769412384029775,-0.020723764653155695,0.25075518368961713,1645,195,0.8171000303474457,0.4045306363320203,0.1041953976004537,0.07658350522446504,0.22375173350710156,0.2210300680941271,0.26641146489352496,0.14434675350410534,3466,1645
A9,td3,LONG,8662,535,0.10481417867066603,-0.16688061351426348,0.38624977935589294,0.10481417867066603,-0.16688061351426348,0.38624977935589294,True,0.8836233448200446,0.7115034824639874,1.076581813016091,8662,535,0.7788091661493785,0.6117001376299535,0.9612357378473461,8662,535,-0.20975991772226943,-0.5924217401945266,0.1781350578083222,5318,282,0.5364957004703766,0.1756939413603386,0.9274631692460152,3344,253,0.8336292475100334,0.6535499000305002,0.19986348402169463,0.10301610566838901,0.3506703103404164,0.35052994547730687,0.38621513520459694,0.30156012506353086,5318,3344
A9,td3,SHORT,5111,427,0.14683852122631297,-0.17996944761570885,0.47094198916533303,0.14683852122631297,-0.17996944761570885,0.47094198916533303,True,0.9610485471827493,0.7387683295482339,1.2067355345241635,5111,427,0.8142100259564363,0.6176062096923206,1.0350928280027327,5111,427,0.04935125397221118,-0.3353913028045998,0.4570069089756379,3466,232,0.3115678444865216,-0.3023163025495878,0.894568355771521,1645,195,0.8171000303474457,0.6149383069313187,0.16917106323195766,0.08396569075471612,0.36180155294464494,0.36174827920210634,0.39106404030267033,0.3122119077048257,3466,1645
A9,td5,LONG,8662,535,0.23094533899373879,-0.19352916706461362,0.6527599503567943,0.23094533899373879,-0.19352916706461362,0.6527599503567943,True,1.3781559808961985,1.119745524535145,1.6664559025562649,8662,535,1.1472106419024597,0.8856504029050217,1.4431403798602067,8662,535,-0.021815538201523325,-0.6319662933062239,0.5598429415833045,5318,282,0.5778022524211819,0.045262743849110124,1.13856062085546,3344,253,0.8336292475100334,0.6993571854444067,0.20778341492527438,0.10324671610421901,0.3883270544149132,0.388250491762308,0.4170875826380889,0.3486781321297965,5318,3344
A9,td5,SHORT,5111,427,-0.23936021116631934,-0.6704665214470237,0.17519302217247498,-0.23936021116631934,-0.6704665214470237,0.17519302217247498,False,1.0582629771151943,0.8127595179144078,1.3089295397909622,5111,427,1.2976231882815137,1.0134281577169404,1.6039820608517044,5111,427,-0.33970099728220415,-0.88728488223697,0.24409741291712175,3466,232,-0.06980914816253406,-0.7599889726763251,0.5638018853122234,1645,195,0.8171000303474457,0.6605143269007075,0.19230970235794984,0.08419699427696674,0.3840076302657911,0.3840076302657911,0.4094673097532277,0.34098708111596576,3466,1645
E9,td1,LONG,7086,481,-0.006457755772911181,-0.11671383984908532,0.10186912236073319,-0.006457755772911181,-0.11671383984908532,0.10186912236073319,False,0.23063378042792645,0.16501564437184083,0.30967412567521246,7086,481,0.23709153620083764,0.16856626908985423,0.3192415911715237,7086,481,-0.07319765389582755,-0.1853265804742206,0.0435482018514392,4502,265,0.09786372276751831,-0.09433291853419845,0.3026019412814152,2584,216,0.8147486527911191,0.4245895230823907,0.11719087151774518,0.09370706585258293,0.21369158571206262,0.20763524995306007,0.23149159804202413,0.17034526936854774,4502,2584
E9,td1,SHORT,6687,496,0.04794104933829473,-0.04921027344777058,0.1460353862408949,0.04794104933829473,-0.04921027344777058,0.1460353862408949,True,0.241572139311876,0.17246696415780222,0.32099290459914753,6687,496,0.1936310899735813,0.13429503816766078,0.2632606021081687,6687,496,-0.009141323278655859,-0.16293350267077628,0.14431492535970106,4226,265,0.13704020503696043,0.03249748404099613,0.2212378336693827,2461,231,0.842731930577503,0.41495743145726577,0.1052993684830687,0.08202895155259565,0.22762911142160153,0.22343958192953864,0.27060029888836845,0.14982701345112703,4226,2461
E9,td3,LONG,7086,481,0.1829767282954476,-0.11496973550344265,0.5133908038957679,0.1829767282954476,-0.11496973550344265,0.5133908038957679,True,0.9504430825570247,0.7478395289265857,1.1847040798682682,7086,481,0.767466354261577,0.6039277683550872,0.9628437807102256,7086,481,-0.10186105310886447,-0.5162455999686996,0.3081640196142652,4502,265,0.6282081316390253,0.2117997161769018,1.1073804694151497,2584,216,0.8147486527911191,0.6549966367143193,0.1988146294476226,0.10180502380247335,0.3543769834642234,0.35426070079063826,0.38084161056324217,0.3127119438039141,4502,2584
E9,td3,SHORT,6687,496,0.10434940913191869,-0.18353307205525413,0.3900448610709078,0.10434940913191869,-0.18353307205525413,0.3900448610709078,True,0.9224450735483956,0.7395596556258339,1.1139220835405994,6687,496,0.8180956644164767,0.6468967333912997,1.0145708322395817,6687,496,-0.06136935040150908,-0.415219280340607,0.2654702562055198,4226,265,0.3630177314341708,-0.12579962538583978,0.8220374031498477,2461,231,0.842731930577503,0.6372284568667462,0.17606793698480228,0.09373781604805183,0.36742270383389203,0.3673419302812645,0.39867094711225415,0.31844086291950663,4226,2461
