fold,cutoff,n_direction_fit,n_direction_val,n_target,max_fit_decision_time,max_fit_oracle_exit_fill_time,max_val_decision_time,max_val_oracle_exit_fill_time,n_estimators,n_underlying_model_fits
0,2025-06-13 00:00:00,14176,2777,4116,2025-05-19 23:45:00,2025-06-03 14:15:00,2025-06-12 22:00:00,2025-06-12 22:15:00,48,3
1,2025-07-23 09:30:00,19318,3252,4753,2025-06-24 23:45:00,2025-07-10 09:15:00,2025-07-22 23:15:00,2025-07-23 09:15:00,41,3
2,2025-09-01 09:15:00,23108,4275,4331,2025-07-26 02:30:00,2025-08-14 14:45:00,2025-08-29 14:00:00,2025-08-30 01:00:00,116,3
3,2025-10-20 09:15:00,28299,4740,4365,2025-08-30 02:30:00,2025-10-09 13:30:00,2025-10-17 22:15:00,2025-10-18 01:00:00,25,3
4,2025-11-28 00:00:00,32918,5120,3776,2025-10-13 23:45:00,2025-11-10 10:30:00,2025-11-27 22:15:00,2025-11-27 22:45:00,30,3
