n,weight_sum,win_rate,mean_return,median_return,avg_win,avg_loss,p_win_q,p_be_q,scale_q,dimension
6200,3100.0,0.289516,-0.124428,-0.525563,2.401359,-1.194615,0,0,-1,2D_pwin_x_pbe
1781,890.5,0.357103,-0.086369,-0.269954,1.973567,-1.318065,0,1,-1,2D_pwin_x_pbe
417,208.5,0.395683,-0.036696,-0.205646,2.658245,-1.899216,0,2,-1,2D_pwin_x_pbe
106,53.0,0.386792,0.146461,-0.379506,3.649295,-2.095253,0,3,-1,2D_pwin_x_pbe
33,16.5,0.393939,-0.019707,-0.055899,1.28719,-0.965767,0,4,-1,2D_pwin_x_pbe
1952,976.0,0.366803,-0.03346,-0.280314,1.618155,-1.055098,1,0,-1,2D_pwin_x_pbe
4599,2299.5,0.412916,-0.001783,-0.133863,1.218372,-0.931737,1,1,-1,2D_pwin_x_pbe
1558,779.0,0.418485,-0.115716,-0.174136,1.433644,-1.313335,1,2,-1,2D_pwin_x_pbe
334,167.0,0.452096,-0.380067,-0.129517,1.319584,-1.853406,1,3,-1,2D_pwin_x_pbe
93,46.5,0.516129,0.161393,0.066721,1.306094,-1.083704,1,4,-1,2D_pwin_x_pbe
286,143.0,0.412587,-0.145874,-0.155221,1.5124,-1.402441,2,0,-1,2D_pwin_x_pbe
1831,915.5,0.445112,0.093081,-0.083235,1.258932,-0.901578,2,1,-1,2D_pwin_x_pbe
4126,2063.0,0.488851,0.052637,0.0,1.021921,-0.961436,2,2,-1,2D_pwin_x_pbe
1977,988.5,0.49216,-0.098577,0.0,0.837811,-1.123557,2,3,-1,2D_pwin_x_pbe
316,158.0,0.553797,-0.131591,0.129899,0.824124,-1.418355,2,4,-1,2D_pwin_x_pbe
63,31.5,0.444444,0.024619,-0.047756,1.490479,-1.217649,3,0,-1,2D_pwin_x_pbe
233,116.5,0.467811,0.100038,-0.046785,2.280575,-1.925418,3,1,-1,2D_pwin_x_pbe
2051,1025.5,0.509508,0.084434,0.065989,1.299876,-1.27991,3,2,-1,2D_pwin_x_pbe
4370,2185.0,0.557895,-0.026486,0.18124,1.071714,-1.551212,3,3,-1,2D_pwin_x_pbe
1819,909.5,0.611325,0.080031,0.367663,1.120244,-1.684739,3,4,-1,2D_pwin_x_pbe
36,18.0,0.527778,-0.676245,0.062446,1.091258,-2.81742,4,0,-1,2D_pwin_x_pbe
92,46.0,0.597826,-0.029405,0.266198,1.490376,-2.28854,4,1,-1,2D_pwin_x_pbe
385,192.5,0.555844,-0.197863,0.187303,1.753418,-2.752493,4,2,-1,2D_pwin_x_pbe
1748,874.0,0.612128,0.102204,0.35468,1.574669,-2.406139,4,3,-1,2D_pwin_x_pbe
6276,3138.0,0.684194,0.140013,0.581057,1.310795,-2.570257,4,4,-1,2D_pwin_x_pbe
