semantic_key,symbol,gid,direction_system,direction,evaluation_horizon,direction_correct,first_ahead_sr_touch_step,first_ahead_sr_cross_step,first_touch_accepted_breakout,r_touch_close,mfe_at_first_ahead_sr,tp_signal_step,tp_signal_time,tp_executable,tp_fill_step,tp_fill_time,tp_fill_open,tp_reason,baseline_gross_return_atr,tp_gross_return_atr,paired_delta_gross_atr,frozen_ahead_sr_bottom,frozen_ahead_sr_top,frozen_ahead_sr_strength,ahead_liq_available,ahead_liq_touched_by_signal,ahead_liq_crossed_by_signal
AG::AG_LONG_12107::2026-05-20 11:00:00::2026-05-20 11:00:00,AG,AG::AG_LONG_12107,A9,SHORT,td1,0,0,-1,False,0.032141517802102795,0.6106888382399531,0,2026-05-20 11:15:00,True,1,2026-05-20 11:15:00,17935.0,tp_executed,-4.387317179987032,0.024106138351577096,4.411423318338609,17928.0,17928.0,21.0,False,False,False
AG::AG_LONG_12107::2026-05-20 13:45:00::2026-05-20 13:45:00,AG,AG::AG_LONG_12107,A9,SHORT,td1,0,0,-1,False,0.016054471035097478,0.4575524245002781,0,2026-05-20 14:00:00,True,1,2026-05-20 14:00:00,18170.0,tp_executed,-2.5044974814752066,0.016054471035097478,2.520551952510304,18136.0,18136.0,21.0,True,False,False
AG::AG_LONG_12107::2026-05-21 22:00:00::2026-05-21 22:00:00,AG,AG::AG_LONG_12107,A9,LONG,td1,1,13,-1,False,2.156415294674628,2.6955191183432845,13,2026-05-22 01:30:00,True,14,2026-05-22 01:30:00,18783.0,tp_executed,1.3356900705820456,2.156415294674628,0.8207252240925822,18778.0,18885.0,83.0,False,False,False
AG::AG_LONG_12107::2026-05-21 22:15:00::2026-05-21 22:15:00,AG,AG::AG_LONG_12107,A9,LONG,td1,1,12,-1,False,2.392480818451902,2.9321987135235434,12,2026-05-22 01:30:00,True,13,2026-05-22 01:30:00,18783.0,tp_executed,1.5708207393876126,2.392480818451902,0.8216600790642896,18778.0,18885.0,83.0,False,False,False
AG::AG_LONG_12107::2026-05-22 09:15:00::2026-05-22 09:15:00,AG,AG::AG_LONG_12107,A9,LONG,td1,1,2,-1,False,0.6725248768080553,1.2548330018491765,2,2026-05-22 10:00:00,True,3,2026-05-22 10:00:00,18757.0,tp_executed,0.08201522887903114,0.7053309683596678,0.6233157394806367,18778.0,18885.0,83.0,False,False,False
AG::AG_LONG_12107::2026-05-22 10:15:00::2026-05-22 10:30:00,AG,AG::AG_LONG_12107,A9,LONG,td1,1,4,-1,False,1.1685030167627477,1.719838947207143,4,2026-05-22 13:45:00,True,5,2026-05-22 13:45:00,18817.0,tp_executed,0.049373366905468216,1.1685030167627477,1.1191296498572796,18778.0,18885.0,83.0,False,False,False
AG::AG_LONG_12107::2026-05-25 11:15:00::2026-05-25 11:15:00,AG,AG::AG_LONG_12107,A9,LONG,td1,1,0,-1,False,0.3687757987584733,0.5950700389057183,0,2026-05-25 11:30:00,True,1,2026-05-25 13:30:00,18993.0,tp_executed,0.25981931276165166,0.24305677645444831,-0.01676253630720334,18990.0,19185.0,72.0,False,False,False
AG::AG_LONG_12107::2026-05-20 11:00:00::2026-05-20 11:00:00,AG,AG::AG_LONG_12107,A9,SHORT,td3,0,0,-1,False,0.032141517802102795,0.6106888382399531,0,2026-05-20 11:15:00,True,1,2026-05-20 11:15:00,17935.0,tp_executed,-5.970286931740595,0.024106138351577096,5.994393070092172,17928.0,17928.0,21.0,False,False,False
AG::AG_LONG_12107::2026-05-20 13:45:00::2026-05-20 13:45:00,AG,AG::AG_LONG_12107,A9,SHORT,td3,0,0,-1,False,0.016054471035097478,0.4575524245002781,0,2026-05-20 14:00:00,True,1,2026-05-20 14:00:00,18170.0,tp_executed,-4.085862878432308,0.016054471035097478,4.1019173494674055,18136.0,18136.0,21.0,True,False,False
AG::AG_LONG_12107::2026-05-20 22:45:00::2026-05-20 22:45:00,AG,AG::AG_LONG_12107,A9,LONG,td3,1,89,-1,False,4.0977433032921216,5.100297975553883,89,2026-05-25 09:15:00,True,90,2026-05-25 09:15:00,19159.0,tp_executed,2.7769173065028165,4.081829737065744,1.3049124305629278,18990.0,19185.0,72.0,False,False,False
AG::AG_LONG_12107::2026-05-21 09:15:00::2026-05-21 09:15:00,AG,AG::AG_LONG_12107,A9,LONG,td3,1,73,-1,False,2.9588579137017597,3.9802718784316817,73,2026-05-25 09:15:00,True,74,2026-05-25 09:15:00,19159.0,tp_executed,1.6131855474702743,2.9426449936266814,1.329459446156407,18990.0,19185.0,72.0,False,False,False
AG::AG_LONG_12107::2026-05-21 09:30:00::2026-05-21 09:30:00,AG,AG::AG_LONG_12107,A9,LONG,td3,1,72,-1,False,2.7979034129193403,3.8197463985072733,72,2026-05-25 09:15:00,True,73,2026-05-25 09:15:00,19159.0,tp_executed,1.4516658287320634,2.781683682989373,1.3300178542573098,18990.0,19185.0,72.0,False,False,False
AG::AG_LONG_12107::2026-05-21 09:45:00::2026-05-21 09:45:00,AG,AG::AG_LONG_12107,A9,LONG,td3,1,71,-1,False,3.0729293963294313,4.094536530729189,71,2026-05-25 09:15:00,True,72,2026-05-25 09:15:00,19159.0,tp_executed,1.7270025367234008,3.0567134100691176,1.3297108733457168,18990.0,19185.0,72.0,False,False,False
AG::AG_LONG_12107::2026-05-21 10:00:00::2026-05-21 10:00:00,AG,AG::AG_LONG_12107,A9,LONG,td3,1,70,-1,False,3.59640955901559,4.619316115304448,70,2026-05-25 09:15:00,True,71,2026-05-25 09:15:00,19159.0,tp_executed,2.24877076263503,3.580172947011005,1.3314021843759747,18990.0,19185.0,72.0,False,False,False
AG::AG_LONG_12107::2026-05-21 10:15:00::2026-05-21 10:30:00,AG,AG::AG_LONG_12107,A9,LONG,td3,1,69,-1,False,4.155907026946291,5.180651225371404,69,2026-05-25 09:15:00,True,70,2026-05-25 09:15:00,19159.0,tp_executed,2.8058472099735234,4.1396412460189085,1.333794036045385,18990.0,19185.0,72.0,False,False,False
AG::AG_LONG_12107::2026-05-21 10:45:00::2026-05-21 10:45:00,AG,AG::AG_LONG_12107,A9,LONG,td3,1,25,26,False,1.739725321908,2.055303403556428,25,2026-05-22 01:15:00,True,26,2026-05-22 01:15:00,18688.0,tp_executed,4.1996160096290795,1.715450084858121,-2.4841659247709584,18667.0,18778.0,76.0,False,False,False
AG::AG_LONG_12107::2026-05-21 22:00:00::2026-05-21 22:00:00,AG,AG::AG_LONG_12107,A9,LONG,td3,1,13,55,False,2.156415294674628,2.6955191183432845,13,2026-05-22 01:30:00,True,14,2026-05-22 01:30:00,18783.0,tp_executed,1.3598290477612391,2.156415294674628,0.7965862469133886,18778.0,18885.0,83.0,False,False,False
AG::AG_LONG_12107::2026-05-21 22:15:00::2026-05-21 22:15:00,AG,AG::AG_LONG_12107,A9,LONG,td3,1,12,54,False,2.392480818451902,2.9321987135235434,12,2026-05-22 01:30:00,True,13,2026-05-22 01:30:00,18783.0,tp_executed,1.5949872123012683,2.392480818451902,0.7974936061506339,18778.0,18885.0,83.0,False,False,False
AG::AG_LONG_12107::2026-05-22 01:45:00::2026-05-22 01:45:00,AG,AG::AG_LONG_12107,A9,LONG,td3,1,40,71,False,2.6756487632693617,3.709795217784514,40,2026-05-25 09:15:00,True,41,2026-05-25 09:15:00,19159.0,tp_executed,-1.2393342431094283,2.65923374018182,3.8985679832912483,18990.0,19185.0,72.0,False,False,False
AG::AG_LONG_12107::2026-05-22 02:00:00::2026-05-22 02:00:00,AG,AG::AG_LONG_12107,A9,LONG,td3,1,39,70,False,2.7694363397182054,3.804893250117297,39,2026-05-25 09:15:00,True,40,2026-05-25 09:15:00,19159.0,tp_executed,-1.150507678221213,2.7530005157436164,3.9035081939648295,18990.0,19185.0,72.0,False,False,False
AG::AG_LONG_12107::2026-05-22 02:15:00::2026-05-22 02:15:00,AG,AG::AG_LONG_12107,A9,LONG,td3,1,38,69,False,2.90697712196597,3.9445950181917837,38,2026-05-25 09:15:00,True,39,2026-05-25 09:15:00,19159.0,tp_executed,-1.0211477708888959,2.8905069966290524,3.9116547675179483,18990.0,19185.0,72.0,False,False,False
AG::AG_LONG_12107::2026-05-22 02:30:00::2026-05-22 09:00:00,AG,AG::AG_LONG_12107,A9,LONG,td3,1,37,68,False,3.6866032803577053,4.725780043948468,37,2026-05-25 09:15:00,True,38,2026-05-25 09:15:00,19159.0,tp_executed,-0.24742303895018156,3.67010841109436,3.9175314500445415,18990.0,19185.0,72.0,False,False,False
AG::AG_LONG_12107::2026-05-22 09:15:00::2026-05-22 09:15:00,AG,AG::AG_LONG_12107,A9,LONG,td3,1,2,36,False,0.6725248768080553,1.2548330018491765,2,2026-05-22 10:00:00,True,3,2026-05-22 10:00:00,18757.0,tp_executed,0.10661979754274048,0.7053309683596678,0.5987111708169273,18778.0,18885.0,83.0,False,False,False
AG::AG_LONG_12107::2026-05-22 10:15:00::2026-05-22 10:30:00,AG,AG::AG_LONG_12107,A9,LONG,td3,1,4,32,False,1.1685030167627477,1.719838947207143,4,2026-05-22 13:45:00,True,5,2026-05-22 13:45:00,18817.0,tp_executed,0.07406005035820233,1.1685030167627477,1.0944429664045454,18778.0,18885.0,83.0,False,False,False
