direction,value_arch,match_kind,P_return,PGM_return,PGM_minus_P_point,ci_lo,ci_hi,n_per_fold
A9,A0,matched20,0.170042,0.06107,-0.108972,-0.290139,0.085536,"1=951,2=867,3=873,4=756"
A9,A0,matchedN,0.150116,0.058482,-0.091634,-0.27529,0.087097,"1=777,2=942,3=932,4=907"
E9,A0,matched20,0.13941,0.129421,-0.009989,-0.251956,0.165692,"1=951,2=867,3=873,4=756"
E9,A0,matchedN,0.131601,0.135676,0.004075,-0.220502,0.175046,"1=728,2=957,3=950,4=946"
A9,A1,matched20,0.140348,0.110922,-0.029426,-0.113614,0.099794,"1=951,2=867,3=873,4=756"
A9,A1,matchedN,0.132557,0.115705,-0.016852,-0.11174,0.103461,"1=1031,2=788,3=868,4=847"
E9,A1,matched20,0.111784,0.22558,0.113796,0.014038,0.212722,"1=951,2=867,3=873,4=756"
E9,A1,matchedN,0.107407,0.238082,0.130675,0.017762,0.226812,"1=954,2=790,3=864,4=849"
