candidate_decision_index,candidate_decision_time,candidate_fill_time,oracle_direction,candidate_fill_price,oracle_entry_fill_time,oracle_entry_fill_price,oracle_exit_fill_time,oracle_exit_fill_price,bars_to_oracle_entry,bars_to_oracle_exit,entry_quality_atr,group
12605,2026-06-11 09:15:00,2026-06-11 09:30:00,LONG,15525.0009765625,2026-06-11 10:45:00,15161.0009765625,2026-06-12 09:00:00,16150.0009765625,4.0,35.0,5.776321231132908,before_entry
1135,2025-02-24 13:45:00,2025-02-24 14:00:00,SHORT,8067.0,2025-02-24 14:30:00,8092.0,2025-02-26 00:30:00,7872.0,2.0,55.0,9.448117687218947,before_entry
2947,2025-05-09 21:15:00,2025-05-09 21:30:00,SHORT,8185.0,2025-05-14 00:15:00,8240.0,2025-05-15 13:30:00,7961.0,85.0,140.0,10.743416726001772,before_entry
3287,2025-05-22 23:00:00,2025-05-22 23:15:00,LONG,8222.0,2025-05-27 21:00:00,8180.0,2025-06-03 09:00:00,8520.0,102.0,213.0,17.169426427474836,before_entry
971,2025-02-18 01:00:00,2025-02-18 01:15:00,LONG,8014.0,2025-02-18 14:00:00,8068.0,2025-02-19 01:00:00,8140.0,16.0,36.0,5.878795966742687,before_entry
1808,2025-03-20 21:30:00,2025-03-20 21:45:00,SHORT,8282.0,2025-03-21 09:00:00,8319.0,2025-03-21 10:45:00,8259.0,19.0,25.0,1.2889039109386298,before_entry
12052,2026-05-21 09:45:00,2026-05-21 10:00:00,LONG,18718.0,2026-05-22 22:30:00,18448.0,2026-05-26 01:15:00,19195.0,54.0,102.0,3.8724319630935358,before_entry
10666,2026-03-23 21:15:00,2026-03-23 21:30:00,LONG,16631.001953125,2026-03-24 13:30:00,16480.001953125,2026-03-25 09:45:00,18380.0,29.0,60.0,8.215751398550122,before_entry
8989,2026-01-08 22:00:00,2026-01-08 22:15:00,LONG,17831.0,2026-01-08 22:45:00,17910.0,2026-01-10 00:00:00,19651.0,2.0,44.0,10.5871983035303,before_entry
7940,2025-11-26 22:30:00,2025-11-26 22:45:00,LONG,12229.0009765625,2025-11-26 23:00:00,12179.0009765625,2025-11-27 09:00:00,12482.0009765625,1.0,15.0,5.505042781513041,before_entry
8403,2025-12-15 09:45:00,2025-12-15 10:00:00,LONG,14646.0009765625,2025-12-15 11:15:00,14587.0009765625,2025-12-15 14:00:00,14728.0009765625,4.0,7.0,1.1078090493108501,before_entry
4283,2025-07-02 10:30:00,2025-07-02 10:45:00,LONG,8771.0009765625,2025-07-02 14:45:00,8756.0009765625,2025-07-03 14:45:00,8959.0009765625,8.0,45.0,10.844464335623412,before_entry
9340,2026-01-22 09:00:00,2026-01-22 09:15:00,LONG,22669.0,2026-01-22 09:15:00,22669.0,2026-01-26 21:15:00,27799.0,0.0,89.0,26.578917372579927,near_entry
5693,2025-08-25 13:30:00,2025-08-25 13:45:00,SHORT,9374.0009765625,2025-08-25 14:15:00,9383.0009765625,2025-08-25 21:30:00,9323.0009765625,2.0,7.0,3.138370036625614,near_entry
8989,2026-01-08 22:00:00,2026-01-08 22:15:00,LONG,17831.0,2026-01-08 22:45:00,17910.0,2026-01-10 00:00:00,19651.0,2.0,44.0,10.5871983035303,near_entry
5776,2025-08-27 21:45:00,2025-08-27 22:00:00,LONG,9274.0009765625,2025-08-27 21:45:00,9263.0009765625,2025-09-01 21:15:00,9836.0009765625,-1.0,108.0,36.94833161276651,near_entry
2163,2025-04-03 09:30:00,2025-04-03 09:45:00,SHORT,8442.0009765625,2025-04-03 09:45:00,8442.0009765625,2025-04-07 09:15:00,7535.0,0.0,13.0,49.20943016840253,near_entry
9080,2026-01-13 02:15:00,2026-01-13 09:00:00,SHORT,21020.0,2026-01-13 02:00:00,21421.0,2026-01-13 10:00:00,20775.0,-2.0,4.0,1.4227532952901782,near_entry
6891,2025-10-17 11:15:00,2025-10-17 13:30:00,SHORT,12330.0009765625,2025-10-17 13:30:00,12330.0009765625,2025-10-17 22:15:00,11648.0009765625,0.0,11.0,11.735650359893507,near_entry
11049,2026-04-08 14:45:00,2026-04-08 21:00:00,SHORT,19066.0,2026-04-08 21:00:00,19066.0,2026-04-09 09:30:00,18022.0,0.0,24.0,6.750932708882848,near_entry
14227,2026-08-13 21:30:00,2026-08-13 21:45:00,SHORT,15885.0009765625,2026-08-13 21:15:00,15933.0009765625,2026-08-14 13:45:00,15566.0009765625,-2.0,29.0,4.481037696477698,near_entry
