system,horizon,side,n_rows,n_gids,delta_ev_gross,delta_ev_ci_low,delta_ev_ci_high,break_even_incremental_exit_cost_atr,break_even_incremental_exit_cost_ci_low,break_even_incremental_exit_cost_ci_high,has_positive_gross_cost_capacity,saved_giveback,saved_giveback_ci_low,saved_giveback_ci_high,saved_giveback_n_rows,saved_giveback_n_gids,lost_continuation,lost_continuation_ci_low,lost_continuation_ci_high,lost_continuation_n_rows,lost_continuation_n_gids,delta_correct_gross,delta_correct_gross_ci_low,delta_correct_gross_ci_high,delta_correct_gross_n_rows,delta_correct_gross_n_gids,delta_wrong_gross,delta_wrong_gross_ci_low,delta_wrong_gross_ci_high,delta_wrong_gross_n_rows,delta_wrong_gross_n_gids,tp_eligible_rate,first_touch_rate,first_touch_accepted_breakout_rate,first_touch_not_profitable_rate,tp_signal_rate,tp_executable_rate,tp_hit_rate_correct,tp_hit_rate_wrong,raw_n_correct,raw_n_wrong,is_primary,is_robustness
A9,td1,ALL,750,52,0.06959059206385271,-0.11232476428734259,0.24821337567318713,0.06959059206385271,-0.11232476428734259,0.24821337567318713,True,0.18345263077339266,0.07711865146844199,0.31935152804753125,750,52,0.11386203870953997,0.020779729181595825,0.24795810465756696,750,52,-0.017167655753912426,-0.3019619452330299,0.24874217711298802,541,40,0.1926406480172049,0.03471340909301566,0.41696777559468645,209,39,0.8000063882195674,0.3694150825053474,0.13237425184534216,0.06685177240098719,0.1701890582590181,0.15935627201134592,0.1695777808588006,0.14485900786363187,541,209,False,False
A9,td3,ALL,750,52,1.1874656101268644,0.5173299017497207,1.9616104965739418,1.1874656101268644,0.5173299017497207,1.9616104965739418,True,1.3881082678693042,0.7661603312901359,2.1366609742993736,750,52,0.2006426577424397,0.07936059648890337,0.3517170480915032,750,52,0.7478596431107749,0.17190296175146086,1.3693459629199347,541,40,1.81096297434727,0.4785181662843685,3.2463850233359373,209,39,0.8000063882195674,0.6086919585742265,0.17389903254184955,0.06824446343957136,0.3665484625928056,0.3665484625928056,0.3734828151598893,0.3567134037616014,541,209,False,False
A9,td5,ALL,750,52,1.4040130400567343,0.6077613968234095,2.3690620298447858,1.4040130400567343,0.6077613968234095,2.3690620298447858,True,1.6586213985670497,0.9083131575598079,2.558164661545215,750,52,0.2546083585103151,0.09997580928105092,0.4427181500993455,750,52,1.904510707994444,0.7245797178810464,3.347306971045159,541,40,0.6941523917225413,-0.18408537506831749,1.8553798247306323,209,39,0.8000063882195674,0.6474561906747421,0.17856625642389032,0.06835427853514499,0.4005356557157068,0.4005356557157068,0.42642834330668705,0.3638118082776496,541,209,False,False
E9,td1,ALL,750,52,0.009399143049424286,-0.0938846446556546,0.110894093725081,0.009399143049424286,-0.0938846446556546,0.110894093725081,True,0.11962904862027696,0.059204372654504046,0.19271752836156603,750,52,0.11022990557085267,0.030467949147795482,0.2145148854293217,750,52,-0.09491239440295393,-0.3102906669639666,0.08936975045446387,459,36,0.10738054911648345,0.00639524989460773,0.2273287512456412,291,40,0.8021922315505091,0.34046523571557347,0.12118681430644167,0.08577468254009131,0.13350373886904043,0.12267095262136826,0.14899270611784685,0.09794653113622889,459,291,False,True
E9,td3,ALL,750,52,0.9239644396626239,0.2871163676678973,1.648596017205525,0.9239644396626239,0.2871163676678973,1.648596017205525,True,1.1922548803732251,0.6289559054654629,1.8629014849919519,750,52,0.26829044071060126,0.11272962715272075,0.45894209645361256,750,52,0.775863615610156,-0.002121424655572603,1.5620380245121264,459,36,1.063077785460789,0.08859513897187617,2.2332653264439037,291,40,0.8021922315505091,0.640079915372873,0.16081600340601845,0.11872660646593512,0.3605373055009195,0.3605373055009195,0.4266180988024755,0.2984666161040819,459,291,False,True
E9,td5,ALL,750,52,1.5485506683103083,0.7039165653294976,2.529497225886108,1.5485506683103083,0.7039165653294976,2.529497225886108,True,1.7774587259476897,0.9878416873946378,2.7354132544489276,750,52,0.2289080576373814,0.09795016911824077,0.39349895334756724,750,52,2.4895172855610794,0.9681736069890267,4.1706260300070275,459,36,0.6646864815468263,-0.028936651572171634,1.6349267927997688,291,40,0.8021922315505091,0.6797865692634193,0.16703969848750566,0.11883642156150875,0.3939104492144048,0.3939104492144048,0.4890654082022807,0.3045299558999248,459,291,True,False
