policy,symbol,side,decision_idx,fill_idx,exit_idx,entry_price,atr0,exit_price,exit_reason,holding_bars,trade_return_atr
P0,AG,LONG,11684,11685,11841,19314.0,93.75927906921407,21297.0,terminal_deadline,157,21.14990665122466
P0,AG,LONG,11847,11848,12026,21535.0,111.73781273695512,18484.0,terminal_deadline,179,-27.30499125826311
P0,AG,SHORT,12028,12029,12211,18314.0,124.76625201192346,18251.0,terminal_deadline,183,0.5049442375970332
P0,AG,SHORT,12213,12214,12396,18016.0,107.94262240763928,18008.0,terminal_deadline,183,0.07411344862262516
P0,AG,SHORT,12398,12399,12581,17947.0,97.62180940369902,15622.0009765625,terminal_deadline,183,23.81638936667161
P0,AG,SHORT,12585,12586,12766,15789.0009765625,108.27160183114768,16865.0,terminal_deadline,181,-9.937961619109949
P0,AG,LONG,12769,12770,12929,16887.0,97.45739054233842,13811.0009765625,terminal_deadline,160,-31.56250137952538
P0,AG,LONG,12968,12969,13151,14212.0009765625,109.83524562416727,15256.0009765625,terminal_deadline,183,9.505145584800209
P0,AG,LONG,13168,13169,13336,15235.0009765625,95.67419391754781,14656.0009765625,terminal_deadline,168,-6.051788641135385
P0,AG,SHORT,13338,13339,13521,14503.0009765625,83.53772658082681,13522.0009765625,terminal_deadline,183,11.743197237368374
P0,AG,SHORT,13545,13546,13706,13746.0009765625,77.58552288931863,14154.0009765625,terminal_deadline,161,-5.258713027970973
P0,AG,SHORT,13708,13709,13891,14193.0009765625,72.54863202767602,14264.0009765625,terminal_deadline,183,-0.9786538769320248
P0,AG,SHORT,13893,13894,14076,14041.0009765625,68.89897282164024,15635.0009765625,terminal_deadline,183,-23.135323136477094
P0,AG,SHORT,14100,14101,14261,15411.0009765625,67.73017563219219,15722.0009765625,terminal_deadline,161,-4.591749498611687
P0,AG,LONG,14263,14264,14446,15917.0009765625,71.5250385176173,16771.001953125,terminal_deadline,183,11.939888384011864
P0,AG,LONG,14463,14464,14631,16980.0,73.96714038250894,17215.0,terminal_deadline,168,3.1770864573746667
P0,AG,LONG,14637,14638,14701,16807.0,84.91205051105047,16291.0009765625,terminal_deadline,64,-6.076864477208071
P0,AL,LONG,9849,9850,9976,24480.0,52.1839218889527,24670.0,terminal_deadline,127,3.640968197145467
P0,AL,SHORT,9978,9979,10131,24735.0,54.89645732721922,24305.0,terminal_deadline,153,7.832928041911984
P0,AL,LONG,10133,10134,10286,24465.0,53.18982363778191,24285.0,terminal_deadline,153,-3.384105975341907
P0,AL,SHORT,10288,10289,10441,24335.0,50.497139462575284,24315.0,terminal_deadline,153,0.39606203861948475
P0,AL,SHORT,10443,10444,10596,24345.0,46.05444091939485,24055.0,terminal_deadline,153,6.296895461342419
P0,AL,LONG,10598,10599,10751,24095.0,45.25902446787592,23980.0,terminal_deadline,153,-2.5409297118550365
P0,AL,LONG,10753,10754,10890,23955.0,42.826069694928805,23000.0,terminal_deadline,137,-22.299501373881274
P0,AL,LONG,10894,10895,11045,23000.0,54.97104458864469,22840.0,terminal_deadline,151,-2.9106232416957023
P0,AL,LONG,11047,11048,11200,22795.0,59.617484954443505,23055.0,terminal_deadline,153,4.361136673220584
P0,AL,LONG,11202,11203,11355,23005.0,51.8615055010158,23185.0,terminal_deadline,153,3.4707823897722054
P0,AL,LONG,11357,11358,11510,23185.0,46.494560288213826,23225.0,terminal_deadline,153,0.8603156961168171
P0,AL,SHORT,11512,11513,11665,23125.0,44.154517756205315,23630.0,terminal_deadline,153,-11.437108265756773
P0,AL,SHORT,11683,11684,11820,23510.0,41.97604917825932,24040.0,terminal_deadline,137,-12.626247833598002
P0,AL,LONG,11835,11836,11975,23965.0,40.053162603343466,23885.0,terminal_deadline,140,-1.9973453979716933
P0,AL,SHORT,11977,11978,12130,23870.0,41.83823287544528,23710.0,terminal_deadline,153,3.8242532966516247
P0,AL,LONG,12132,12133,12285,23735.0,41.75717335704008,23920.0,terminal_deadline,153,4.430376510837504
P0,AL,LONG,12287,12288,12343,23920.0,40.67205972455055,24095.0,terminal_deadline,56,4.302708079826264
P0,AU,LONG,11684,11685,11841,1034.800048828125,2.386141700469348,1030.56005859375,terminal_deadline,157,-1.776923069380584
