oracle_trade_id,n_candidates,return_atr_m0,return_atr_m1
AG_LONG_11764,3,4.446687291925095,14.804355927012573
AG_LONG_11846,5,3.461890307396586,3.461890307396586
AG_LONG_12107,49,4.329324881846147,4.329324881846147
AG_LONG_12610,10,-0.8735806529962288,0.6248875214723358
AG_LONG_12660,8,9.184974668895462,9.184974668895462
AG_LONG_12716,8,-3.806575411865044,3.806575411865044
AG_LONG_12741,29,-3.168820991254287,3.2812798907670038
AG_LONG_12968,6,1.0041786118669256,1.0041786118669256
AG_LONG_12999,2,0.9959629902828451,0.9959629902828451
AG_LONG_13013,4,-0.13796682204408509,0.086859664152965
AG_LONG_13019,16,1.60343976045688,-0.15846526035386393
AG_LONG_13075,7,0.19456372772902064,3.435356300100426
AG_LONG_13110,17,-1.3709927786313951,3.161691930408883
AG_LONG_13275,2,0.5449943339305875,0.5449943339305875
AG_LONG_13397,8,6.086598479578998,6.086598479578998
AG_LONG_13428,1,0.4215715742410777,0.4215715742410777
AG_LONG_13516,56,7.11970891022617,7.11970891022617
AG_LONG_13633,7,-2.1054243986063104,4.182035945980163
AG_LONG_13699,21,4.783790537512661,3.1901067894465664
AG_LONG_13776,25,2.115891842450061,2.9476753023184323
AG_LONG_13822,16,5.3899277042549825,5.3899277042549825
AG_LONG_13895,14,-2.318752256838053,-1.8111710085026516
AG_LONG_13931,20,-1.4572041109204503,2.7668598661043693
AG_LONG_13958,5,1.0274565414050805,1.0274565414050805
AG_LONG_13965,17,-7.455127163530777,-3.367320916633168
AG_LONG_14054,1,-10.791625518891006,10.791625518891006
AG_LONG_14101,3,3.5844461012236755,3.5844461012236755
AG_LONG_14257,17,2.9597722736623746,3.4438151943415694
AG_LONG_14300,9,0.0032333282493457174,2.029216451871234
AG_LONG_14370,11,3.637439319709547,3.637439319709547
AG_LONG_14410,6,-3.3198210079519357,3.246023013126125
AG_LONG_14439,5,-3.2688995861388994,1.094593612058933
AG_LONG_14523,8,4.027563932180006,5.762770218044234
AG_LONG_14567,39,-1.322023412307409,4.881726990426937
AG_LONG_14732,10,4.13166466423619,4.13166466423619
AG_SHORT_11719,4,-1.9421094642027033,0.347121988780565
AG_SHORT_11866,6,-1.5440326839277878,-1.5440326839277878
AG_SHORT_11874,1,6.609432474232304,-6.609432474232304
AG_SHORT_11900,9,11.210604378475484,-11.210604378475484
AG_SHORT_11957,16,-2.8773168234407174,-4.722424796659717
AG_SHORT_12155,219,-8.399551222804487,-19.97004430489749
AG_SHORT_12549,1,-5.454421441467455,-5.454421441467455
AG_SHORT_12554,1,3.0517767951385357,3.0517767951385357
AG_SHORT_12649,8,-0.9288979047384809,-0.9288979047384809
AG_SHORT_12730,1,1.4157153179958504,-1.4157153179958504
AG_SHORT_12786,13,0.7525266088338238,-5.819182322835089
AG_SHORT_12820,6,-0.2795566421676971,-0.2795566421676971
AG_SHORT_12827,13,-8.486855820163074,-7.423189955994224
AG_SHORT_12890,1,-1.883587964839652,1.883587964839652
AG_SHORT_12915,1,-3.1983294747871875,3.1983294747871875
AG_SHORT_12978,8,-2.0808936567780676,-2.0808936567780676
AG_SHORT_13048,16,-3.8592925474786166,0.7550295574279158
AG_SHORT_13101,12,-1.4445852489124196,0.16389428410060555
AG_SHORT_13174,55,1.8475159514274124,-9.78070700888067
AG_SHORT_13304,12,-1.3566646750256517,-1.3566646750256517
AG_SHORT_13330,22,-4.454888878035659,-5.245723199393478
AG_SHORT_13374,10,-2.383221773625711,-2.383221773625711
AG_SHORT_13433,3,-2.381670100494512,-2.381670100494512
AG_SHORT_13449,10,-3.820837473828838,-7.41249085784556
AG_SHORT_13661,16,-1.581572389411514,-1.1493706498543386
AG_SHORT_13733,28,-3.3737531960988116,-4.109100098303389
AG_SHORT_13839,9,-3.8575028065867354,-3.8229460665924826
AG_SHORT_13874,25,-3.5060492593308368,-3.1788949259046255
AG_SHORT_13922,2,-4.45755026125566,-4.45755026125566
AG_SHORT_14214,4,1.1944910544946887,0.05193779859582076
AG_SHORT_14226,9,-1.9778601403009322,-1.6220941543592695
AG_SHORT_14287,5,-1.7531280104825404,-0.5917713421620996
AG_SHORT_14322,3,-3.2381679784068362,-2.14405774008144
AG_SHORT_14334,13,-5.979092327571698,-3.6034838813897583
AG_SHORT_14463,2,3.535553792361362,-3.535553792361362
AG_SHORT_14485,2,-2.25995931767563,-2.25995931767563
AG_SHORT_14518,6,-1.9286404635103158,-1.9286404635103158
AG_SHORT_14549,1,-1.1276644989660987,-1.1276644989660987
AG_SHORT_14554,6,1.8437872216170437,-1.8437872216170437
AG_SHORT_14634,14,-1.0792819049193794,-1.715656824674528
AG_SHORT_14670,14,0.648140560406621,-5.040009609453349
AG_SHORT_14718,1,1.5777546802151965,-1.5777546802151965
