symbol,direction_system,evaluation_horizon,n_rows,n_gids,delta_ev_gross,baseline_gross_mean,stop_gross_mean,stop_eligible_rate,stop_signal_rate,stop_executable_rate,raw_n_rows,raw_delta_ev_gross,raw_baseline_gross_mean,raw_stop_gross_mean
AG,A9,td1,50,3,0.26716057684201483,-1.2122214874987554,-0.9450609106567404,1.0,0.4228571428571429,0.37999999999999995,50,0.3020334473430026,-1.3806974869466593,-1.0786640396036566
AG,A9,td3,50,3,8.353145116189767,-5.593581467057812,2.7595636491319557,1.0,0.5714285714285714,0.5714285714285714,50,2.9594480666691463,-4.313724693509347,-1.3542766268402011
AG,A9,td5,50,3,8.7815619557211,-13.749181383288844,-4.967619427567743,1.0,0.7666666666666667,0.7666666666666667,50,3.191595225943411,-6.870772671420317,-3.6791774454769044
AG,E9,td1,50,3,0.26716057684201483,-1.193494876060277,-0.9263342992182623,1.0,0.4157142857142857,0.37999999999999995,50,0.3020334473430026,-1.3282629749189203,-1.0262295275759177
AG,E9,td3,50,3,8.407533206818186,-5.653575981481085,2.7539572253371025,1.0,0.5714285714285714,0.5714285714285714,50,3.111734720428721,-4.481709333894511,-1.3699746134657895
AG,E9,td5,50,3,8.749946349372806,-13.723172200735402,-4.973225851362596,1.0,0.7666666666666667,0.7666666666666667,50,3.103071528168186,-6.7979469602706795,-3.6948754321024935
AL,A9,td1,50,2,-0.029432808757909268,-0.2508892004969035,-0.2803220092548127,1.0,0.0784313725490196,0.06862745098039216,50,-0.06004292986613489,0.12878483272945623,0.06874190286332132
AL,A9,td3,50,2,-0.05974872687709179,-4.6051952257890365,-4.664943952666129,1.0,0.9117647058823529,0.9117647058823529,50,0.18901366361661534,-3.8167395330760696,-3.627725869459454
AL,A9,td5,50,2,-5.318909110918572,0.0042728939570046,-5.314636216961568,1.0,1.0,1.0,50,-3.0799970633691567,-1.8731010252529934,-4.95309808862215
AL,E9,td1,50,2,-0.03269821547058367,-0.3598037596853879,-0.3925019751559715,1.0,0.08823529411764706,0.0784313725490196,50,-0.06670435955999066,-0.09340086801505201,-0.16010522757504264
AL,E9,td3,50,2,-0.17927591868981896,-4.718068155338593,-4.897344074028413,1.0,0.9411764705882353,0.9411764705882353,50,-0.054821807681348034,-4.047000309357166,-4.101822117038514
AL,E9,td5,50,2,-5.535968607094328,0.2038816477442796,-5.3320869593500495,1.0,1.0,1.0,50,-3.5227984355677004,-1.4658991675269522,-4.9886976030946535
AU,A9,td1,50,9,0.05361077752335024,-0.8487067789718712,-0.795096001448521,1.0,0.22304439746300214,0.22304439746300214,50,-0.09219128317079278,-1.563790427580079,-1.6559817107508719
AU,A9,td3,50,9,-0.40019150762727274,-0.5383014899109979,-0.9384929975382708,1.0,0.5116279069767441,0.5116279069767441,50,3.225747805724388,-4.610535081092273,-1.3847872753678852
AU,A9,td5,50,9,0.394844103454967,-3.21401137400433,-2.8191672705493622,1.0,0.6337209302325582,0.6337209302325582,50,1.127970574536095,-4.511452895333992,-3.383482320797896
AU,E9,td1,50,9,0.04896563455117058,-0.9190248163335738,-0.8700591817824032,1.0,0.23414376321353067,0.23414376321353067,50,-0.10893149365339073,-1.8172032403197764,-1.9261347339731671
AU,E9,td3,50,9,-0.4818333731851796,-0.473371414728413,-0.9552047879135928,1.0,0.5116279069767441,0.5116279069767441,50,2.9315260730852266,-4.376539457767605,-1.4450133846823787
