semantic_key,symbol,gid,direction_system,direction,evaluation_horizon,direction_correct,stop_signal_step,stop_signal_time,stop_executable,stop_fill_step,stop_fill_time,stop_fill_open,stop_reason,baseline_gross_return_atr,stop_gross_return_atr,paired_delta_gross_atr,frozen_sr_bottom,frozen_sr_top,frozen_sr_strength,lb_available,lb_touched_by_signal,lb_pierced_by_signal,lb_broken_unreclaimed_at_signal
AG::AG_LONG_11846::2026-05-13 22:45:00::2026-05-13 22:45:00,AG,AG::AG_LONG_11846,A9,LONG,td1,1,15,2026-05-14 09:15:00,True,16,2026-05-14 09:15:00,21458.0,structural_invalidation,-1.8593986451591995,-1.2247000691673573,0.6346985759918422,21469.0,21564.0,43.0,True,False,False,False
AG::AG_LONG_11846::2026-05-13 23:00:00::2026-05-13 23:00:00,AG,AG::AG_LONG_11846,A9,LONG,td1,1,14,2026-05-14 09:15:00,True,15,2026-05-14 09:15:00,21458.0,structural_invalidation,-1.6618300405564164,-1.0274755627096122,0.6343544778468042,21469.0,21564.0,43.0,True,False,False,False
AG::AG_LONG_11846::2026-05-13 23:15:00::2026-05-13 23:15:00,AG,AG::AG_LONG_11846,A9,LONG,td1,1,13,2026-05-14 09:15:00,True,14,2026-05-14 09:15:00,21458.0,structural_invalidation,-2.9359383839028435,-2.304266792214656,0.6316715916881877,21469.0,21564.0,43.0,True,False,False,False
AG::AG_LONG_11846::2026-05-13 23:30:00::2026-05-13 23:30:00,AG,AG::AG_LONG_11846,A9,LONG,td1,1,12,2026-05-14 09:15:00,True,13,2026-05-14 09:15:00,21458.0,structural_invalidation,-3.0334614491558507,-2.4000033230085998,0.6334581261472509,21469.0,21564.0,43.0,True,False,False,False
AG::AG_LONG_12107::2026-05-20 10:45:00::2026-05-20 10:45:00,AG,AG::AG_LONG_12107,A9,SHORT,td1,0,0,2026-05-20 11:00:00,True,1,2026-05-20 11:00:00,17938.0,structural_invalidation,-4.814142254250195,-0.4332728028825175,4.380869451367677,17928.0,17928.0,21.0,False,False,False,False
AG::AG_LONG_12107::2026-05-20 11:00:00::2026-05-20 11:00:00,AG,AG::AG_LONG_12107,A9,SHORT,td1,0,2,2026-05-20 13:45:00,True,3,2026-05-20 13:45:00,18172.0,structural_invalidation,-4.387317179987032,-1.8802787914230137,2.507038388564018,18136.0,18136.0,21.0,False,False,False,False
AG::AG_LONG_12107::2026-05-20 11:15:00::2026-05-20 11:15:00,AG,AG::AG_LONG_12107,A9,SHORT,td1,0,1,2026-05-20 13:45:00,True,2,2026-05-20 13:45:00,18172.0,structural_invalidation,-4.419137680257378,-1.9077151734444415,2.511422506812936,18136.0,18136.0,21.0,False,False,False,False
AG::AG_LONG_12107::2026-05-20 11:30:00::2026-05-20 13:30:00,AG,AG::AG_LONG_12107,A9,SHORT,td1,0,0,2026-05-20 13:45:00,True,1,2026-05-20 13:45:00,18172.0,structural_invalidation,-3.651275907364533,-1.136489851961146,2.5147860554033867,18136.0,18136.0,21.0,False,False,False,False
AG::AG_LONG_12107::2026-05-20 14:00:00::2026-05-20 14:00:00,AG,AG::AG_LONG_12107,A9,SHORT,td1,0,3,2026-05-20 15:00:00,False,-1,,,beyond_baseline_exit,-2.524968044900673,-2.524968044900673,0.0,18349.0,18349.0,21.0,False,False,False,False
AG::AG_LONG_12107::2026-05-20 14:15:00::2026-05-20 14:15:00,AG,AG::AG_LONG_12107,A9,SHORT,td1,0,2,2026-05-20 15:00:00,False,-1,,,beyond_baseline_exit,-2.0142411780993728,-2.0142411780993728,0.0,18349.0,18349.0,21.0,False,False,False,False
AG::AG_LONG_12107::2026-05-20 21:30:00::2026-05-20 21:30:00,AG,AG::AG_LONG_12107,A9,SHORT,td1,0,3,2026-05-20 22:30:00,True,4,2026-05-20 22:30:00,18542.0,structural_invalidation,-0.0,-1.8274172408273583,-1.8274172408273583,18349.0,18349.0,21.0,False,False,False,False
AG::AG_LONG_12107::2026-05-20 21:45:00::2026-05-20 21:45:00,AG,AG::AG_LONG_12107,A9,SHORT,td1,0,2,2026-05-20 22:30:00,True,3,2026-05-20 22:30:00,18542.0,structural_invalidation,0.04011314449862161,-1.7890462446385238,-1.8291593891371454,18349.0,18349.0,21.0,False,False,False,False
AG::AG_LONG_12107::2026-05-20 22:00:00::2026-05-20 22:00:00,AG,AG::AG_LONG_12107,A9,SHORT,td1,0,1,2026-05-20 22:30:00,True,2,2026-05-20 22:30:00,18542.0,structural_invalidation,-0.16064362362832646,-1.9919809329912483,-1.831337309362922,18349.0,18349.0,21.0,False,False,False,False
AG::AG_LONG_12107::2026-05-20 22:15:00::2026-05-20 22:15:00,AG,AG::AG_LONG_12107,A9,SHORT,td1,0,0,2026-05-20 22:30:00,True,1,2026-05-20 22:30:00,18542.0,structural_invalidation,-0.1848478041136484,-2.0172521231532934,-1.832404319039645,18349.0,18349.0,21.0,False,False,False,False
AG::AG_LONG_12107::2026-05-20 22:45:00::2026-05-20 22:45:00,AG,AG::AG_LONG_12107,A9,LONG,td1,1,29,2026-05-21 15:00:00,False,-1,,,beyond_baseline_exit,-2.6416519935786105,-2.6416519935786105,0.0,18349.0,18349.0,21.0,True,False,False,False
AG::AG_LONG_12107::2026-05-21 09:15:00::2026-05-21 09:15:00,AG,AG::AG_LONG_12107,A9,LONG,td1,1,4,2026-05-21 10:45:00,True,5,2026-05-21 10:45:00,18476.0,structural_invalidation,-3.9073137380938303,-2.5940672120125012,1.313246526081329,18667.0,18778.0,76.0,True,False,False,False
AG::AG_LONG_12107::2026-05-21 09:30:00::2026-05-21 09:30:00,AG,AG::AG_LONG_12107,A9,LONG,td1,1,3,2026-05-21 10:45:00,True,4,2026-05-21 10:45:00,18476.0,structural_invalidation,-4.071152212421764,-2.7573540880944223,1.313798124327342,18667.0,18778.0,76.0,True,False,False,False
AG::AG_LONG_12107::2026-05-21 09:45:00::2026-05-21 09:45:00,AG,AG::AG_LONG_12107,A9,LONG,td1,1,2,2026-05-21 10:45:00,True,3,2026-05-21 10:45:00,18476.0,structural_invalidation,-3.794540784913387,-2.481045897827984,1.3134948870854033,18667.0,18778.0,76.0,True,False,False,False
AG::AG_LONG_12107::2026-05-21 10:00:00::2026-05-21 10:00:00,AG,AG::AG_LONG_12107,A9,LONG,td1,1,10,2026-05-21 15:00:00,False,-1,,,beyond_baseline_exit,-3.279795624926181,-3.279795624926181,0.0,18349.0,18349.0,21.0,True,False,False,False
AG::AG_LONG_12107::2026-05-21 10:15:00::2026-05-21 10:30:00,AG,AG::AG_LONG_12107,A9,LONG,td1,1,9,2026-05-21 15:00:00,False,-1,,,beyond_baseline_exit,-2.732651195800301,-2.732651195800301,0.0,18349.0,18349.0,21.0,True,False,False,False
AG::AG_LONG_12107::2026-05-21 10:45:00::2026-05-21 10:45:00,AG,AG::AG_LONG_12107,A9,LONG,td1,1,8,2026-05-21 15:00:00,False,-1,,,beyond_baseline_exit,-1.3108628006934697,-1.3108628006934697,0.0,18349.0,18349.0,21.0,True,False,False,False
AG::AG_LONG_12107::2026-05-21 15:00:00::2026-05-21 21:00:00,AG,AG::AG_LONG_12107,A9,SHORT,td1,0,3,2026-05-21 22:00:00,True,4,2026-05-21 22:00:00,18515.0,structural_invalidation,-3.370659285609876,-2.0223955713659256,1.3482637142439504,18349.0,18349.0,21.0,False,False,False,False
AG::AG_LONG_12107::2026-05-21 21:30:00::2026-05-21 21:30:00,AG,AG::AG_LONG_12107,A9,SHORT,td1,0,1,2026-05-21 22:00:00,True,2,2026-05-21 22:00:00,18515.0,structural_invalidation,-2.8775378382599692,-1.5357645765994217,1.3417732616605476,18349.0,18349.0,21.0,False,False,False,False
AG::AG_LONG_12107::2026-05-21 21:45:00::2026-05-21 21:45:00,AG,AG::AG_LONG_12107,A9,SHORT,td1,0,0,2026-05-21 22:00:00,True,1,2026-05-21 22:00:00,18515.0,structural_invalidation,-2.9289614919478435,-1.5858465536513187,1.3431149382965248,18349.0,18349.0,21.0,False,False,False,False
AG::AG_LONG_11846::2026-05-13 22:30:00::2026-05-13 22:30:00,AG,AG::AG_LONG_11846,A9,LONG,td3,1,53,2026-05-15 09:15:00,True,54,2026-05-15 09:15:00,20052.0,structural_invalidation,-26.48163524523125,-13.27214094919836,13.20949429603289,20078.0,20150.0,46.0,True,False,False,False
AG::AG_LONG_11846::2026-05-13 22:45:00::2026-05-13 22:45:00,AG,AG::AG_LONG_11846,A9,LONG,td3,1,15,2026-05-14 09:15:00,True,16,2026-05-14 09:15:00,21458.0,structural_invalidation,-26.988098604498187,-1.2247000691673573,25.76339853533083,21469.0,21564.0,43.0,True,False,False,False
AG::AG_LONG_11846::2026-05-13 23:00:00::2026-05-13 23:00:00,AG,AG::AG_LONG_11846,A9,LONG,td3,1,14,2026-05-14 09:15:00,True,15,2026-05-14 09:15:00,21458.0,structural_invalidation,-26.776906621223546,-1.0274755627096122,25.749431058513935,21469.0,21564.0,43.0,True,False,False,False
AG::AG_LONG_11846::2026-05-13 23:15:00::2026-05-13 23:15:00,AG,AG::AG_LONG_11846,A9,LONG,td3,1,13,2026-05-14 09:15:00,True,14,2026-05-14 09:15:00,21458.0,structural_invalidation,-27.944795344966156,-2.304266792214656,25.6405285527515,21469.0,21564.0,43.0,True,False,False,False
AG::AG_LONG_11846::2026-05-13 23:30:00::2026-05-13 23:30:00,AG,AG::AG_LONG_11846,A9,LONG,td3,1,12,2026-05-14 09:15:00,True,13,2026-05-14 09:15:00,21458.0,structural_invalidation,-28.11305007732378,-2.4000033230085998,25.71304675431518,21469.0,21564.0,43.0,True,False,False,False
AG::AG_LONG_12107::2026-05-20 10:45:00::2026-05-20 10:45:00,AG,AG::AG_LONG_12107,A9,SHORT,td3,0,0,2026-05-20 11:00:00,True,1,2026-05-20 11:00:00,17938.0,structural_invalidation,-6.394785627729008,-0.4332728028825175,5.961512824846491,17928.0,17928.0,21.0,False,False,False,False
AG::AG_LONG_12107::2026-05-20 11:00:00::2026-05-20 11:00:00,AG,AG::AG_LONG_12107,A9,SHORT,td3,0,2,2026-05-20 13:45:00,True,3,2026-05-20 13:45:00,18172.0,structural_invalidation,-5.970286931740595,-1.8802787914230137,4.090008140317581,18136.0,18136.0,21.0,False,False,False,False
