symbol,direction_system,evaluation_horizon,n_rows,n_gids,delta_ev_gross,baseline_gross_mean,tp_gross_mean,tp_eligible_rate,tp_signal_rate,tp_executable_rate,saved_giveback,lost_continuation,raw_n_rows,raw_delta_ev_gross,raw_baseline_gross_mean,raw_tp_gross_mean
AG,A9,td1,50,3,0.07357173876454641,-1.2122214874987554,-1.1386497487342089,0.7128571428571429,0.049999999999999996,0.049999999999999996,0.07369147116674071,0.00011973240219430957,50,0.20600086854073,-1.3806974869466593,-1.174696618405929
AG,A9,td3,50,3,0.4045357526210736,-5.593581467057812,-5.189045714436739,0.7128571428571429,0.14285714285714288,0.14285714285714288,0.42227979494086615,0.01774404231979256,50,1.1327001073390062,-4.313724693509347,-3.1810245861703415
AG,A9,td5,50,3,1.0590836625772715,-13.749181383288844,-12.69009772071157,0.7128571428571429,0.16428571428571428,0.16428571428571428,1.1043785270181692,0.04529486444089788,50,2.96543425521636,-6.870772671420317,-3.905338416203957
AG,E9,td1,50,3,0.06854329680421431,-1.193494876060277,-1.1249515792560627,0.7128571428571429,0.057142857142857134,0.057142857142857134,0.07369147116674071,0.005148174362526401,50,0.1919212310518001,-1.3282629749189203,-1.1363417438671202
AG,E9,td3,50,3,0.4566119159114095,-5.653575981481085,-5.196964065569675,0.7128571428571429,0.14285714285714288,0.14285714285714288,0.4566119159114095,0.0,50,1.2785133645519464,-4.481709333894511,-3.2031959693425645
AG,E9,td5,50,3,1.0251561288908928,-13.723172200735402,-12.698016071844508,0.7128571428571429,0.16428571428571428,0.16428571428571428,1.0791207208496045,0.05396459195871183,50,2.8704371608945007,-6.7979469602706795,-3.92750979937618
AL,A9,td1,50,2,0.2696929581370154,-0.2508892004969035,0.01880375764011186,0.9901960784313725,0.41503267973856206,0.3202614379084967,0.37914589440999574,0.10945293627298039,50,0.050673676295651046,0.12878483272945623,0.17945850902510727
AL,A9,td3,50,2,2.493638431050018,-4.6051952257890365,-2.111556794739018,0.9901960784313725,0.5032679738562091,0.5032679738562091,2.72316779282678,0.22952936177676134,50,2.916768929122031,-3.8167395330760696,-0.8999706039540382
AL,A9,td5,50,2,1.2444969087491229,0.0042728939570046,1.2487698027061274,0.9901960784313725,0.5032679738562091,0.5032679738562091,1.3914627733986809,0.1469658646495582,50,2.789702170913908,-1.8731010252529934,0.9166011456609147
AL,E9,td1,50,2,0.2696929581370154,-0.3598037596853879,-0.09011080154837263,0.9901960784313725,0.41503267973856206,0.3202614379084967,0.37914589440999574,0.10945293627298039,50,0.050673676295651046,-0.09340086801505201,-0.042727191719400946
AL,E9,td3,50,2,2.5024067997995862,-4.718068155338593,-2.2156613555390074,0.9901960784313725,0.47385620915032683,0.47385620915032683,2.7188373161812946,0.21643051638170793,50,2.934656401371151,-4.047000309357166,-1.1123439079860162
AL,E9,td5,50,2,1.0643703687035309,0.2038816477442796,1.2682520164478102,0.9901960784313725,0.47385620915032683,0.47385620915032683,1.211336233353089,0.1469658646495582,50,2.4222440292209004,-1.4658991675269522,0.9563448616939481
AU,A9,td1,50,9,0.18978867787146997,-0.8487067789718712,-0.6589181011004012,0.7558139534883721,0.14688160676532772,0.14688160676532772,0.1902857604904861,0.000497082619016112,50,0.24191028871494896,-1.563790427580079,-1.3218801388651302
AU,A9,td3,50,9,0.368806722517176,-0.5383014899109979,-0.169494767393822,0.7558139534883721,0.30332980972515855,0.30332980972515855,0.6028055953073417,0.23399887279016585,50,0.7913514478348825,-4.610535081092273,-3.8191836332573903
AU,A9,td5,50,9,3.1054077312530133,-3.21401137400433,-0.1086036427513154,0.7558139534883721,0.40100422832980975,0.40100422832980975,3.1054077312530133,0.0,50,3.1529433524006185,-4.511452895333992,-1.3585095429333731
AU,E9,td1,50,9,0.18978867787146997,-0.9190248163335738,-0.7292361384621037,0.7558139534883721,0.14688160676532772,0.14688160676532772,0.1902857604904861,0.000497082619016112,50,0.24191028871494896,-1.8172032403197764,-1.5752929516048275
AU,E9,td3,50,9,0.35442419961188326,-0.473371414728413,-0.11894721511652988,0.7558139534883721,0.3144291754756871,0.3144291754756871,0.6028055953073417,0.24838139569545856,50,0.73951957481238,-4.376539457767605,-3.637019882955226
AU,E9,td5,50,9,3.117110143790356,-3.2012511697070147,-0.0841410259166584,0.7558139534883721,0.4121035940803383,0.4121035940803383,3.117110143790356,0.0,50,3.1951166181542408,-4.465467549561573,-1.270350931407333
CF,A9,td1,50,6,-0.004574561939013355,-0.0645335820329218,-0.06910814397193515,0.7616666666666666,0.09166666666666665,0.09166666666666665,0.044738801613213086,0.04931336355222644,50,0.09989827801678705,0.014162625199691671,0.11406090321647877
CF,A9,td3,50,6,1.4024957180905862,-3.353011141027993,-1.9505154229374067,0.7616666666666666,0.25611111111111107,0.25611111111111107,1.4024957180905862,0.0,50,3.9873946635790287,-4.6425664669764934,-0.6551718033974643
CF,A9,td5,50,6,1.0105277991996795,-1.3272915517878747,-0.3167637525881954,0.7616666666666666,0.25611111111111107,0.25611111111111107,1.269639774415646,0.2591119752159664,50,3.097598130380282,-3.725849545191906,-0.6282514148116237
CF,E9,td1,50,6,0.03745776577221126,-0.3557360722750539,-0.3182783065028426,0.7005555555555555,0.024444444444444442,0.024444444444444442,0.044738801613213086,0.007281035841001828,50,0.12258905161814593,-0.23046097775414143,-0.10787192613599551
CF,E9,td3,50,6,1.0046696537295146,-0.3118967539860216,0.6927728997434932,0.7005555555555555,0.25,0.25,1.167286432158906,0.16261677842939135,50,3.7196017117058062,-3.6435647892583063,0.07603692244749947
CF,E9,td5,50,6,0.4917570062728718,0.4900896905322767,0.9818466968051486,0.7005555555555555,0.25,0.25,0.9785324712899862,0.4867754650171144,50,2.817027484573146,-2.6229191698734717,0.19410831469967507
CU,A9,td1,50,3,0.19233174600735833,-1.4845207385194912,-1.2921889925121328,1.0,0.11163670766319773,0.11163670766319773,0.23339477162028235,0.04106302561292401,50,0.1137848731546422,-1.104380809114985,-0.9905959359603426
CU,A9,td3,50,3,0.0339193224355152,-1.252216686579351,-1.218297364143836,1.0,0.17123935666982026,0.17123935666982026,0.3278684746964631,0.29394915226094787,50,-0.0036782640427417412,-1.5711192123213855,-1.574797476364127
CU,A9,td5,50,3,0.33554222705984355,-2.4067080979866176,-2.0711658709267744,1.0,0.17123935666982026,0.17123935666982026,0.36234915447944166,0.026806927419598153,50,0.5497503673673555,-3.298761950527973,-2.749011583160618
CU,E9,td1,50,3,0.19233174600735833,-1.4845207385194912,-1.2921889925121328,1.0,0.11163670766319773,0.11163670766319773,0.23339477162028235,0.04106302561292401,50,0.1137848731546422,-1.104380809114985,-0.9905959359603426
CU,E9,td3,50,3,0.0339193224355152,-1.252216686579351,-1.218297364143836,1.0,0.17123935666982026,0.17123935666982026,0.3278684746964631,0.29394915226094787,50,-0.0036782640427417412,-1.5711192123213855,-1.574797476364127
CU,E9,td5,50,3,0.33554222705984355,-2.4067080979866176,-2.0711658709267744,1.0,0.17123935666982026,0.17123935666982026,0.36234915447944166,0.026806927419598153,50,0.5497503673673555,-3.298761950527973,-2.749011583160618
I,A9,td1,50,5,-0.3340278365188667,0.7237161755045287,0.3896883389856619,0.43162393162393164,0.26795426795426797,0.2058913308913309,0.008010337976163844,0.3420381744950306,50,-0.10595173569527702,0.2739289042883915,0.16797716859311443
I,A9,td3,50,5,0.6386789004879555,-1.2652533521827158,-0.6265744516947603,0.43162393162393164,0.31551781551781555,0.31551781551781555,0.6669951838363507,0.028316283348395265,50,0.4674913062803492,-1.9745330732843704,-1.5070417670040208
I,A9,td5,50,5,0.845858179879254,-2.14955529153152,-1.303697111652266,0.43162393162393164,0.31551781551781555,0.31551781551781555,0.8671528166002798,0.02129463672102569,50,0.5712806270743811,-2.6007065223486183,-2.0294258952742372
I,E9,td1,50,5,-0.3287041773386103,0.7073152772331526,0.37861109989454217,0.43162393162393164,0.25635475635475635,0.1942918192918193,0.008010337976163844,0.33671451531477414,50,-0.09677262649816122,0.15689575568440958,0.06012312918624835
I,E9,td3,50,5,0.7127574188630039,-1.226653662373295,-0.513896243510291,0.43162393162393164,0.3166833166833167,0.3166833166833167,0.7175699460487868,0.004812527185782949,50,0.5471428877229547,-1.804432110111762,-1.2572892223888072
I,E9,td5,50,5,0.909768539853585,-2.1225495289232197,-1.2127809890696346,0.43162393162393164,0.3166833166833167,0.3166833166833167,0.9124039196324594,0.0026353797788744404,50,0.6407963750328434,-2.4653883550247597,-1.8245919799919164
M,A9,td1,50,2,0.04538377233982462,0.03191886846676402,0.0773026408065887,0.4929824561403508,0.08947368421052632,0.08421052631578949,0.05657906801536519,0.011195295675540569,50,0.17245833489133358,0.2722405033501428,0.4446988382414764
M,A9,td3,50,2,0.09558876852301343,-1.7267270162057364,-1.631138247682723,0.4929824561403508,0.13684210526315788,0.13684210526315788,0.18624722439744398,0.09065845587443057,50,0.363237320387451,0.032131514500067446,0.39536883488751867
M,A9,td5,50,2,0.2042596485145022,-1.7699357854962652,-1.565676136981764,0.4929824561403508,0.13684210526315788,0.13684210526315788,0.22580037353293456,0.02154072501843233,50,0.7761866643551084,0.16079025360084617,0.9369769179559548
M,E9,td1,50,2,0.06372761844679212,-0.038188588657439085,0.0255390297893531,0.4929824561403508,0.09473684210526316,0.0894736842105263,0.07492291412233269,0.011195295675540569,50,0.24216495009781006,0.005832166278171034,0.24799711637598104
M,E9,td3,50,2,0.13311027192362876,-1.8736154798313607,-1.7405052079077317,0.4929824561403508,0.1421052631578947,0.1421052631578947,0.2237687277980593,0.09065845587443057,50,0.5058190333097893,-0.5260446472773045,-0.020225613967515023
