architecture,population,symbol,decision_time,decision_bar,side,fold,actual_return,actual_abs_return,p_win,mu_win,mu_loss,predicted_rr,p_break_even,ev_margin,ev_c,probability_error_component,magnitude_error_component,total_ev_error,error_class
A0_V1_DISJOINT,ALL_TD5_OOF,M,2025-12-03 14:45:00,5079,LONG,4,-30.531595861309015,30.531595861309015,0.535056074079976,1.5807355796206837,1.7651080443303147,0.8955460741897064,0.52755246291097,0.007503611169005997,0.02510590958642611,1.7902139539167408,28.7664878169787,30.55670177089544,SELECTED_LOSER
A0_V1_DISJOINT,ALL_TD5_OOF,M,2025-12-03 11:15:00,5073,LONG,4,-29.696490539085495,29.696490539085495,0.4568531074352257,1.8245551903047867,1.4607444420758697,1.2490584511222949,0.4446305072689389,0.012222600166286846,0.04015490383303799,1.5008993459089077,28.235746097009624,29.736645442918533,SELECTED_LOSER
A0_V1_DISJOINT,ALL_TD5_OOF,M,2025-12-03 09:30:00,5067,LONG,4,-29.505042285095918,29.505042285095918,0.3751690332213884,2.4936551086755703,1.47689966717696,1.6884390755142502,0.3719630506444405,0.0032059825769478745,0.012729529432200293,1.4896291966091604,28.02814261791896,29.517771814528118,SELECTED_LOSER
A0_V1_DISJOINT,ALL_TD5_OOF,M,2025-12-03 10:00:00,5069,LONG,4,-29.393539523872665,29.393539523872665,0.4222161330123063,1.9398250643781174,1.3493638534210972,1.4375848733905239,0.4102421256860953,0.011974007326211011,0.03938477219901981,1.3887486256201171,28.04417567045157,29.432924296071686,SELECTED_LOSER
A0_V1_DISJOINT,ALL_TD5_OOF,SC,2025-06-13 01:15:00,3791,SHORT,0,-28.89513669224153,28.89513669224153,0.5483448930967785,3.5967981508504088,4.100595606687981,0.8771404195488358,0.5327251971061102,0.015619695990668259,0.1202309504132173,4.220826557101198,24.794541085553547,29.015367642654745,SELECTED_LOSER
A0_V1_DISJOINT,ALL_TD5_OOF,SC,2025-06-13 01:30:00,3792,SHORT,0,-28.590932812979524,28.590932812979524,0.5178290887600078,3.9175673256676773,3.684220268475445,1.063336890898978,0.48465182996088857,0.0331772587991192,0.25220647434681975,3.9364267428222646,24.906712544504078,28.843139287326345,SELECTED_LOSER
A0_V1_DISJOINT,ALL_TD5_OOF,SC,2025-06-13 01:00:00,3790,SHORT,0,-28.585424334561587,28.585424334561587,0.5146687869571045,3.6826097043501393,3.853918241430611,0.9555495144554805,0.5113652160725004,0.00330357088460409,0.024897454292686527,3.878815695723297,24.731506093130974,28.610321788854275,SELECTED_LOSER
A0_V1_DISJOINT,ALL_TD5_OOF,RU,2025-08-04 14:30:00,3223,SHORT,1,-19.260650702306705,19.260650702306705,0.5409476077283588,1.047687983957194,0.9972819018239231,1.0505434642312104,0.4876755930530446,0.05327201467531423,0.10893966576590736,1.1062215675898304,18.263368800482784,19.36959036807261,SELECTED_LOSER
A0_V1_DISJOINT,ALL_TD5_OOF,RU,2025-08-04 14:45:00,3224,SHORT,1,-19.233917959332228,19.233917959332228,0.5409476077283588,1.047687983957194,0.9972819018239231,1.0505434642312104,0.4876755930530446,0.05327201467531423,0.10893966576590736,1.1062215675898304,18.236636057508306,19.342857625098134,SELECTED_LOSER
A0_V1_DISJOINT,ALL_TD5_OOF,RU,2025-08-04 15:00:00,3225,SHORT,1,-17.834850115083878,17.834850115083878,0.6482667288628389,1.3580891909140946,2.0579050743636498,0.6599377239662263,0.6024322392111299,0.045834489651709,0.15657035380217033,2.21447542816582,15.776945040720229,17.991420468886048,SELECTED_LOSER
