symbol,n_bars_15m,n_segments,segment_changes,cause_gap_time,cause_gap_px,cause_both,cause_unknown
AG,14817,1,0,0,0,0,0
AU,14817,1,0,0,0,0,0
CU,12441,1,0,0,0,0,0
AL,12441,1,0,0,0,0,0
SN,12441,1,0,0,0,0,0
NI,12441,1,0,0,0,0,0
RB,9273,1,0,0,0,0,0
I,9273,1,0,0,0,0,0
SC,14819,3,2,2,0,0,0
RU,9273,1,0,0,0,0,0
MA,9273,1,0,0,0,0,0
TA,9273,1,0,0,0,0,0
M,9273,1,0,0,0,0,0
P,9273,1,0,0,0,0,0
CF,9273,1,0,0,0,0,0
