architecture,MODEL,TRADE20_mean_return,TRADE20_ci_lo,TRADE20_ci_hi,coverage,delta_TRADE20_vs_p,paired_ci_lo,paired_ci_hi,status,Top20_Bottom20,Top20_Bottom20_ci_lo,Top20_Bottom20_ci_hi,positive_folds_4
A0_V1_DISJOINT,P,0.075981,-0.015201,0.167137,0.203425,0.0,0.0,0.0,REFERENCE,0.15366,-0.020858,0.328335,4
A0_V1_DISJOINT,EV_C,-0.036236,-0.166283,0.097827,0.138578,-0.112218,-0.267386,0.031046,META_NO_IMPROVEMENT_OVER_P,-0.018,-0.218799,0.185464,2
A0_V1_DISJOINT,MARGIN,-0.037782,-0.157138,0.07378,0.144441,-0.113764,-0.259898,0.007727,META_NO_IMPROVEMENT_OVER_P,-0.067823,-0.215738,0.066422,1
A0_V1_DISJOINT,EV_W,0.075981,-0.015201,0.167137,0.203425,0.0,0.0,0.0,META_NO_IMPROVEMENT_OVER_P,0.155824,-0.015968,0.330061,4
A0_V1_DISJOINT,POLY2_RIDGE,0.057566,-0.028079,0.148962,0.191263,-0.018416,-0.091523,0.051541,META_NO_IMPROVEMENT_OVER_P,0.128153,-0.039218,0.30462,2
A0_V1_DISJOINT,SPLINE_RIDGE,0.00277,-0.101091,0.109598,0.194746,-0.073211,-0.136188,-0.011155,META_NO_IMPROVEMENT_OVER_P,0.028848,-0.143775,0.217373,2
A0_V1_DISJOINT,PGM3,0.094454,0.016997,0.178676,0.177997,0.018473,-0.051756,0.086413,META_PROMISING_OVER_P,0.161904,0.0096,0.334893,3
A0_V1_DISJOINT,GMM_MOE3,0.079408,-0.027099,0.187383,0.18061,0.003427,-0.058959,0.063724,META_PROMISING_OVER_P,0.176162,-0.006576,0.356129,3
A1_SHARE_TO_WIN,P,0.065455,-0.031118,0.16933,0.2018,0.0,0.0,0.0,REFERENCE,0.162506,-0.01154,0.349957,3
A1_SHARE_TO_WIN,EV_C,-0.109802,-0.267545,0.036926,0.137939,-0.175257,-0.360041,-0.010813,META_NO_IMPROVEMENT_OVER_P,-0.174362,-0.394084,0.024022,1
A1_SHARE_TO_WIN,MARGIN,-0.122343,-0.221466,-0.029374,0.136952,-0.187798,-0.332938,-0.066262,META_NO_IMPROVEMENT_OVER_P,-0.147075,-0.334849,0.016616,0
A1_SHARE_TO_WIN,EV_W,0.065455,-0.031118,0.16933,0.2018,0.0,0.0,0.0,META_NO_IMPROVEMENT_OVER_P,0.160076,-0.014008,0.345925,3
A1_SHARE_TO_WIN,POLY2_RIDGE,0.056561,-0.044921,0.173366,0.172714,-0.008894,-0.07084,0.057094,META_NO_IMPROVEMENT_OVER_P,0.08387,-0.08435,0.262762,2
A1_SHARE_TO_WIN,SPLINE_RIDGE,0.020037,-0.077302,0.137621,0.187779,-0.045418,-0.122374,0.032615,META_NO_IMPROVEMENT_OVER_P,-0.027121,-0.23691,0.213789,2
A1_SHARE_TO_WIN,PGM3,0.083579,0.003265,0.172519,0.167489,0.018124,-0.068099,0.101213,META_PROMISING_OVER_P,0.151176,-0.006727,0.329576,4
A1_SHARE_TO_WIN,GMM_MOE3,0.058822,-0.04626,0.167597,0.186473,-0.006633,-0.060878,0.046881,META_NO_IMPROVEMENT_OVER_P,0.093691,-0.090837,0.281604,3
