symbol,n_trades,n_qualified,tau0,tau1,tau2,sel0,sel1,sel2,rand,first,delta10_mean,delta10_ci_low,delta10_ci_high,delta21_mean,delta21_ci_low,delta21_ci_high,regret_improve10,regret_improve21
AG,74,65,0.2713962564039176,0.21899581574666457,0.01365157108094283,1.083958579661903,1.3029756870407696,2.08525052941802,2.019489261883892,0.5911597162912885,-0.05240044065725307,-0.19934337902576194,0.09512911595984351,-0.2053442446657217,-0.32366987013010234,-0.09064840300867752,-0.21901710737886684,-0.7822748423772503
AU,73,60,0.2585159199571339,0.11396375496041168,0.23747645748883503,1.7722624950578207,1.6718770388156843,1.9321522278001162,2.2894107732799394,0.38909697202824456,-0.14455216499672224,-0.3373254481009998,0.05599908621769089,0.12351270252842342,-0.0017027272380442434,0.25378134412591025,0.10038545624213667,-0.26027518898443164
CU,38,33,0.1491557409366114,0.07650881370219398,0.00774951173944427,2.2967979707087154,2.427445135118035,2.9378670025576477,3.101238018178271,1.8881527619338763,-0.07264692723441743,-0.23859148413108608,0.07827852053100595,-0.0687593019627497,-0.18780286126788417,0.05717402249608735,-0.13064716440932017,-0.5104218674396128
AL,34,31,0.19908954990661012,0.23950615996776062,0.16157148170967364,2.398998132633663,2.2433720887607547,3.1282042239501218,2.811200177989386,1.1149234125575598,0.040416610061150486,-0.17296217534676328,0.2266696433720017,-0.07793467825808699,-0.20834540159032525,0.05178452080087286,0.1556260438729081,-0.8848321351893672
SN,44,39,0.24413281443059398,0.1393895059470409,0.1761550878582515,2.2720125225364787,2.0156135721597432,1.988443165168715,2.5389108433289542,0.9681037285933488,-0.10474330848355311,-0.2824634845293146,0.08093110928553475,0.0367655819112106,-0.14514556692421998,0.20490269653222254,0.2563989503767357,0.027170406991027803
NI,35,32,0.11950927522947018,0.22400473899257406,0.1210546324177868,2.4310476617899726,2.0041952231772098,1.9313039566716705,2.7393569373709585,0.9815360223910188,0.1044954637631039,-0.07855895211110722,0.2982944333279453,-0.10295010657478727,-0.3277101180611559,0.12147526655199871,0.42685243861276256,0.07289126650553933
RB,27,23,0.0939615481183584,0.23811486255237058,0.13238469953061777,2.4513744883030784,2.4417043669254612,2.650862354578573,3.291979560624832,1.509334951176936,0.14415331443401216,-0.06982047473818054,0.376083764761971,-0.10573016302175282,-0.24115795425664763,0.008832133601150552,0.009670121377616614,-0.20915798765311097
I,30,25,0.3205394149422969,0.1962023444864521,0.10397663827706433,1.4510986883660422,2.067490128762279,1.9704658586064385,2.3977157258711475,1.1064573596616138,-0.1243370704558448,-0.32811539298096704,0.09579948598997756,-0.09222570620938779,-0.24475358729255695,0.050893720767848594,-0.6163914403962368,0.09702427015584018
SC,76,70,0.26966354856593205,0.24374192072523887,0.05726573893190885,1.9629997528014818,1.7032430561320375,1.7612221009542899,2.658131900575457,0.8878313692546326,-0.02592162784069311,-0.1700711165831101,0.12316264091917192,-0.18647618179333006,-0.3155254839087718,-0.067904537522966,0.25975669666944395,-0.05797904482225249
RU,47,40,0.039177872345685906,0.17420972314075786,0.024052385790911002,1.5260318948986655,1.5811405854989138,2.1091634660398064,2.061958949675922,0.6514598778303556,0.135031850795072,-0.06811544139067824,0.3605727930082426,-0.15015733734984688,-0.30572623695025203,-0.009111819970741774,-0.05510869060024822,-0.5280228805408929
MA,30,27,0.20688047395990772,0.07837338149853247,0.008283814138473167,1.0219956033242854,1.9375808949446198,2.773311497454788,3.1753832201076184,1.008451459413159,-0.12850709246137526,-0.28859755180904156,0.025120385578589723,-0.07008956736005933,-0.2921323564850729,0.16903185494197445,-0.9155852916203346,-0.8357306025101686
TA,31,29,0.29291860906897127,0.19454446435154865,0.0763701173343276,2.4631371580877586,2.120665485094659,2.5920875975588475,2.7078015909736406,0.5682230904951561,-0.09837414471742265,-0.388823460148709,0.21491022946814314,-0.11817434701722107,-0.34325896681892704,0.14838681063684223,0.3424716729930996,-0.4714221124641877
M,31,26,0.18217463981662455,0.1592349797993548,0.12444068893106583,1.633248707761361,1.9965437387501055,2.491147782278008,2.371351621372451,0.6345126594380773,-0.022939660017269745,-0.24368762272666736,0.24012393463828052,-0.03479429086828896,-0.28595116828286377,0.18918637511752306,-0.36329503098874427,-0.4946040435279025
P,27,23,0.2124297126297098,0.1525342835946743,-0.026927751197506556,2.379318234361603,2.3752150994912222,3.469371675256173,3.0801590326315305,0.21641896112461992,-0.05989542903503552,-0.29257596339301073,0.1513509424823791,-0.17946203479218087,-0.41312902217319075,0.03518446715271045,0.004103134870381121,-1.0941565757649505
CF,41,33,0.29936511109311836,0.3128438143992045,0.28413067856655,1.3306825924531616,1.2120623898730487,1.8933443130144851,2.5391398552359052,0.7182800316080074,0.013478703306086205,-0.21273235909768676,0.2602784916073724,-0.028713135832654516,-0.22931973413041437,0.1490707647264612,0.11862020258011285,-0.6812819231414364
