held_out_symbol,router_best_iteration,n_trades,A_return,A_long_return,A_short_return,M9_return,M9_long_return,M9_short_return,E9_return,E9_long_return,E9_short_return,M33_return,M33_long_return,M33_short_return,E33_return,E33_long_return,E33_short_return,E9_minus_A_mean,E9_minus_M9_mean,E33_minus_E9_mean,E33_minus_M33_mean
AG,20,74,1.1267981213203577,1.8877318146492659,0.4800044819907862,1.0855626622244947,1.7863281968800269,0.4899119577672926,1.2935305895307065,1.8213294258628563,0.8449015786483794,1.5029128431990277,1.7864587365128295,1.261898833882296,1.6818778948603637,2.0110472783319286,1.4020839189095338,-0.16673246821034876,-0.2079679273062117,-0.3883473053296571,-0.17896505166133603
AU,15,73,0.06898087708479962,0.6014632485802891,-0.42146341245051966,-0.056402150109853735,-0.06335626500125183,-0.0499970442888291,0.24479820051225737,-0.4369996351429072,0.8727698912472773,0.5670531193279822,0.2177442278452267,0.8887849930620989,0.3414160888607174,-0.12342358119616453,0.769557890228898,-0.1758173234274577,-0.301200350622111,-0.09661788834846008,0.22563703046726488
CU,27,38,0.9579936818240189,1.4388461579837366,0.363999446567897,0.6173185433219536,1.1595957476604701,-0.052553297331507855,0.5418855938656083,1.0822215729108644,-0.1255882626020611,0.9723411863376173,1.2584603232539133,0.6188998995586639,0.9779861520873471,2.043660280495711,-0.3384348300641613,0.41610808795841064,0.07543294945634538,-0.43610055822173915,-0.0056449657497298885
AL,23,34,0.776120932806352,1.7253440111045506,-0.17310214549184688,0.8199624373396738,1.7253440111045506,-0.08541913642520302,0.5384967272789266,0.9012710617262264,0.1757223928316266,0.6277428244507399,1.4592072874447557,-0.20372163854327557,1.0475431094886596,1.1340438207017232,0.9610423982755959,0.23762420552742536,0.28146571006074733,-0.5090463822097329,-0.41980028503791944
SN,17,44,-0.02789944276496897,1.3244218217188466,-1.1548338298348158,-0.044948184987063856,1.2454600597514036,-1.1202883889357873,0.20846110023749534,0.98989576429996,-0.44273445314789206,0.08331594390384459,1.1146518146635958,-0.7761306150626149,0.7996804978778819,0.678871159226839,0.9003549467537507,-0.23636054300246434,-0.25340928522455924,-0.5912193976403866,-0.7163645539740371
NI,20,35,0.2592574291766794,1.1016839230482984,-0.3725624412270352,0.20498979832819034,0.852957374649078,-0.2809858839124755,0.4129268986464707,0.486936973430127,0.35741934255872837,0.8228494530284566,1.034132042221775,0.6643875111334676,0.5958157267255292,-0.30275184447468384,1.269741405125689,-0.15366946946979138,-0.2079371003182803,-0.1828888280790585,0.22703372630292742
RB,20,27,0.1420198800180676,1.0199642302485388,-0.6732141594816559,0.601726288009368,1.404648753201959,-0.14384457252660923,0.0030525508216005586,-0.02330324917871611,0.027525793679037562,0.4524267669626733,0.9881036438043048,-0.044987475818841674,0.38359288438443595,0.5470122355370108,0.23184634402847365,0.13896732919646695,0.5986737371877674,-0.3805403335628354,0.06883388257823736
I,19,30,-0.49130661193651265,1.092483992441,-1.8771233907668363,-0.4957064103783487,1.0811261552881422,-1.8754349053365282,-0.22961051334718488,0.6900040486847777,-1.0342732551251523,-0.5696672191774378,0.5534959953712782,-1.5524350319075646,0.32909657753956784,0.17298700401098902,0.4656924543770743,-0.26169609858932774,-0.2660958970311638,-0.5587070908867525,-0.8987637967170058
SC,19,76,-0.19173109713792855,0.3604552793273118,-0.8738436798302843,-0.19173109713792855,0.3604552793273118,-0.8738436798302843,0.6331187545480104,1.5743874872903194,-0.5296249741336654,0.04728042333731439,0.23583816404137156,-0.18564384459122682,0.4246499511651896,1.2118190447227792,-0.5477353997000682,-0.824849851685939,-0.824849851685939,0.20846880338282087,-0.37736952782787514
RU,24,47,1.0632851958971015,2.3521236573616195,-0.6766467270799986,1.068749207647795,2.4547308545873645,-0.802326015720624,0.8631500950139497,1.770173362154917,-0.3613313156263566,1.040136725009598,2.349289478763334,-0.7272194925579459,0.34166951442424326,0.9581585147601387,-0.49059063602921543,0.2001351008831517,0.2055991126338454,0.5214805805897064,0.6984672105853547
MA,22,30,2.1329338964970446,5.018862244531936,0.46213327395052856,2.0951738190317912,4.593631714369456,0.6486981954152482,2.0682329611142984,3.7340953008007762,1.1037863434010746,2.121593134001282,4.67375013706222,0.644028553281791,1.4264698818006316,2.8441087373683915,0.6057315969982446,0.06470093538274636,0.026940857917492848,0.6417630793136665,0.6951232522006501
TA,28,31,0.9329702526808537,1.1303584307295558,0.7224228627622379,0.8271763919682169,1.06646452861915,0.5719357128738879,0.8896847621879315,1.195220199349626,0.5637802958821235,0.7889009158390862,0.7564042168883873,0.8235640613864984,0.2654131268871455,0.40258566464428774,0.11909575327952698,0.04328549049292218,-0.06250837021971455,0.6242716353007859,0.5234877889519405
M,22,31,1.920828437961272,3.159137183450177,0.2062470980535573,1.7478815021772585,2.854957592941626,0.21500691496505642,1.044733649903845,2.6581145418884677,-1.1891783543825551,1.6373416254113011,2.681541597665257,0.1915262792135169,1.4199430376482889,2.7496338734999917,-0.4211673504540697,0.8760947880574265,0.703147852273413,-0.3752093877444434,0.21739858776301266
P,18,27,1.1604453224681954,2.4388193395169826,-0.43752219884278915,0.8637439508260626,2.1794839877380756,-0.7809310953139544,1.0889480151917463,2.1613517184372486,-0.25155661386513145,1.237872545636235,2.3838164748295165,-0.19455736585536712,0.8891174639229876,1.8684675714179049,-0.3350701704456589,0.07149730727644897,-0.22520406436568394,0.1998305512687587,0.34875508171324754
CF,16,41,0.11701168408717456,1.1698811928459114,-0.988501300109499,0.19252990043925455,0.795541378508693,-0.44063215153365576,0.12308008057312864,0.597515984955025,-0.3750776190278626,0.30791769645914524,0.8033502601250501,-0.2122864953900549,0.027652135150871376,0.9693367828752854,-0.9611167449597634,-0.006068396485954036,0.06944981986612597,0.09542794542225724,0.28026556130827385
