symbol,delta_combo_point,delta_renew_point,delta_full_point,n_inference_days
AG,1.1539482025974568,-1.204773334812323,-0.05082513221486649,80
AL,-0.0023544857625274916,0.9873609334891604,0.9850064477266327,80
AU,0.18723660409690304,-0.415457096070403,-0.22822049197350003,80
CF,0.5775053962615692,-0.6376111490737839,-0.060105752812215085,80
CU,-0.45667337340397196,0.5532974190747085,0.09662404567073643,80
I,0.0489512853780123,-0.11657737385644422,-0.06762608847843204,80
M,-0.2914713863835027,0.7237635386705813,0.4322921522870787,80
MA,0.902393795051388,-0.6914841732170529,0.21090962183433523,80
NI,0.6328123308559845,-0.47076089577831837,0.16205143507766598,80
P,0.884507128987574,-0.4458056463384824,0.4387014826490918,80
RB,-0.19337611085662068,0.37355943234361344,0.1801833214869928,80
RU,-0.7423465005774039,-0.5320985456122518,-1.274445046189656,80
SC,-1.0627223150594092,0.4857326432142802,-0.5769896718451293,80
SN,-1.0984832795880042,1.0738304263005343,-0.0246528532874698,80
TA,0.11575365291323196,-0.1519883107796109,-0.03623465786637896,80
LOSO:AG,-0.03559051843476983,0.05255437159760934,0.016963853162839472,0
LOSO:AL,0.047002530733800514,-0.10402664756678237,-0.05702411683298188,0
LOSO:AU,0.033460310029555476,-0.003825359741099299,0.029634950288456176,0
LOSO:CF,0.005583967732079298,0.01204278690199934,0.017626754634078663,0
LOSO:CU,0.07945387985104652,-0.07302211082289294,0.006431769028153572,0
LOSO:I,0.043337832795190497,-0.0251739113278106,0.018163921467379884,0
LOSO:M,0.06765373792101295,-0.0851982622225981,-0.01754452430158517,0
LOSO:MA,-0.017622346467193482,0.015890860055089995,-0.0017314864121034778,0
LOSO:NI,0.0016334724039068105,0.00012491166660894004,0.0017583840705157616,0
LOSO:P,-0.016344727462635343,-0.0016576061505221896,-0.018002333613157562,0
LOSO:RB,0.06064693252623571,-0.0601836831992433,0.0004632493269924043,0
LOSO:RU,0.09985910322057737,0.004506172369032818,0.10436527558961015,0
LOSO:SC,0.12274308996929202,-0.06819605540429094,0.05454703456500111,0
LOSO:SN,0.1252974445784774,-0.11020303991045197,0.015094404668025436,0
LOSO:TA,0.03856623511410335,-0.022644558690441567,0.015921676423661837,0
