held_out_symbol,n_test_trades,n_test_rows,A_return,B_return,C_return,B_minus_A,C_minus_B,C_minus_A,A_long_return,A_short_return,A_long_recall,A_short_recall,B_long_return,B_short_return,B_long_recall,B_short_recall,C_long_return,C_short_return,C_long_recall,C_short_recall
AG,74,1048,1.1267981213203577,1.1306289114803787,1.0848985786340868,0.003830790160020963,-0.045730332846291855,-0.04189954268627094,1.8877318146492659,0.4800044819907862,0.7230769230769231,0.6239460370994941,1.399389051305224,0.9021827926292602,0.6681318681318681,0.6661045531197302,1.863595238180586,0.42300641801956235,0.7186813186813187,0.6104553119730185
AU,73,965,0.06898087708479962,0.6309371349952363,0.3409104395861843,0.5619562579104367,-0.29002669540905196,0.27192956250138467,0.6014632485802891,-0.42146341245051966,0.6923076923076923,0.45315487571701724,-0.14523199595180827,1.3458297556043564,0.6493212669683258,0.6252390057361377,0.6247184344975379,0.07950833900993748,0.6923076923076923,0.47609942638623326
CU,38,1202,0.9579936818240189,0.602666785007984,0.8273575491110821,-0.35532689681603485,0.22469076410309824,-0.1306361327129367,1.4388461579837366,0.363999446567897,0.7180851063829787,0.5733333333333334,0.6638586707184956,0.5270768085420581,0.625,0.6444444444444445,1.4476711539008427,0.06108780201784872,0.7180851063829787,0.5888888888888889
AL,34,1074,0.776120932806352,0.5972412450764276,0.6600940678760129,-0.1788796877299244,0.06285282279958541,-0.116026864930339,1.7253440111045506,-0.17310214549184688,0.8107569721115537,0.4597902097902098,0.8816635850424095,0.3128189051104458,0.6972111553784861,0.6066433566433567,1.5843088330792976,-0.2641206973272717,0.798804780876494,0.46503496503496505
SN,44,1045,-0.02789944276496897,0.07447790093126598,-0.05967464209583366,0.10237734369623502,-0.13415254302709972,-0.03177519933086467,1.3244218217188466,-1.1548338298348158,0.836405529953917,0.4026186579378069,0.8849632564757863,-0.6009265620225013,0.7603686635944701,0.5090016366612111,1.2869769895288654,-1.1818843351164166,0.8317972350230415,0.3993453355155483
NI,35,973,0.2592574291766794,0.553205358249866,0.12856457842097901,0.2939479290731869,-0.42464077982888715,-0.1306928507557003,1.1016839230482984,-0.3725624412270352,0.7988929889298892,0.4918793503480278,-0.7832916945625343,1.5555781478591664,0.5608856088560885,0.6774941995359629,0.9866749266375234,-0.5150181827414295,0.7841328413284133,0.48491879350348027
RB,27,903,0.1420198800180676,0.718873000113727,0.29554820528037534,0.5768531200956594,-0.4233247948333516,0.15352832526230775,1.0199642302485388,-0.6732141594816559,0.7267206477732794,0.4743276283618582,-0.17615287859596584,1.5499684589155847,0.5263157894736842,0.7799511002444988,0.8361271652720987,-0.20641797185479646,0.7064777327935222,0.5207823960880196
I,30,819,-0.49130661193651265,0.5193747263355113,-0.3420307664681817,1.010681338272024,-0.861405492803693,0.14927584546833086,1.092483992441,-1.8771233907668363,0.8169014084507042,0.37009345794392523,-0.10929191891022039,1.0694580409255265,0.5915492957746479,0.6710280373831776,1.1119932287140144,-1.6143017622526035,0.8133802816901409,0.3850467289719626
SC,76,1082,-0.19173109713792855,0.44751595173135295,-0.1548889236153866,0.6392470488692815,-0.6024048753467397,0.036842173522541904,0.3604552793273118,-0.8738436798302843,0.6352313167259787,0.5884615384615385,0.28370974257130477,0.6498647983408242,0.5925266903914591,0.7326923076923076,0.4513903629386086,-0.9038221599467927,0.6512455516014235,0.5807692307692308
RU,47,834,1.0632851958971015,0.9999098950228412,1.0694182288456178,-0.06337530087426,0.06950833382277645,0.006133032948516445,2.3521236573616195,-0.6766467270799986,0.8258706467661692,0.4583333333333333,1.9959595949579736,-0.3447571998895878,0.7711442786069652,0.5949074074074074,2.36273763177618,-0.6765629651106414,0.8258706467661692,0.4699074074074074
MA,30,709,2.1329338964970446,1.8808153657255362,2.252401746596409,-0.25211853077150814,0.3715863808708718,0.11946785009936368,5.018862244531936,0.46213327395052856,0.8070739549839229,0.5603015075376885,3.9969454375894458,0.6556874293832734,0.6977491961414791,0.6432160804020101,5.023436237059755,0.6481186205386817,0.8231511254019293,0.5653266331658291
TA,31,796,0.9329702526808537,1.47932391138292,0.8870671724382967,0.5463536587020666,-0.5922567389446238,-0.045903080242557105,1.1303584307295558,0.7224228627622379,0.734065934065934,0.5777126099706745,0.3578448897915746,2.675568201080355,0.6307692307692307,0.8005865102639296,1.1406691630465877,0.6165583824561193,0.734065934065934,0.5718475073313783
M,31,711,1.920828437961272,0.8363023598608871,1.9315221331425263,-1.0845260781003847,1.0952197732816393,0.010693695181254211,3.159137183450177,0.2062470980535573,0.7645631067961165,0.5919732441471572,1.062068376654924,0.5237032596845286,0.6286407766990292,0.6722408026755853,3.261755294425585,0.08966083290444399,0.7815533980582524,0.5585284280936454
P,27,813,1.1604453224681954,0.45486687812445015,1.0044194375599824,-0.7055784443437452,0.5495525594355323,-0.156025884908213,2.4388193395169826,-0.43752219884278915,0.8181818181818182,0.5929824561403508,1.104100571758701,-0.3566752389183632,0.6477272727272727,0.6807017543859649,2.445571985418373,-0.7970212472630059,0.8200757575757576,0.5964912280701754
CF,41,799,0.11701168408717456,0.31957794290604397,0.17527503136900677,0.2025662588188694,-0.1443029115370372,0.05826334728183222,1.1698811928459114,-0.988501300109499,0.7577319587628866,0.4768856447688564,0.26739047906686414,0.3743747799371828,0.595360824742268,0.6861313868613139,1.2001113242826662,-0.9008030761903354,0.770618556701031,0.48418491484184917
