architecture,population,ev_positive_fraction,captured_profit,admitted_loss,selected_net,missed_profit,avoided_loss,selected_weight,selected_actual_mean_return
A0_V1_DISJOINT,ALL_TD5_OOF,0.49269178065725894,17393.67503556518,17058.371097311545,335.30393825363353,16909.224469785182,17244.528408038816,20494.5,0.016360679121404913
A0_V1_DISJOINT,ROOT_CANDIDATE_TD5,0.4844665198444309,7156.879197490394,7037.182737038378,119.69646045201625,7024.776000082855,7144.472460534873,10339.0,0.011577179654900658
A1_SHARE_TO_WIN,ALL_TD5_OOF,0.481332788422242,16925.27567548403,16938.11471671763,-12.839041233601165,17377.623829866327,17364.78478863273,20022.0,-0.0006412466903205436
A1_SHARE_TO_WIN,ROOT_CANDIDATE_TD5,0.4670587132749168,6800.345200841194,6912.381864381418,-112.03666354022425,7381.309996732056,7269.273333191832,9967.5,-0.011240196994253784
