direction,value_arch,gate,matched20_mean,matched20_ci_lo,matched20_ci_hi,matchedN_mean,matchedN_ci_lo,matchedN_ci_hi
A9,A0,P,0.169797,0.010183,0.338475,0.066319,-0.084124,0.220457
A9,A0,PGM3,0.072444,-0.073491,0.211403,0.066319,-0.084124,0.220457
A9,A0,EV_C,0.097666,-0.060566,0.260692,0.066319,-0.084124,0.220457
A9,A1,P,0.138671,-0.014168,0.288264,0.126504,-0.014326,0.268201
A9,A1,PGM3,0.126665,-0.013533,0.264072,0.126504,-0.014326,0.268201
A9,A1,EV_C,-0.007554,-0.172195,0.163842,0.126504,-0.014326,0.268201
E9,A0,P,0.151219,-0.012622,0.338055,0.132502,-0.15477,0.440859
E9,A0,PGM3,0.115125,-0.171579,0.421836,0.132502,-0.15477,0.440859
E9,A0,EV_C,0.134662,-0.053809,0.344613,0.132502,-0.15477,0.440859
E9,A1,P,0.121925,-0.026023,0.283072,0.229099,-0.005581,0.500173
E9,A1,PGM3,0.2186,-0.002915,0.4767,0.229099,-0.005581,0.500173
E9,A1,EV_C,0.025051,-0.139474,0.200754,0.229099,-0.005581,0.500173
