symbol,direction_system,evaluation_horizon,n_rows,n_gids,delta_ev_gross,baseline_gross_mean,tp_gross_mean,tp_eligible_rate,tp_signal_rate,tp_executable_rate,saved_giveback,lost_continuation,raw_n_rows,raw_delta_ev_gross,raw_baseline_gross_mean,raw_tp_gross_mean
AG,A9,td1,1048,74,0.12397739683450482,0.06026638588551215,0.18424378272001693,0.8553057936698722,0.1486820235984564,0.14633317279070146,0.2205357245844532,0.0965583277499484,1048,0.16987551801240688,0.046044685543118705,0.21592020355552563
AG,A9,td3,1048,74,0.4234580996160533,-0.615370989681768,-0.19191289006571507,0.8553057936698722,0.26148519235031287,0.26148519235031287,0.8383705894490288,0.4149124898329754,1048,0.5381061740965825,-0.39497772901567807,0.14312844508090433
AG,A9,td5,1048,74,0.1171222114296977,-0.5264975928835168,-0.409375381453819,0.8553057936698722,0.3130323878050713,0.3130323878050713,1.2046234975199932,1.0875012860902955,1048,0.3530131190368993,-0.6717070174513713,-0.318693898414472
AG,E9,td1,1048,74,0.12899189785876794,0.04372644667772608,0.17271834453649404,0.8530374539015324,0.15683105506451328,0.15448220425675838,0.22297119022391487,0.09397929236514693,1048,0.10738979920944805,-0.003317183568484065,0.10407261564096401
AG,E9,td3,1048,74,0.33550432118936724,0.3536993430430824,0.6892036642324495,0.8530374539015324,0.2665749961045002,0.2665749961045002,0.8170266164832893,0.4815222952939222,1048,0.4646245047833264,0.0048834106201451405,0.4695079154034714
AG,E9,td5,1048,74,-0.029066551813540946,0.7308720174779213,0.7018054656643804,0.8530374539015324,0.31553872574049874,0.31553872574049874,1.1805001562057762,1.2095667080193169,1048,0.03873230789903236,0.4193764697222058,0.45810877762123803
AL,A9,td1,1074,34,-0.12258174437640897,0.136820165704999,0.014238421328589997,0.8845567613655909,0.29134496771600454,0.2829250424311947,0.15052266210488938,0.2731044064812983,1074,-0.010912198128490069,0.12085588705076819,0.10994368892227814
AL,A9,td3,1074,34,-0.05478981393600231,-0.9920648751126857,-1.046854689048688,0.8845567613655909,0.468162153305345,0.468162153305345,1.0121814016701887,1.0669712156061912,1074,0.0267496797737628,0.17929051170483165,0.20604019147859454
AL,A9,td5,1074,34,-0.6948452203864677,0.9001784148585147,0.20533319447204684,0.8845567613655909,0.4741555945177069,0.4741555945177069,0.9919164897107102,1.686761710097178,1074,-0.5080664949585219,1.4709292941549759,0.962862799196454
AL,E9,td1,1074,34,-0.1403069805855762,0.15515595495898407,0.01484897437340786,0.8834661337269756,0.29678778654577,0.2884575312753073,0.1396368848478802,0.27994386543345634,1074,-0.017835683815813352,0.053223166472569444,0.03538748265675613
AL,E9,td3,1074,34,0.4034817044129413,-1.7588857417854307,-1.3554040373724894,0.8834661337269756,0.4215048577621968,0.4215048577621968,1.1449155493137633,0.7414338449008219,1074,0.30072317249358227,-0.2463518337872657,0.054371338706316476
AL,E9,td5,1074,34,-0.16425519176344264,-0.09204690185862674,-0.2563020936220691,0.8834661337269756,0.4277714476336471,0.4277714476336471,1.0745358773627682,1.2387910691262105,1074,-0.4496115021567805,1.1935688366106803,0.7439573344538997
AU,A9,td1,965,73,0.09987478212789978,-0.37049355238393433,-0.2706187702560345,0.8463422385979992,0.20607731477065583,0.2030365199490391,0.3043132910296206,0.20443850890172083,965,0.10398807660482935,-0.3330983769277227,-0.2291103003228934
AU,A9,td3,965,73,0.10158619999866571,0.13023308046645793,0.2318192804651236,0.8463422385979992,0.327350632218795,0.327350632218795,0.9793649432238394,0.8777787432251738,965,-0.09876664782124216,-0.42189133415844854,-0.5206579819796907
AU,A9,td5,965,73,0.8408673155457338,-1.3426489814141833,-0.5017816658684491,0.8463422385979992,0.36450991673015565,0.36450991673015565,2.2391484621667974,1.3982811466210634,965,-0.01055476358419341,-0.20648774342391985,-0.2170425070081133
AU,E9,td1,965,73,0.10976510882954083,-0.6457744686561746,-0.5360093598266337,0.8349878680826697,0.1805186803783383,0.176634892932907,0.29652320430929735,0.18675809547975653,965,0.04074514319944937,-0.20296357740986304,-0.1622184342104138
AU,E9,td3,965,73,0.17299304335386792,-0.8087138964206355,-0.6357208530667674,0.8349878680826697,0.30179244902822605,0.30179244902822605,0.976098493113719,0.8031054497598511,965,-0.17206978581446583,0.095001322152648,-0.07706846366181766
AU,E9,td5,965,73,0.5938131560081163,-1.3630231694168324,-0.7692100134087158,0.8349878680826697,0.33800248557310497,0.33800248557310497,2.117944804404781,1.524131648396665,965,-0.11569963128858411,0.5799071464795269,0.46420751519094255
CF,A9,td1,799,41,-0.22533473081587704,0.2261119253852028,0.0007771945693256706,0.8444822270214183,0.23749185225450134,0.23327512001001469,0.14714213548449745,0.3724768663003745,799,-0.0845112478940386,0.13513259164538094,0.0506213437513423
CF,A9,td3,799,41,-0.004663477866990306,-1.4026014052634024,-1.4072648831303929,0.8444822270214183,0.3446397953879446,0.3446397953879446,0.8611880848300837,0.865851562697074,799,0.17036976031288423,-0.8086106899059052,-0.6382409295930211
CF,A9,td5,799,41,0.2818181376604357,-2.4326287021337785,-2.1508105644733426,0.8444822270214183,0.35572484580226327,0.35572484580226327,1.0039024647196828,0.7220843270592472,799,0.183109284854503,-1.2934741468995474,-1.1103648620450444
CF,E9,td1,799,41,-0.23795025613873408,0.33036634852448643,0.09241609238575238,0.821794905553609,0.2549739437124668,0.25060946068944717,0.15606261102694388,0.39401286716567796,799,-0.007695198748803984,-0.026017934175119606,-0.03371313292392359
CF,E9,td3,799,41,-0.05179258156167599,-0.4936343969095324,-0.5454269784712084,0.821794905553609,0.36313724151980126,0.36313724151980126,0.8420263092403898,0.8938188908020657,799,0.38594906734566875,-1.1930665422253846,-0.8071174748797156
CF,E9,td5,799,41,0.3770193695216055,-1.8432929615277172,-1.4662735920061114,0.821794905553609,0.37674078328444704,0.37674078328444704,1.0477199301289153,0.6707005606073098,799,0.4939201718144265,-1.71493304601343,-1.2210128741990034
CU,A9,td1,1202,38,-0.04371293263139086,0.24709368065541923,0.2033807480240282,0.8472206507750881,0.20826142249744137,0.20682508311096348,0.11138353707789318,0.15509646970928403,1202,-0.09994185761067793,-0.0978394744496868,-0.1977813320603647
CU,A9,td3,1202,38,0.18232481391302424,-0.8284833741004403,-0.646158560187416,0.8472206507750881,0.298367616475218,0.298367616475218,0.6614733783483672,0.4791485644353428,1202,-0.3658307165907075,0.25076515659145937,-0.1150655599992479
CU,A9,td5,1202,38,0.05251404674314592,-0.774492248323867,-0.721978201580721,0.8472206507750881,0.31222523745572917,0.31222523745572917,0.7025474816799049,0.6500334349367589,1202,-0.5170647344670676,0.36430439448847857,-0.15276033997858912
CU,E9,td1,1202,38,-0.07049239459373177,0.2948894487768061,0.22439705418307443,0.8594441793026494,0.23158294435159854,0.22159397338617326,0.12669928666286862,0.1971916812566004,1202,-0.08155233357684138,-0.11604885758145349,-0.1976011911582949
CU,E9,td3,1202,38,0.20819940754217714,-0.7087354776083131,-0.500536070066136,0.8594441793026494,0.3471626500366007,0.3471626500366007,0.7820042306035916,0.5738048230614146,1202,-0.18878323099391384,-0.0940500649003998,-0.28283329589431366
CU,E9,td5,1202,38,0.24774761310406815,-0.9567100869530752,-0.7089624738490072,0.8594441793026494,0.3610202710171119,0.3610202710171119,1.0109252279540846,0.7631776148500165,1202,-0.3048069582244602,-0.02296254587382154,-0.32776950409828176
