scope,group,n_rows,eq_p10,eq_p50,eq_p90,rf_p10,rf_p50,rf_p90,mf_p10,mf_p50,mf_p90
OVERALL,ALL,13773,1.4853534168141522,5.992368416264443,13.425484202038943,0.21569970453935,0.5989847715736041,0.9253731343283582,0.07462686567164178,0.4010152284263959,0.78430029546065
TEACHER_SIDE,LONG,6963,1.4536810339448234,5.655615439505832,13.193678766577252,0.224748714530109,0.6153252657380426,0.9365284974093264,0.06347150259067358,0.3846747342619574,0.7752512854698912
TEACHER_SIDE,SHORT,6810,1.507281180713746,6.380510678719845,13.703004447101653,0.20193439625121437,0.5839254658385093,0.9079457024552983,0.09205429754470201,0.4160745341614907,0.7980656037487858
SYMBOL,AG,1048,1.2682720881937872,5.553459579667694,21.022725321528743,0.2121703178273308,0.6603670002650277,0.9569830872483223,0.04301691275167784,0.3396329997349723,0.7878296821726692
SYMBOL,AU,965,1.4198304732245475,6.544487624754518,17.599823279522234,0.22836450845003578,0.6825044243996206,0.9249321930287905,0.07506780697120952,0.31749557560037944,0.7716354915499642
SYMBOL,CU,1202,2.394333452710077,6.603149035333317,15.89074849407496,0.28169572993516656,0.6511627906976745,0.9592319656347209,0.04076803436527919,0.34883720930232553,0.7183042700648334
SYMBOL,AL,1074,1.8565067592640676,6.614865741844072,11.760457898978697,0.26406250000000003,0.5044843951093951,0.8584070796460177,0.1415929203539823,0.4955156048906049,0.7359375
SYMBOL,SN,1045,1.792668019822939,5.840297346409427,10.820823099970779,0.23765691295198038,0.545071589781218,0.8840384778421179,0.1159615221578822,0.45492841021878205,0.7623430870480197
SYMBOL,NI,973,1.1815682838390151,5.444633152467596,13.280532491404363,0.19258960934353606,0.5621761658031088,0.9518289712590232,0.048171028740976896,0.4378238341968912,0.807410390656464
SYMBOL,RB,903,1.8023166798910466,4.882609266129199,12.11877881199816,0.20117647058823532,0.6097560975609756,0.9694527363184082,0.030547263681592027,0.3902439024390244,0.7988235294117652
SYMBOL,I,819,1.4526491678960523,7.378518124332234,11.089327394735024,0.16363636363636364,0.6515151515151515,0.8804705882352942,0.11952941176470591,0.3484848484848485,0.8363636363636364
SYMBOL,SC,1082,1.231940241359513,4.885847537577144,11.759796804641786,0.17376471897052528,0.5947168846024143,0.9434764364899605,0.05652356351003946,0.40528311539758566,0.8262352810294747
SYMBOL,RU,834,1.0498543491575933,4.605811536235429,12.451720898387933,0.16412058121882456,0.6313258739213106,0.9663217956776012,0.03367820432239878,0.3686741260786895,0.8358794187811756
SYMBOL,MA,709,1.383901249145617,6.298909401829333,13.029397229174627,0.19834196891191708,0.6108108108108108,0.9644269254093394,0.03557307459066097,0.3891891891891892,0.8016580310880833
SYMBOL,TA,796,1.8863560421542385,6.748072910422113,13.602631616840554,0.25701992753623193,0.640010164077247,0.8850379746835443,0.11496202531645572,0.359989835922753,0.7429800724637681
SYMBOL,M,711,1.46136852155354,6.752972287326069,12.8741531928336,0.23809523809523808,0.5094339622641509,0.8736842105263158,0.12631578947368416,0.49056603773584906,0.7619047619047619
SYMBOL,P,813,2.0642630417730636,6.7248530013362435,13.208874915855743,0.25724670604270783,0.5583805916878173,0.8939241256668644,0.1060758743331357,0.4416194083121827,0.7427532939572922
SYMBOL,CF,799,1.0773748970324066,6.855889441194574,10.44506069694311,0.1397101449275363,0.5624992370615817,0.9130434782608695,0.08695652173913049,0.43750076293841833,0.8602898550724641
PHASE,BEFORE_ENTRY,1599,1.6293378402591805,6.2270321222540685,11.811547377964516,0.3662835089087449,0.7433628318584071,1.2449129852744314,-0.24491298527443092,0.2566371681415929,0.6337164910912552
PHASE,AT_ENTRY,252,2.262669815100189,6.2502929431773975,14.129869419872199,1.0,1.0,1.0,0.0,0.0,0.0
PHASE,IN_POSITION,11922,1.4553411999003811,5.950191347939728,13.603735768673827,0.20315882034632038,0.5714284015717868,0.8846153846153846,0.11538461538461542,0.4285715984282133,0.7968411796536795
