state_var,bin,horizon_min,n,mean,median,win_rate
prev_ret_15m,1,5,5089,2.707552142450433e-05,0.0,0.48516407938691297
prev_ret_15m,2,5,5086,4.431974872536832e-06,0.0,0.4734565473849784
prev_ret_15m,3,5,5090,-6.425179108451141e-05,0.0,0.4550098231827112
prev_ret_15m,4,5,5089,-0.00012169914102390061,0.0,0.45215169974454705
prev_ret_15m,5,5,5106,-0.0001691067105512305,0.0,0.44398746572659614
prev_ret_15m,1,15,5089,-4.6974603524853595e-05,0.0,0.499705246610336
prev_ret_15m,2,15,5086,4.986337630996383e-05,0.0,0.4903657097915847
prev_ret_15m,3,15,5090,-7.288073063136106e-05,0.0,0.4642436149312377
prev_ret_15m,4,15,5089,-0.00014620403305962387,-8.336807002917723e-05,0.45097268618589115
prev_ret_15m,5,15,5106,-0.00018366122020370326,-0.00024110975636487675,0.4473168820994908
prev_ret_15m,1,30,5089,-6.698259459222268e-05,0.0,0.49675771271369623
prev_ret_15m,2,30,5086,3.923640016288624e-05,0.0,0.4870232009437672
prev_ret_15m,3,30,5090,-0.00010303786984494597,0.0,0.46974459724950884
prev_ret_15m,4,30,5089,-0.0002502574411396294,-0.0001990445859872958,0.4501866771467872
prev_ret_15m,5,30,5106,-0.00025914050507482527,-0.00021047601266194205,0.4573051312181747
prev_ret_30m,1,5,5089,8.933086392364771e-05,0.0,0.4912556494399686
prev_ret_30m,2,5,5088,-4.7614764625362526e-05,0.0,0.47700471698113206
prev_ret_30m,3,5,5088,-7.504581122866195e-05,0.0,0.455188679245283
prev_ret_30m,4,5,5091,-7.82660567312571e-05,0.0,0.4504026713808682
prev_ret_30m,5,5,5104,-0.00021190327554421783,-0.00016988844476245601,0.43593260188087773
prev_ret_30m,1,15,5089,7.865442301505319e-06,0.0001280245807195879,0.5073688347415996
prev_ret_30m,2,15,5088,-5.614969850808716e-05,0.0,0.47877358490566035
prev_ret_30m,3,15,5088,-0.00010834602043204787,0.0,0.4669811320754717
prev_ret_30m,4,15,5091,-6.939198879462052e-05,0.0,0.4560989982321744
prev_ret_30m,5,15,5104,-0.00017398441651473489,-0.0002512887427947308,0.44337774294670845
prev_ret_30m,1,30,5089,-2.6003342112964326e-05,0.00011617100371741351,0.5059933189231676
prev_ret_30m,2,30,5088,-7.833631789984718e-05,0.0,0.4797562893081761
prev_ret_30m,3,30,5088,-0.00016177978706679013,0.0,0.4650157232704403
prev_ret_30m,4,30,5091,-0.00010700688759213709,-0.00016043638697260665,0.45708112355136515
prev_ret_30m,5,30,5104,-0.00026718232214323914,-0.0002472418905606899,0.4531739811912226
