state_var,bin,horizon_min,n,mean,median,win_rate,instrument
prev_ret_15m,5,5,325,9.925426894838278e-05,0.0,0.4492307692307692,AL
prev_ret_15m,1,15,323,-0.0001416012414066267,0.0,0.48606811145510836,AL
prev_ret_15m,2,15,323,-1.6288068996801918e-05,0.00023315458148753798,0.5170278637770898,AL
prev_ret_15m,3,15,323,-3.44112845410195e-05,0.0,0.47987616099071206,AL
prev_ret_15m,4,15,322,-0.00015821850523059804,-0.00010460251046023883,0.45962732919254656,AL
prev_ret_15m,5,15,325,0.00012713101186435802,0.0,0.48615384615384616,AL
prev_ret_15m,1,30,323,-8.898730530063389e-05,0.0002388344877000126,0.5294117647058824,AL
prev_ret_15m,2,30,323,-0.00011951287560045642,0.0,0.48606811145510836,AL
prev_ret_15m,3,30,323,-2.6991981629813672e-05,0.0,0.4520123839009288,AL
prev_ret_15m,4,30,322,-0.00017964728903969022,0.0,0.46273291925465837,AL
prev_ret_15m,5,30,325,9.98960615743668e-05,0.0,0.4553846153846154,AL
prev_ret_30m,1,5,323,-4.794399034533608e-05,0.0,0.48297213622291024,AL
prev_ret_30m,2,5,323,-3.683206586846056e-05,0.0002057189878625909,0.5108359133126935,AL
prev_ret_30m,3,5,323,-0.00011377836081542076,0.0,0.4179566563467492,AL
prev_ret_30m,4,5,323,5.044310575300606e-05,0.0,0.47678018575851394,AL
prev_ret_30m,5,5,324,1.6101688533249808e-05,0.0,0.44753086419753085,AL
prev_ret_30m,1,15,323,-9.103784024664784e-05,0.00019920318725108466,0.5046439628482973,AL
prev_ret_30m,2,15,323,-5.0591869569415684e-05,0.0,0.4984520123839009,AL
prev_ret_30m,3,15,323,-0.0001439953294004613,0.0,0.47058823529411764,AL
prev_ret_30m,4,15,323,-3.952501503177081e-05,0.0,0.47058823529411764,AL
prev_ret_30m,5,15,324,0.00010272097384816833,0.0,0.4845679012345679,AL
prev_ret_30m,1,30,323,1.7124007708956738e-05,0.00023078698361422845,0.5263157894736842,AL
prev_ret_30m,2,30,323,4.0117904066787195e-06,0.0,0.49226006191950467,AL
prev_ret_30m,3,30,323,-0.0002796611884571965,-0.00024154589371983004,0.43653250773993807,AL
prev_ret_30m,4,30,323,-0.00011265226323874125,0.0,0.4551083591331269,AL
prev_ret_30m,5,30,324,5.693273626495258e-05,0.0,0.47530864197530864,AL
prev_ret_15m,1,5,323,8.608807940186553e-05,0.0,0.4984520123839009,SN
prev_ret_15m,2,5,323,0.00011368135688938146,0.00015133171912840027,0.5201238390092879,SN
prev_ret_15m,3,5,323,-5.875010713275511e-05,0.00024524180557494724,0.5201238390092879,SN
prev_ret_15m,4,5,323,0.00010677850991610179,-4.6479200557780764e-05,0.48606811145510836,SN
prev_ret_15m,5,5,324,-0.0003111949185329927,-0.0002663550466680542,0.43209876543209874,SN
prev_ret_15m,1,15,323,-0.00012511899780644092,3.885909691447864e-05,0.5077399380804953,SN
prev_ret_15m,2,15,323,0.00017786169009332322,0.00019167369470207696,0.5386996904024768,SN
prev_ret_15m,3,15,323,-0.00012735869041432393,0.0,0.4984520123839009,SN
prev_ret_15m,4,15,323,7.425318163311744e-05,-0.00011151994003277821,0.47987616099071206,SN
prev_ret_15m,5,15,324,-4.8358053432035265e-05,6.186796995277799e-05,0.5123456790123457,SN
prev_ret_15m,1,30,323,0.00010451716592911088,-0.0001100569742394919,0.4984520123839009,SN
prev_ret_15m,2,30,323,0.00019089969408923272,0.00019391118867551072,0.5325077399380805,SN
prev_ret_15m,3,30,323,-0.0004822462803339644,-2.3742039852447938e-05,0.48606811145510836,SN
prev_ret_15m,4,30,323,-0.00011649277659016957,-0.00011459566828375678,0.47368421052631576,SN
prev_ret_15m,5,30,324,-3.6137944160470528e-06,0.0,0.49691358024691357,SN
prev_ret_30m,1,5,323,0.0005749921636719025,0.00011410314924686915,0.5232198142414861,SN
prev_ret_30m,2,5,323,0.00016596927178115492,0.00024792271986395775,0.541795665634675,SN
prev_ret_30m,3,5,323,-0.00032676138439739316,-3.455001033270122e-05,0.47987616099071206,SN
prev_ret_30m,4,5,323,-0.00026046380381848037,-0.000147596046686016,0.4458204334365325,SN
prev_ret_30m,5,5,324,-0.00021742364025063664,-0.00020116814305976005,0.4660493827160494,SN
prev_ret_30m,1,15,323,0.000243920735655295,9.392984486433775e-05,0.5108359133126935,SN
prev_ret_30m,2,15,323,9.849572462783568e-05,0.0003025489751153909,0.5634674922600619,SN
prev_ret_30m,3,15,323,-5.8905943933157176e-05,9.420187461728347e-05,0.5015479876160991,SN
prev_ret_30m,4,15,323,-0.0001776380066297543,-3.903352980205721e-05,0.4891640866873065,SN
prev_ret_30m,5,15,324,-0.00015426549283727455,-0.00017492403252450384,0.4722222222222222,SN
prev_ret_30m,1,30,323,0.00043471544668458923,0.00018792282635926583,0.5170278637770898,SN
prev_ret_30m,2,30,323,-0.00019452368112830265,0.00014695077149151636,0.544891640866873,SN
prev_ret_30m,3,30,323,-0.00032247963835747097,0.0,0.4891640866873065,SN
prev_ret_30m,4,30,323,-0.00024136452436695905,-0.0002934846409704539,0.4613003095975232,SN
prev_ret_30m,5,30,324,1.6653658314632107e-05,-0.00017597718974071697,0.47530864197530864,SN
prev_ret_15m,1,5,323,-0.0001042889193930782,0.0,0.4953560371517028,NI
prev_ret_15m,2,5,323,4.036249102093892e-05,8.261731658953941e-05,0.5108359133126935,NI
prev_ret_15m,3,5,323,7.176959494987797e-06,0.0,0.4891640866873065,NI
prev_ret_15m,4,5,323,-0.0001592318045793223,-0.00015774114677813422,0.4674922600619195,NI
prev_ret_15m,5,5,324,-7.053243304566143e-05,8.501161145213487e-05,0.5185185185185185,NI
prev_ret_15m,1,15,323,6.407672203637593e-05,0.0001574803149606563,0.5108359133126935,NI
prev_ret_15m,2,15,323,1.1845563636981094e-06,8.107012565861105e-05,0.5139318885448917,NI
prev_ret_15m,3,15,323,5.928572303910425e-05,7.792410192464239e-05,0.5015479876160991,NI
prev_ret_15m,4,15,323,-0.0003687690384877522,-0.0002481594838282808,0.4551083591331269,NI
prev_ret_15m,5,15,324,-0.00015613031257511278,-0.0001416748525808753,0.47530864197530864,NI
prev_ret_15m,1,30,323,-2.0334166360522613e-05,-8.256274768825289e-05,0.48297213622291024,NI
prev_ret_15m,2,30,323,-0.00014048555598396024,-0.0001662372205136764,0.47058823529411764,NI
prev_ret_15m,3,30,323,6.188084889355939e-05,0.00024838549428718437,0.5479876160990712,NI
prev_ret_15m,4,30,323,-0.0005285930885042797,-0.00033419667474310355,0.4241486068111455,NI
prev_ret_15m,5,30,324,-0.00018109628801584498,-0.00018961685020252306,0.4722222222222222,NI
prev_ret_30m,1,5,323,0.00010661120750475126,0.0,0.4953560371517028,NI
prev_ret_30m,2,5,323,-0.00017068276286160095,8.19739322894808e-05,0.5232198142414861,NI
prev_ret_30m,3,5,323,-0.00023426613972032733,-0.00016625103906897643,0.44891640866873067,NI
prev_ret_30m,4,5,323,0.0001349467901480812,0.00015600624024969534,0.5263157894736842,NI
prev_ret_30m,5,5,324,-0.00012296048562079442,-3.997122072108006e-05,0.4876543209876543,NI
prev_ret_30m,1,15,323,0.00016177598362271308,0.00021328025024880404,0.5386996904024768,NI
prev_ret_30m,2,15,323,-0.00025249955203941483,0.00015720798616580822,0.5139318885448917,NI
prev_ret_30m,3,15,323,-0.0002890535054015946,-0.00033915550279806084,0.4520123839009288,NI
prev_ret_30m,4,15,323,0.00011188637779138949,0.0,0.4953560371517028,NI
prev_ret_30m,5,15,324,-0.00013253470501337964,-0.00021939550043498235,0.4567901234567901,NI
prev_ret_30m,1,30,323,0.0001389929956742771,8.280887711165086e-05,0.5170278637770898,NI
prev_ret_30m,2,30,323,-0.0004744444069538802,-8.19739322894808e-05,0.48297213622291024,NI
prev_ret_30m,3,30,323,-0.0001645435562043744,-0.00016135538523598392,0.4674922600619195,NI
