instrument,prev_session_end,next_session_start,gap_min,gap_type,prev_bars,next_bars,prev_ret_15m,prev_ret_30m,prev_vol,next_open_to_5m,next_open_to_15m,next_open_to_30m,prev_ret_15m_bin,prev_ret_30m_bin
AG,2025-01-02 10:10:00,2025-01-02 10:30:00,20.0,lunch,15,12,0.0010520778537612685,0.0015789473684211242,165282.0,-0.0003941145559642756,-0.0014450867052022698,0.0007882291119285512,4.0,4.0
AG,2025-01-02 11:25:00,2025-01-02 13:30:00,125.0,lunch,12,18,-0.00026312327325350715,-0.0018389596742414138,42271.0,-0.0005252100840336116,-0.00065651260504207,-0.0003939075630252642,2.0,1.0
AG,2025-01-02 14:55:00,2025-01-02 21:00:00,365.0,overnight,18,66,0.0003941663381947791,0.0009202050742735945,52519.0,-0.00144148866465732,-0.00288297732931464,-0.002489844057135371,3.0,4.0
AG,2025-01-03 02:25:00,2025-01-03 09:00:00,395.0,overnight,66,15,-0.0009153916568589437,-0.0006540222367560355,278341.0,-0.0015665796344647154,-0.0024804177545691974,-0.0023498694516971286,2.0,2.0
AG,2025-01-03 10:10:00,2025-01-03 10:30:00,20.0,lunch,15,12,0.0009177920545431206,0.0002620545073375169,71529.0,0.0017022390991225933,0.000785648814979778,0.0006547073458165187,4.0,3.0
AG,2025-01-03 11:25:00,2025-01-03 13:30:00,125.0,lunch,12,18,-0.00039225941422593724,0.0002616773518251403,31513.0,-0.0010472574944364599,-0.0027490509228956794,-0.0011781646812409896,2.0,3.0
AG,2025-01-03 14:55:00,2025-01-03 21:00:00,365.0,overnight,18,66,0.0006551362683437922,0.0006551362683437922,58805.0,-0.0024726704841228075,0.00013014055179594308,-0.0011712649661634877,4.0,4.0
AG,2025-01-04 02:25:00,2025-01-06 09:00:00,3275.0,long_gap,66,15,0.00013036110024766678,0.000391185291433116,313615.0,-0.0015620932048945324,0.0006508721687059627,0.0006508721687059627,3.0,3.0
AG,2025-01-06 10:10:00,2025-01-06 10:30:00,20.0,lunch,15,12,0.0018279148713931104,-0.0005210368633581375,71308.0,-0.00013031013812869752,0.00026062027625739503,0.0007818608287724071,5.0,2.0
AG,2025-01-06 11:25:00,2025-01-06 13:30:00,125.0,lunch,12,18,-0.0002606542421478286,-0.0007815552950370952,23885.0,-0.004832810867293591,-0.006661442006269613,-0.004832810867293591,2.0,2.0
AG,2025-01-06 14:55:00,2025-01-06 21:00:00,365.0,overnight,18,66,-0.0003940110323088497,-0.0005252790544977293,114588.0,-0.001544401544401497,-0.00205920205920207,-0.0045045045045044585,2.0,2.0
AG,2025-01-07 02:25:00,2025-01-07 09:00:00,395.0,overnight,66,15,-0.0015572281339216731,0.0006502796202367822,508318.0,0.00013014055179594308,0.0011712649661634877,0.0018219677251432032,1.0,4.0
AG,2025-01-07 10:10:00,2025-01-07 10:30:00,20.0,lunch,15,12,-0.0005192782032974463,-0.0011676180591593255,53943.0,-0.0009092089881802545,-0.0003896609949344265,-0.0003896609949344265,2.0,2.0
AG,2025-01-07 11:25:00,2025-01-07 13:30:00,125.0,lunch,12,18,-0.00025974025974029313,0.0007800312012480326,21513.0,0.0006475006475006317,0.0015540015540016494,0.0012950012950012635,2.0,4.0
AG,2025-01-07 14:55:00,2025-01-07 21:00:00,365.0,overnight,18,66,0.001165199378560411,-0.0005169962517771465,74278.0,-0.001544401544401497,-0.000514800514800462,-0.000514800514800462,4.0,2.0
AG,2025-01-08 02:25:00,2025-01-08 09:00:00,395.0,overnight,66,15,0.00038824899702349924,0.0011656521176013346,320297.0,-0.00038769707934871445,-0.0005169294391315082,-0.0015507883173946357,3.0,4.0
