action,h,scale,target_bin,risk_bin,WF1_n,WF1_E_R_lower,WF1_ambiguity_gap_R,WF2_n,WF2_E_R_lower,WF2_ambiguity_gap_R,WF3_n,WF3_E_R_lower,WF3_ambiguity_gap_R,sample_gate,positive_3_of_3,ambiguity_gate,robust_positive_geometry
OUTWARD,2,0.2,0.5-1,2-3,210,0.033840326970752725,0.0,192,-0.015234852245288784,0.0,259,0.10949995387727149,0.0,False,False,True,False
OUTWARD,2,0.2,<0.5,2-3,90,0.004929335861576125,0.0,78,0.14186683987853832,0.0,106,-0.15472783263765033,0.0,False,False,True,False
OUTWARD,2,0.2,<0.5,<0.25,62,-0.21466973886328727,0.0,48,-0.5032814407814408,0.125,68,0.14803921568627457,0.0,False,False,True,False
OUTWARD,2,0.2,0.5-1,>=3,77,0.1294607418472079,0.0,102,0.13118430827226366,0.0,54,0.16094901090512337,0.0,False,True,True,False
OUTWARD,2,0.4,0.5-1,0.5-1,1657,-0.10764315375619155,0.020128284907376382,1375,-0.23007103619406993,0.02865114022319263,1486,-0.0005211178351520368,0.0370251453454468,True,False,True,False
OUTWARD,2,0.4,2-3,0.25-0.5,671,0.03527130545525899,0.0,611,-0.29497009380122574,0.03498542274052478,576,-0.24536175668033258,0.0,True,False,True,False
OUTWARD,2,0.4,1-2,0.5-1,2195,-0.09039480833191069,0.0016118633139909737,1931,-0.08659429896013965,0.004089219330855019,1762,-0.014815836053303838,0.0059139784946236566,True,False,True,False
OUTWARD,2,0.4,1-2,1-2,1254,-0.08368579166771466,0.004884004884004884,1277,-0.1022264942876044,0.0,1068,-0.004509424672991248,0.004849137931034483,True,False,True,False
OUTWARD,2,0.4,3-5,0.25-0.5,303,-0.6957517330876255,0.0,351,-0.3422939630300182,0.0,357,-0.43407258022070594,0.0,True,False,True,False
OUTWARD,2,0.4,2-3,0.5-1,846,-0.07154847699885283,0.0,785,0.0912152030694359,0.0,810,-0.18474511395546445,0.0,True,False,True,False
OUTWARD,2,0.4,>=5,0.25-0.5,112,-0.33993399339933994,0.0,98,-0.7337841863574273,0.0,129,-0.8139599951628212,0.0,False,False,True,False
