symbol,status,cross_segment,illegal_reversal,new_entry_outside_proximity,new_entry_armed_zero,nonflat_terminal,max_new_entries_per_episode,pnl_mismatch_flag,cross_day,ok,trades
AG,pre_validated_legacy,0,0,0,0,0,1,0,0,True,
AU,built_this_session,0,0,0,0,0,1,0,227,True,
CU,built_this_session,0,0,0,0,0,1,0,158,True,
AL,built_this_session,0,0,0,0,0,1,0,180,True,
SN,built_this_session,0,0,0,0,0,1,0,178,True,
NI,built_this_session,0,0,0,0,0,1,0,173,True,
RB,built_this_session,0,0,0,0,0,1,0,129,True,
I,built_this_session,0,0,0,0,0,1,0,103,True,
SC,built_this_session,0,0,0,0,0,1,0,222,True,
RU,built_this_session,0,0,0,0,0,1,0,160,True,
MA,built_this_session,0,0,0,0,0,1,0,153,True,
TA,built_this_session,0,0,0,0,0,1,0,161,True,
M,built_this_session,0,0,0,0,0,1,0,154,True,
P,built_this_session,0,0,0,0,0,1,0,172,True,
CF,built_this_session,0,0,0,0,0,1,0,143,True,
