unlock_scopes,n,share
CONTIG_SESSION,19924,0.4715
CONTIG_SESSION|TRADING_DAY,5384,0.1274
5m|CONTIG_SESSION|TRADING_DAY,3868,0.0915
5m|CONTIG_SESSION,2519,0.0596
15m|1h|5m|CONTIG_SESSION|TRADING_DAY|TRADING_WEEK,2408,0.057
15m|5m|CONTIG_SESSION|TRADING_DAY|TRADING_WEEK,1945,0.046
15m|5m|CONTIG_SESSION|TRADING_DAY,1574,0.0372
5m,1171,0.0277
CONTIG_SESSION|TRADING_DAY|TRADING_WEEK,1028,0.0243
5m|CONTIG_SESSION|TRADING_DAY|TRADING_WEEK,852,0.0202
15m|CONTIG_SESSION,194,0.0046
15m|CONTIG_SESSION|TRADING_DAY,188,0.0044
TRADING_DAY,166,0.0039
1h|5m|CONTIG_SESSION|TRADING_DAY,148,0.0035
1h|5m|CONTIG_SESSION|TRADING_DAY|TRADING_WEEK,114,0.0027
15m|1h|5m|CONTIG_SESSION|TRADING_DAY,113,0.0027
15m|CONTIG_SESSION|TRADING_DAY|TRADING_WEEK,112,0.0027
15m|5m|CONTIG_SESSION,97,0.0023
15m|1h|CONTIG_SESSION|TRADING_DAY|TRADING_WEEK,93,0.0022
1h|CONTIG_SESSION,78,0.0018
15m,54,0.0013
1h|5m|CONTIG_SESSION,52,0.0012
TRADING_DAY|TRADING_WEEK,45,0.0011
15m|5m,27,0.0006
15m|1h|CONTIG_SESSION|TRADING_DAY,21,0.0005
15m|5m|TRADING_DAY|TRADING_WEEK,18,0.0004
5m|TRADING_DAY,17,0.0004
15m|1h|5m|TRADING_DAY|TRADING_WEEK,13,0.0003
15m|1h|5m|TRADING_WEEK,12,0.0003
1h|CONTIG_SESSION|TRADING_DAY,6,0.0001
1h|CONTIG_SESSION|TRADING_DAY|TRADING_WEEK,6,0.0001
TRADING_WEEK,6,0.0001
CONTIG_SESSION|TRADING_WEEK,2,0.0
1h|TRADING_DAY,1,0.0
1h,1,0.0
15m|5m|TRADING_DAY,1,0.0
