rr_direction,opportunity_label,long_res,short_res,n
NO_COMPARABLE_TARGET,NO_TARGET_ENVIRONMENT,NONE,REACH,5001
NO_COMPARABLE_TARGET,NO_TARGET_ENVIRONMENT,REACH,NONE,1953
