symbol,n,median,p25,p75,p90
AG,289,2.3295454545454546,2.0337837837837838,2.5821767713659605,2.710526315789474
AL,2307,2.0,1.3043478260869565,2.142857142857143,2.5
AU,162,2.0073853903141403,1.000012715528203,2.675519532411197,2.925811911139541
CF,6237,2.272727272727273,1.875,2.5,2.7083333333333335
CU,912,2.3333333333333335,1.6578014184397163,2.6315789473684212,2.717391304347826
I,7665,2.0161290322580645,1.2962962962962963,2.5,2.8125
M,4264,2.5,1.973684210526316,2.75,2.857142857142857
MA,3211,2.4444444444444446,1.911764705882353,2.5,2.7659574468085104
NI,1203,1.5350877192982457,1.5350877192982457,2.1296296296296298,2.4210526315789473
P,946,1.8181818181818181,1.7647058823529413,2.5625,2.671232876712329
RB,8356,2.173913043478261,1.8181818181818181,2.5,2.7083333333333335
RU,1594,2.5,2.377049180327869,2.611940298507463,2.9166666666666665
SC,1022,1.896566239068945,1.2980797445919314,2.657653446972275,2.8481034662587557
SN,666,1.860655737704918,1.7706238124734655,2.5250836120401337,2.8493538998977854
TA,3424,2.619047619047619,1.75,2.7777777777777777,2.8125
