symbol,liquidity_id,contact_number,block,switch_type,critical_risk_ATR,before_long_R,before_short_R,after_long_R,after_short_R
AG,AG|CANONICAL_EQH|15m|2025-02-06 11:15:00|8102.0,1,TB1,LONG_TO_SHORT,2.5,0.5048,0.0,0.3365,2.0032
AG,AG|CANONICAL_EQH|15m|2025-02-07 02:15:00|8058.0,1,TB1,SHORT_TO_LONG,0.875,0.0,0.1418,2.234,0.1064
AG,AG|CANONICAL_EQH|15m|2025-06-17 02:00:00|8847.0009765625,1,TB2,LONG_TO_SHORT,1.25,0.5435,0.0,0.3623,2.1014
AG,AG|CANONICAL_EQH|15m|2025-08-15 11:15:00|9206.0009765625,1,TB2,LONG_TO_SHORT,1.75,0.5691,0.0,0.4268,3.1707
AG,AG|CANONICAL_EQH|1h|2025-08-26 23:00:00|9377.0009765625,1,TB2,LONG_TO_SHORT,2.5,0.7222,0.0,0.4815,1.1111
AG,AG|CANONICAL_EQH|1h|2025-08-29 11:00:00|9406.0009765625,1,TB2,SHORT_TO_LONG,2.5,0.0,0.4545,2.8283,0.303
AG,AG|CANONICAL_EQH|1h|2026-07-10 22:00:00|14820.0009765625,1,TB4,LONG_TO_SHORT,1.75,0.9156,0.0,0.6867,7.4923
AG,AG|CANONICAL_EQH|5m|2025-02-06 02:00:00|8102.0,2,TB1,LONG_TO_SHORT,2.5,0.5048,0.0,0.3365,2.0032
AG,AG|CANONICAL_EQH|5m|2025-02-13 21:15:00|8030.0,1,TB1,SHORT_TO_LONG,2.5,0.0,0.7071,2.037,0.4714
AG,AG|CANONICAL_EQH|5m|2025-02-28 21:55:00|7872.0,1,TB1,SHORT_TO_LONG,1.75,0.0,1.0,8.6364,0.75
AG,AG|CANONICAL_EQH|5m|2025-03-26 10:15:00|8376.0,1,TB1,LONG_TO_SHORT,0.625,0.7692,0.0,0.5128,4.9573
AG,AG|CANONICAL_EQH|5m|2025-03-26 10:15:00|8376.0,3,TB1,SHORT_TO_LONG,2.5,0.0,1.25,2.5,0.8333
AG,AG|CANONICAL_EQH|5m|2025-03-31 11:30:00|8490.0009765625,1,TB1,LONG_TO_SHORT,2.5,0.9722,0.0,0.6481,27.8395
AG,AG|CANONICAL_EQH|5m|2025-04-15 11:20:00|8150.0,2,TB1,SHORT_TO_LONG,2.5,0.3279,0.8607,0.6831,0.5738
AG,AG|CANONICAL_EQH|5m|2025-06-17 01:20:00|8847.0009765625,1,TB2,LONG_TO_SHORT,1.25,0.5435,0.0,0.3623,2.1014
AG,AG|CANONICAL_EQH|5m|2025-06-17 01:45:00|8846.0009765625,1,TB2,LONG_TO_SHORT,0.875,0.2837,0.0,0.2128,2.5532
AG,AG|CANONICAL_EQH|5m|2025-06-24 00:45:00|8804.0009765625,1,TB2,LONG_TO_SHORT,1.25,1.3514,0.0,0.9009,14.5045
AG,AG|CANONICAL_EQH|5m|2025-06-26 02:20:00|8768.0009765625,1,TB2,SHORT_TO_LONG,2.5,0.0,0.6944,1.6667,0.463
AG,AG|CANONICAL_EQH|5m|2025-06-28 01:45:00|8743.0009765625,1,TB2,SHORT_TO_LONG,0.875,0.0,0.8046,0.6897,0.6034
AG,AG|CANONICAL_EQH|5m|2025-07-04 09:40:00|8941.0009765625,1,TB2,LONG_TO_SHORT,1.75,1.0448,0.0,0.7836,3.2463
AG,AG|CANONICAL_EQH|5m|2025-07-31 14:15:00|9025.0009765625,1,TB2,SHORT_TO_LONG,2.5,0.0,0.9615,5.8974,0.641
AG,AG|CANONICAL_EQH|5m|2025-08-06 10:35:00|9192.0009765625,1,TB2,LONG_TO_SHORT,2.5,0.8571,0.0,0.5714,1.0476
AG,AG|CANONICAL_EQH|5m|2025-08-15 10:35:00|9206.0009765625,1,TB2,LONG_TO_SHORT,1.75,0.5691,0.0,0.4268,3.1707
AG,AG|CANONICAL_EQH|5m|2025-08-21 22:00:00|9215.0009765625,1,TB2,LONG_TO_SHORT,2.5,0.7812,0.0,0.5208,1.5885
AG,AG|CANONICAL_EQH|5m|2025-09-29 15:00:00|11004.0009765625,1,TB2,LONG_TO_SHORT,2.5,0.407,0.0,0.2713,1.8798
AG,AG|CANONICAL_EQH|5m|2026-03-24 23:35:00|17437.0,1,TB3,LONG_TO_SHORT,1.25,1.0465,0.0,0.6977,2.273
AG,AG|CANONICAL_EQH|5m|2026-03-24 23:45:00|17427.0,1,TB3,LONG_TO_SHORT,1.25,1.0465,0.0,0.6977,2.273
AG,AG|CANONICAL_EQH|5m|2026-04-07 09:50:00|18178.0,1,TB3,LONG_TO_SHORT,1.25,1.0007,0.0,0.6672,0.9326
AG,AG|CANONICAL_EQH|5m|2026-04-07 09:50:00|18178.0,1,TB3,SHORT_TO_LONG,2.5,0.5004,0.6994,2.1585,0.4663
AG,AG|CANONICAL_EQH|5m|2026-04-07 21:45:00|17960.0,1,TB3,LONG_TO_SHORT,1.25,1.0007,0.0,0.6672,0.9326
AG,AG|CANONICAL_EQH|5m|2026-04-07 21:45:00|17960.0,1,TB3,SHORT_TO_LONG,2.5,0.5004,0.6994,2.1585,0.4663
AG,AG|CANONICAL_EQH|5m|2026-04-16 21:55:00|19839.0,1,TB4,LONG_TO_SHORT,2.5,0.8852,0.0,0.5902,4.4567
AG,AG|CANONICAL_EQH|5m|2026-05-12 00:15:00|21163.0,1,TB4,LONG_TO_SHORT,2.5,1.0857,0.0,0.7238,2.7856
AG,AG|CANONICAL_EQH|5m|2026-05-29 21:45:00|18355.0,1,TB4,LONG_TO_SHORT,1.25,0.8454,0.0,0.5636,2.2142
AG,AG|CANONICAL_EQH|5m|2026-06-12 14:30:00|16048.0009765625,1,TB4,SHORT_TO_LONG,2.5,0.1731,0.8462,3.6795,0.5641
AG,AG|CANONICAL_EQH|5m|2026-06-12 14:30:00|16048.0009765625,2,TB4,SHORT_TO_LONG,1.75,0.0,0.9714,4.0,0.7286
AG,AG|CANONICAL_EQL|15m|2025-02-10 10:45:00|8026.0,1,TB1,SHORT_TO_LONG,1.25,0.0,0.6364,2.6667,0.4242
AG,AG|CANONICAL_EQL|15m|2025-04-15 22:15:00|8134.0,1,TB1,SHORT_TO_LONG,2.5,0.0,0.6373,1.0784,0.4248
AG,AG|CANONICAL_EQL|15m|2025-05-09 02:30:00|8131.0,1,TB1,SHORT_TO_LONG,2.5,0.0,1.2963,2.9321,0.8642
AG,AG|CANONICAL_EQL|15m|2025-05-09 02:30:00|8131.0,2,TB1,SHORT_TO_LONG,2.5,0.0,0.9259,3.3951,0.6173
AG,AG|CANONICAL_EQL|15m|2025-07-22 14:45:00|9351.0009765625,1,TB2,SHORT_TO_LONG,2.5,0.0,1.0157,1.8403,0.6771
AG,AG|CANONICAL_EQL|15m|2025-10-16 02:00:00|11910.0009765625,1,TB2,SHORT_TO_LONG,0.875,0.0,1.2109,3.7347,0.9082
AG,AG|CANONICAL_EQL|15m|2025-10-29 09:45:00|11172.0009765625,1,TB2,SHORT_TO_LONG,1.75,0.0,0.2899,7.5217,0.2174
AG,AG|CANONICAL_EQL|15m|2025-12-09 01:00:00|13554.0009765625,1,TB3,SHORT_TO_LONG,1.25,0.0,0.3293,7.2455,0.2196
