symbol,n_rows,match_rate_pct
AG,39193,100.0
AU,39025,100.0
CU,40348,100.0
AL,48930,100.0
SN,37891,100.0
NI,40411,100.0
RB,55615,100.0
I,61124,100.0
SC,42448,100.0
RU,41769,100.0
MA,44989,100.0
TA,44702,100.0
M,48412,100.0
P,38661,100.0
CF,54782,100.0
