adjacent_grid_pair,grid_midpoint_ATR,n_switches_observed
0.25-0.50,0.375,285
0.50-0.75,0.625,1559
0.75-1.00,0.875,2006
1.00-1.50,1.25,4807
1.50-2.00,1.75,4894
2.00-3.00,2.5,8702
