block,n,median,p25,p75,p90
TB1,4717,2.2222222222222223,1.6666666666666667,2.6315789473684212,2.8125
TB2,12961,2.272727272727273,1.8181818181818181,2.619047619047619,2.8125
TB3,11957,2.307692307692308,1.8181818181818181,2.5,2.75
TB4,12623,2.1323529411764706,1.5,2.5757575757575757,2.8125
