rr_direction_frozen,LONG_DOMINATES,NO_COMPARABLE_TARGET,SHORT_DOMINATES,TRADEOFF_OR_OVERLAP,UNRESOLVED_CENSOR
LONG_DOMINATES,51945,0,0,0,0
NO_COMPARABLE_TARGET,0,4802,0,0,0
SHORT_DOMINATES,0,0,51985,0,0
TRADEOFF_OR_OVERLAP,0,0,0,39739,0
UNRESOLVED_CENSOR,0,0,0,0,7461
