direction_stability,MULTI_DIRECT_SWITCH,NO_DIRECT_GRID_SWITCH,SINGLE_DIRECT_LONG_TO_SHORT,SINGLE_DIRECT_SHORT_TO_LONG,UNRESOLVED_GRID_PATTERN
NO_DIRECTION,0,51836,0,0,0
RISK_DEPENDENT,1360,0,8613,8418,104
ROBUST_LONG,0,9425,0,0,0
ROBUST_SHORT,0,9477,0,0,0
UNRESOLVED,0,7652,8,7,0
