symbol,n_contacts,pct_flip,pct_single_l2s,pct_single_s2l
AG,5599,0.11573495267011967,0.046794070369708875,0.06501160921593141
AL,6990,0.21688125894134477,0.0938483547925608,0.10529327610872675
AU,5575,0.11605381165919283,0.04896860986547085,0.06242152466367713
CF,7826,0.2895476616406849,0.11921799131101457,0.14247380526450293
CU,5764,0.15336571825121442,0.06228313671061763,0.08188757807078417
I,8732,0.30726065048098944,0.1282638570774164,0.15048098946404032
M,6916,0.24725274725274726,0.09976865240023135,0.12160208212839792
MA,6427,0.23199004201026918,0.10315854986774545,0.11529484985218609
NI,5773,0.14931578035683354,0.07275246838732029,0.0682487441538195
P,5523,0.20767698714466776,0.10429114611624117,0.09433279015028065
RB,7945,0.30623033354310886,0.13127753303964756,0.14159848961611077
RU,5967,0.1967487849840791,0.08077761018937489,0.10474275180157533
SC,6064,0.1487467018469657,0.06662269129287599,0.07651715039577836
SN,5413,0.12562349898392758,0.05246628486975799,0.06576759652687973
TA,6386,0.2389602254932665,0.10241152521139994,0.10914500469777638
