scope,background_share,transition_share,enrichment
5m,0.1601,0.1637,1.022
15m,0.0798,0.071,0.89
1h,0.0373,0.0299,0.802
CONTIG_SESSION,0.4465,0.4751,1.064
TRADING_DAY,0.1987,0.1958,0.985
TRADING_WEEK,0.0777,0.0645,0.83
