block,instrument,n_folds,folds_auc_better,folds_brier_skill_better,folds_return_spread_better
B1,AG,7,6,6,2
B1,AL,7,4,4,4
B1,CF,7,3,3,3
B1,CU,7,2,2,4
B1,I,7,4,5,2
B1,M,7,6,5,5
B1,SC,7,4,4,4
B1,SN,7,2,3,3
B2,AG,7,5,5,3
B2,AL,7,4,3,4
B2,CF,7,4,4,6
B2,CU,7,6,5,5
B2,I,7,5,4,4
B2,M,7,6,5,4
B2,SC,7,3,0,4
B2,SN,7,3,2,5
B3,AG,7,5,7,4
B3,AL,7,4,4,4
B3,CF,7,4,4,4
B3,CU,7,4,4,5
B3,I,7,5,4,2
B3,M,7,5,4,5
B3,SC,7,4,4,4
B3,SN,7,1,4,4
